Dutch	Dutch	probability
χ_t	ʃ_t	1.0
ˈɛi̯_n	ˈɑ̃i̯	1.0
ˈɑu̯_d̥	ˈaː_l	1.0
ˈɑu̯	l	1.0
ˈɑ_ɾ	ˈɑː	1.0
ˈɑ_d̥	ˈɑː_d̥	1.0
ˈøː	ˈɑː	1.0
ˈyː_ɾ	æ̆	1.0
ˈu_n	ˈĩː	1.0
ˈeː_χ	ˈoĩ̯	1.0
ˈeː_t	z̥	1.0
ˈeː_n	ˈãː	1.0
ˈaː_ɾ	ˈɑː	1.0
ˈaː_n	ˈɛ̃ː	1.0
ʋ	v	1.0
ɫ	l	1.0
ɪ	i	1.0
ɦ	h	1.0
ə_ɾ	æ̆	1.0
ə_v̥	f	1.0
ə_n_#>	#>	1.0
ə_n	ə	1.0
z_ʋ	ʃ_v	1.0
z	s	1.0
w	ˈeː	1.0
s_χ	ʃ	1.0
s_t	ʃ_d̥	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
i_n	ɛː	1.0
d̥_#>	#>	1.0
d_ˈɪ	d̥_ˈi	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
n	n	0.857
d̥	d̥	0.85
v	f	0.821
ŋ	ŋ	0.818
ˈɪ	ˈi	0.81
z̥	s	0.8
d	d̥	0.759
v̥	b̥	0.75
ˈœy̯	ˈau̯	0.727
ˈʏ	ˈi	0.714
ə	-	0.714
ˈɛi̯	ˈai̯	0.7
ˈi	ˈiː	0.625
b	b̥	0.579
ˈu	ˈuː	0.571
ˈɔ	ˈu	0.556
p	f	0.533
χ_ə	ɣ̊	0.5
χ_ə	j	0.5
ˈɑ	ˈɑ	0.5
ɾ	ʀ	0.467
k	kʰ	0.464
b	p	0.421
ˈaː	ˈɑː	0.4
s	ʃ	0.357
s	s	0.357
ɾ	ɐ	0.356
ˈɔ	ˈo	0.333
t	ʦ	0.324
χ	ɡ̊	0.314
ˈeː	ˈɛ	0.312
ˈeː	ˈaː	0.312
ˈɑ	ˈa	0.308
ˈɛi̯	-	0.3
ˈaː	-	0.3
ˈʏ	ˈe	0.286
ˈɛ	-	0.286
ˈu	ˈu	0.286
ə	i	0.286
ˈoː	ˈoː	0.276
ˈœy̯	ˈoi̯	0.273
t	s	0.27
ˈi	-	0.25
ˈeː	-	0.25
v̥	f	0.25
ˈoː	ˈaː	0.241
d	t	0.241
ˈɛ	ˈɛ	0.238
t	t	0.216
ˈoː	-	0.207
ˈaː	ˈa	0.2
z̥	-	0.2
p	v̥	0.2
p	-	0.2
ˈɛ	ˈæ	0.19
ŋ	ʃ	0.182
v	v	0.179
χ	x	0.171
χ	k	0.171
d̥	t	0.15
χ	ʃ	0.143
ˈɛ	ˈi	0.143
ˈɛ	ˈe	0.143
ˈu	ˈiː	0.143
s	k_s	0.143
s	-	0.143
n	ə	0.143
k	ʃ	0.143
k	ɡ̊	0.143
k	x	0.143
ˈoː	ˈɔ	0.138
ˈi	ˈeː	0.125
ˈeː	ˈɛː	0.125
ˈɑ	-	0.115
χ	ɣ̊	0.114
ˈɔ	ˈɔ	0.111
k	k	0.107
ˈaː	ˈoː	0.1
ˈɪ	ˈai̯	0.095
ˈɪ	-	0.095
χ	ʒ̊	0.086
t	d̥	0.081
ˈɑ	ˈɑː	0.077
ˈoː	ˈo	0.069
ɾ	æ̆	0.067
ɾ	-	0.067
p	pʰ	0.067
t	z̥	0.054
t	-	0.054
