Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɛː	ˈa	1.0
ˈøː	ˈʏ_x	1.0
ˈoː	ˈɔ	1.0
ˈo	-	1.0
ˈiː_r	ˈʏ_r	1.0
ˈi_n	n	1.0
ˈeː_r	ˈi̯ø	1.0
ˈaːɪ̯	ˈɘ̟	1.0
ˈaː	ˈɘ̟_x	1.0
ˈaɪ̯	-	1.0
ʧ	-	1.0
ʍ	-	1.0
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ŋ	ŋ	1.0
ç	x	1.0
w	v	1.0
v	-	1.0
tʰ	ʦ	1.0
s_ˈɪ	z_ˈu	1.0
pʰ	f	1.0
p_#>	f_#>	1.0
p	f_a	1.0
n_#>	#>	1.0
i_n	ɑ	1.0
i	ɪ_k	1.0
h	h	1.0
f_ˈo	f	1.0
e	ɡ̊	1.0
b	b	1.0
<#_ˈu	<#_ˈɑi̯	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_t	1.0
n	n	0.938
f	f	0.913
m	m	0.889
r	r	0.872
l	w	0.844
ˈʌ	ˈu	0.8
ˈəi̯	ˈai̯	0.778
kʰ	k	0.75
ˈɑː	ˈɑ	0.667
ˈuː	ˈɑi̯	0.667
d	t	0.667
θ	d	0.636
ˈu	ˈɑi̯	0.625
ð	d	0.6
x	x	0.6
j	-	0.6
ə	ɛ	0.583
ˈø	ˈʏ	0.5
ˈe	ˈa	0.5
z	s	0.5
z	-	0.5
s_t	ʃ_t	0.5
s_t	s_t	0.5
ˈɪ	ˈɘ̟	0.484
s	z	0.424
k	k	0.412
ˈa	ˈɑ	0.4
ˈa	-	0.4
ð	t	0.4
x	-	0.4
j	j	0.4
#>	n_#>	0.379
ˈu	-	0.375
ˈiː	ˈi	0.375
ˈeː	ˈɔ	0.375
ˈeː	-	0.375
ˈi	ˈi	0.368
θ	-	0.364
ˈe	-	0.357
k	x	0.353
#>	ɡ̊_#>	0.345
ˈuː	-	0.333
ˈɛ	ˈɑ	0.312
t	t	0.31
t	s	0.31
s	s	0.303
d	d̥	0.278
ˈi	-	0.263
ˈø	ˈi	0.25
ˈø	n	0.25
ˈiː	ˈɑi̯	0.25
ˈeː	ˈei̯	0.25
kʰ	k_ˈɘ̟	0.25
s	ʃ	0.242
ˈəi̯	ˈɑi̯	0.222
ə	ə	0.208
t	ʦ	0.207
ˈʌ	-	0.2
ˈa	ˈɔ	0.2
ˈɛ	ˈɔ	0.188
k	ç	0.176
t	s_a	0.172
ˈɑː	ˈei̯	0.167
ˈɑː	-	0.167
ˈɪ	ˈʏ	0.161
ˈɪ	ˈɑ	0.161
ˈɪ	-	0.161
ˈi	ˈu	0.158
ˈe	ˈɑ	0.143
#>	w_#>	0.138
r	-	0.128
ˈɛ	ˈɛ	0.125
ˈɛ	ˈɘ̟	0.125
ˈɛ	ˈa	0.125
ˈɛ	-	0.125
ˈiː	ˈɘ̟	0.125
ˈiː	ˈɑ	0.125
ˈiː	ˈai̯	0.125
ə	v_ɛ	0.125
m	m_ˈø	0.111
ˈi	ˈɑ	0.105
ˈi	ˈø	0.105
l	l	0.094
f	b̥	0.087
ə	-	0.083
#>	r_#>	0.069
#>	f_#>	0.069
n	-	0.062
l	u	0.062
k	c	0.059
d	d_a	0.056
