Middle High German	Limburgish	probability
ˈɛ_b	ˈeː_v	1.0
ˈɑ_l	ˈaː	1.0
ˈæː	ˈi	1.0
ˈyə̯	ˈøː	1.0
ˈoː	ˈu	1.0
ˈiə̯	ˈeː	1.0
ˈeː	ˈi	1.0
ʦː	t	1.0
ʦ	t	1.0
ʃː	s	1.0
ʃ_t	s_t	1.0
ɡ_ə	ɣ̊	1.0
ɛ_h	i	1.0
ə_t	d̥	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
v	v	1.0
tː	-	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z̥	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
nː_ə	n	1.0
nː	n	1.0
mː	ˈʏ_m	1.0
m	m	1.0
lː	l	1.0
l_ə	l	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ə	1.0
fː	p	1.0
d̥	d̥	1.0
b̥	v̥	1.0
ɡ	ɣ	0.9
ˈei̯	ˈɛː	0.842
ˈɑː	ˈɒː	0.84
r	ʀ	0.84
h	ɦ	0.826
ə_r	ə_ʀ	0.818
d	d	0.804
w	β	0.801
l	l	0.799
kː	k	0.781
b	b	0.771
f	p	0.766
ˈuː	ˈuː	0.747
ˈou̯	ˈɔː	0.74
ˈiː	ˈiː	0.73
s	z	0.729
n	n	0.703
ˈu	ˈʊː	0.661
ˈyː	-	0.648
ɡ̊	ɣ̊	0.642
n_ə	n	0.64
ə	-	0.6
t	t	0.559
x	x	0.534
t_ə	j	0.517
ˈe	ˈɪ	0.489
ʃ	ʃ	0.487
t_ə	j_ə	0.483
ˈuə̯	ˈʊː	0.468
ˈɛ	ˈeː	0.451
ˈy	-	0.432
ˈi	ˈɪː	0.432
ˈo	ˈɔ	0.381
n_ə	n_ɪ	0.36
ˈɑ	ˈaː	0.356
ˈo	ˈʊː	0.355
x	k	0.353
ˈyː	ˈœi̯	0.352
ˈɛ	-	0.344
ˈy	ˈøː	0.322
ˈe	ˈeː	0.32
ˈuə̯	ˈoː	0.31
s	s	0.271
ˈiː	-	0.27
ʃ	s	0.27
ˈou̯	ˈɔu̯	0.26
ˈɑ	ˈɑ	0.258
ˈuː	-	0.253
ˈy	ˈœ	0.246
ʃ	z	0.243
t	-	0.243
ɡ̊	k	0.239
f	ə_v̥	0.234
ˈuə̯	-	0.222
kː	-	0.219
ˈɛ	ˈæː	0.205
n	ə	0.204
t	d	0.198
d	-	0.196
ˈe	-	0.191
ˈɑ	ˈɑː	0.187
ə_r	ʀ	0.182
h	-	0.174
ˈu	-	0.162
ˈɑː	-	0.16
ˈei̯	ˈɛːi̯	0.158
b	v	0.158
ˈo	ˈoː	0.148
r	ʀ_ə	0.148
ə	ʀ	0.143
l	l_ə	0.139
ə	ə	0.136
ˈi	ˈeː	0.135
w	-	0.132
ə	j	0.122
ɡ̊	ŋ	0.119
ˈu	ˈœː	0.116
ˈo	ˈɔː	0.116
ˈi	ˈɛː	0.114
x	s	0.112
ˈi	ˈɛ	0.11
ˈi	-	0.109
ɡ	ɡ	0.1
n	-	0.093
ˈɑ	ˈɒː	0.079
ˈɑ	-	0.076
b	-	0.07
w	β_ˈɪː	0.067
ˈu	ˈʊ	0.062
ˈi	ˈɪ	0.06
