Eastphalian	Nynorsk Norwegian	probability
r	ɾ	1.0
s	s	1.0
ɒː	e	1.0
ˈaɪ̯	ˈæɪ̯	1.0
ˈɛə̯	ˈɑː	1.0
b	-	0.091
j	j	0.421
n	ɑ	0.231
v	-	0.261
w	ʋ	0.641
ç	-	0.151
ç	ʰtː	0.351
ə	e	0.721
ɡ	j	0.11
ɣ	j	0.11
ˈeo̯	ˈoː	0.091
ˈeː	ˈɛ	0.091
ˈeː	ˈʉː	0.151
ˈeː	ˈoː	0.151
ˈoː	ˈoː	0.431
ˈuː	ˈʏ	0.111
ˈyː	ˈyː	0.451
ˈœ	ˈʉ	0.461
ˈɔʏ̯	ˈœʏ̯	0.051
ˈɛ	ˈɛ	0.321
ˈɛː	ˈeː	0.11
ˈʏ	ˈɛ	0.171
j	-	0.142
m	mː	0.062
n	n	0.352
ŋ	ŋː	0.72
ˈaʊ̯	ˈuː	0.92
ˈeː	ˈiː	0.102
ˈoː	ˈʊ	0.122
ˈoː	ˈɔ	0.332
ˈuː	ˈɔ	0.122
ˈɒː	ˈɑ	0.212
ˈɛ	ˈæɪ̯	0.142
ˈɛ	ˈʉː	0.142
ˈɛɪ̯	ˈyː	0.162
ˈɛː	ˈɛ	0.092
ˈʊ	ˈuː	0.102
ˈʏ	ˈʏ	0.602
d	tʰ	0.283
t	tʰ	0.133
x	-	0.133
x	ʰtː	0.463
z	ʂ	0.193
ç	ɡ	0.243
ŋ	ɡ	0.223
ɐ	ɾ	0.733
ˈa	ˈɑ	0.753
ˈaː	ˈɑː	0.663
ˈoː	ˈuː	0.073
ˈøː	-	0.213
ˈœ	ˈɛ	0.23
ˈɒː	ˈoː	0.613
ˈʊ	ˈʉ	0.853
d	-	0.324
h	j	0.174
m	-	0.164
m	m	0.774
p	p	0.864
v	v	0.074
x	ɡ	0.404
ˈeo̯	ˈœʏ̯	0.104
ˈyː	ˈɛ	0.224
ˈøː	ˈœʏ̯	0.44
ˈɔ	ˈɔ	0.204
ˈɛɪ̯	ˈuː	0.054
ˈɪ	ˈɪ	0.524
ˈʏ	ˈʉ	0.14
f	-	0.085
l	lː	0.135
v	kʰ_ʋ	0.075
ç	s	0.255
ə	ɑ	0.155
ɣ	ɡ	0.565
ɪ	e	0.5
ɪ	ɑ	0.5
ʃ	ʂ	0.505
ˈa	ˈɛ	0.055
ˈeo̯	ˈæʉ̯	0.745
ˈœ	ˈʊ	0.125
ˈɒː	ˈɑː	0.175
ˈɛɪ̯	ˈæɪ̯	0.215
b	b	0.856
h	h	0.826
l	j	0.076
p	ʰpː	0.136
t	-	0.096
ɐ	e_ɾ	0.076
ɐ	-	0.116
ə	-	0.056
ɡ	jː	0.86
ɣ	-	0.226
ˈa	ˈɔ	0.06
ˈuː	ˈʉː	0.6
ˈyː	ˈʉ	0.326
ˈœ	ˈœ	0.096
ˈɛɪ̯	ˈoː	0.066
ˈɛː	ˈæː	0.126
ˈɪ	ˈʉː	0.056
d	ç	0.067
d	d	0.327
f	f	0.727
j	ɡ	0.437
k	k	0.337
n	nː	0.237
t	t	0.57
ŋ	ɲ	0.057
ɐ	ə	0.057
ʃ	sː	0.107
ˈaː	ˈɑ	0.337
ˈeː	j	0.067
ˈeː	ˈeː	0.27
ˈiː	ˈɛ	0.057
ˈiː	ˈeː	0.067
ˈuː	ˈʉ	0.167
ˈøː	ˈeː	0.347
ˈɔ	ˈʉː	0.097
ˈɔ	ˈœ	0.097
ˈɔ	ˈʉ	0.147
ˈɔ	ˈɑ	0.197
ˈɛɪ̯	ˈʉː	0.207
ˈɛː	ˈɑ	0.197
ˈɪ	ˈɛ	0.127
f	ʋ	0.188
k	ç	0.208
k	kʰ	0.308
l	l	0.78
n	-	0.168
z	s	0.798
ɣ	ɡː	0.098
ʃ	s	0.388
ˈiː	ˈiː	0.778
ˈœ	ˈɔ	0.088
ˈɛɪ̯	ˈeː	0.088
ˈɛː	ˈʏ	0.218
ˈɛː	ˈœ	0.218
t	ʰtː	0.069
v	ʋ	0.59
w	ˈʏ	0.359
ˈeo̯	ˈeː	0.059
ˈeː	ˈøː	0.169
ˈiː	ˈyː	0.099
ˈɔ	ˈʏ	0.259
ˈɔʏ̯	ˈøː	0.949
ˈɛ	ˈɑː	0.059
ˈɛ	ˈiː	0.059
ˈɛ	ˈøː	0.09
ˈɛ	ˈeː	0.099
ˈɛɪ̯	ˈiː	0.09
ˈɪ	ˈiː	0.099
