Mainland North Frisian	Swedish	probability
ˈɔu̯	-	1.0
ˈœi̯	-	1.0
ˈœ_dʲ	ˈuː_d	1.0
ˈyː	ˈøː	1.0
ˈuː_x	ˈøː_ɡ	1.0
ˈaː	-	1.0
ʀ_t	ʈː	1.0
ʀ_s	ʂ	1.0
ʀ_n	ɳ	1.0
ɛi̯	ɔ	1.0
ŋ_k	kː	1.0
ç	-	1.0
z̥	d	1.0
x_t	tː	1.0
x	k	1.0
w	ɡ	1.0
v̥	-	1.0
t_ʀ	tʰ_r	1.0
lʲ	l	1.0
l_ə	l	1.0
k_ə	k	1.0
h_ˈa	ˈæ	1.0
h	h	1.0
dʲ	d	1.0
d_ˈiː	j_ˈʉː	1.0
ʀ	r	0.949
b	b	0.933
s	s	0.884
f	f	0.87
l	l	0.858
v	v	0.835
n	n	0.772
tʲ	t	0.75
ɡ	ɡ	0.746
ˈa	-	0.71
ˈɛ	-	0.704
ə_ʀ	r	0.704
ˈɛː	-	0.702
d̥	d	0.679
ˈɛi̯	-	0.678
ˈɒː	ˈɑː	0.67
m	m	0.668
ˈai̯	ˈɪ	0.66
ŋ	ŋː	0.644
d	-	0.597
i	-	0.591
ˈeː	-	0.564
ʃ	s_k	0.552
ə	a	0.495
p	p	0.494
ˈi	ˈiː	0.487
ˈœː	-	0.464
ʃ	ɧ	0.448
ˈeː	ˈɛ	0.436
k	kʰ	0.436
k	k	0.433
z	t	0.432
nʲ	n_d	0.429
t	t	0.425
ˈœ	ˈa	0.424
ˈuː	-	0.422
ə	ɛ	0.413
i	ɪ	0.409
ˈɔː	ˈʉː	0.406
ˈʏ	ˈʉː	0.391
p	pː	0.373
t	tʰ	0.363
ˈœ	-	0.361
ˈɒ	ˈa	0.36
ŋ	ŋ	0.356
ˈɒ	-	0.354
ˈai̯	-	0.34
ˈɔː	-	0.337
j	ɡ	0.334
ˈɔ	ˈɔ	0.333
ˈɔ	ˈuː	0.333
ˈɔ	-	0.333
z	s	0.333
ˈiː	ˈeː	0.332
m	mː	0.332
ˈɒː	-	0.33
ˈʊ	ˈɵ	0.322
ˈɛi̯	ˈɛː	0.322
ˈʊ	-	0.305
ˈɛː	ˈɛː	0.298
ˈɛ	ˈøː	0.296
ə_ʀ	r_a	0.296
ˈɒ	ˈɛ	0.286
nʲ	n	0.286
nʲ	-	0.286
ˈiː	-	0.277
ˈʏ	-	0.276
ˈœː	ˈʉː	0.274
ˈi	ˈɪ	0.272
d	d	0.269
ˈœː	ˈɵ	0.262
ˈɔː	ˈa	0.257
ɡ	j	0.254
j	j	0.254
tʲ	tː	0.25
j	-	0.249
z	-	0.234
ˈʊ	ˈʊ	0.228
ˈuː	ˈa	0.228
ˈuː	ˈoː	0.226
ˈœ	ˈuː	0.215
n	nː	0.175
ˈi	-	0.17
ˈa	ˈɛ	0.17
ˈʏ	ˈʏ	0.168
ˈʏ	ˈɵ	0.165
v	-	0.165
j	ˈɑː	0.163
d̥	ɖ	0.16
d̥	-	0.16
ˈʊ	ˈa	0.144
d	jː	0.134
p	pʰ	0.133
k	kː	0.132
f	-	0.13
ˈuː	ˈøː	0.125
t	tː	0.121
ˈiː	ˈɛ	0.12
ˈa	ˈɪ	0.12
l	ˈœ_l	0.102
ˈiː	ˈɛː	0.091
ˈiː	ˈʉː	0.09
ˈiː	j_ˈʉː	0.09
s	ɧ	0.088
t	-	0.074
ˈi	ˈeː	0.071
b	-	0.067
n	n_d	0.052
ə	d_ɛ	0.051
