Ligurian	Ligurian	probability
ˈɛː_r	ˈe_r	1.0
ˈyː	ˈy	1.0
ˈiː_#>	ˈi_#>	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈe_l	ˈɛ_t	1.0
ˈe_j	ˈe	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ʒ_e	ʦ	1.0
ʒ	z	1.0
ʃ	j_ʃ	1.0
ɲ	ɲ	1.0
ɥ	a_ð	1.0
ŋ_t_u_#>	n_#>	1.0
ŋ_t_e_#>	n_#>	1.0
ŋ_a	ɔ	1.0
ŋ_#>	ŋ_#>	1.0
z_u	j	1.0
y	-	1.0
w_ˈa	w_ˈa	1.0
v_u	w	1.0
v_e_#>	w_#>	1.0
v	β	1.0
t_e	j_t	1.0
sː	j	1.0
r_u	e	1.0
r_n	r	1.0
p	p	1.0
n_u	ŋ	1.0
m_i	nː	1.0
m	m	1.0
k_a	k_a	1.0
k	k	1.0
j_a	ɾ_ɔ	1.0
j_#>	s_#>	1.0
i_#>	s_#>	1.0
e_r	e_r	1.0
e_m	mː	1.0
e_#>	#>	1.0
a_#>	#>	1.0
<#_ʤ	<#_ʒ	1.0
<#_ʒ	<#_b	1.0
<#_ʃ	<#_e_h	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_b	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
f	h	0.944
ˈa	ˈa	0.935
ˈe	ˈe	0.926
l	l	0.889
u_#>	#>	0.887
a	ɔ	0.881
s	s	0.857
b	b	0.857
ˈu	ˈu	0.826
e	e	0.818
ˈy	ˈy	0.778
n	n	0.778
ˈɔ	ˈɔ	0.75
ˈø	w_ˈe	0.75
ˈɛ	ˈɛ	0.667
t	t	0.667
ʤ	ʎ	0.65
d	d	0.619
ˈuː	ˈu	0.615
z	ʒ	0.571
r	ɾ	0.568
ˈɔː	ˈa_w	0.545
ˈøː	ˈɔ	0.545
ŋ	n	0.52
<#_l	<#_ʎ	0.5
<#_l	<#	0.5
#>	w_#>	0.5
ɡ	ɣ	0.474
w	-	0.462
ˈɔː	ˈɔ	0.455
u	u	0.438
ˈeː	ˈɛ	0.429
ʧ	p_l	0.429
ɡ	k	0.421
i	i	0.4
i	e	0.4
ŋ	ŋ	0.36
ˈɛ	ˈe	0.333
ˈɛː	ˈɛ	0.308
j	e	0.308
j	-	0.308
ˈeː	ˈe	0.286
ʧ	k_l	0.286
ʧ	-	0.286
ˈøː	w_ˈe	0.273
ˈɔ	-	0.25
ˈø	-	0.25
ˈɛː	ˈa	0.231
ˈuː	-	0.231
w	w	0.231
j	u	0.231
ˈy	ˈu	0.222
n	-	0.222
r	r	0.216
z	z	0.214
z	-	0.214
i	-	0.2
ˈeː	j_ˈe	0.19
u	r	0.188
#>	ɔ_#>	0.188
#>	e_#>	0.188
ˈøː	ˈa	0.182
ˈu	ˈy	0.174
ˈɛː	ˈa_t	0.154
ˈɛː	r	0.154
ˈɛː	-	0.154
ˈuː	l_ˈu	0.154
w	ˈa_j	0.154
w	u	0.154
j	ɾ	0.154
ʤ	ʒ	0.15
s	e_s	0.143
d	ð	0.143
d	t	0.143
b	-	0.143
t	-	0.139
r	-	0.135
u	ɔ	0.125
u	w	0.125
u	-	0.125
#>	s_#>	0.125
ŋ	-	0.12
a	a	0.119
u_#>	e_#>	0.113
t	w_t	0.111
l	t	0.111
ɡ	ʤ	0.105
ʤ	ɡ_l	0.1
ʤ	-	0.1
ˈeː	j_ˈɛ	0.095
d	-	0.095
e	i	0.091
e	-	0.091
t	j_t	0.083
r	e	0.081
ˈe	ˈɛ	0.074
ˈa	ˈɛ_j	0.065
f	f	0.056
