North Frisian	Pennsylvania German	probability
b	b	0.905
b	-	0.095
d	d	0.524
d	t	0.343
d	s	0.06
dʲ	t	0.568
dʲ	d	0.432
f	f	0.835
f	p	0.121
h	h	1.0
i	ɪ	0.874
i	-	0.126
j	-	0.469
j	ɣ	0.151
j	ɡ	0.128
j	k	0.115
j	ˈiː	0.072
k	kʰ	0.299
k	ç	0.25
k	x	0.214
k	k	0.183
k	ɡ	0.054
l	l	0.974
lʲ	l	0.835
lʲ	ɑ	0.165
m	m	0.953
n	n	0.867
n	-	0.133
nʲ	n	0.835
nʲ	ɣ	0.165
p	f	0.729
p	p	0.203
p	p͡f	0.067
r	ɑ	0.498
r	ɾ	0.465
s	s	0.583
s	ʃ	0.308
s	-	0.054
t	t	0.307
t	ʦ	0.262
t	d	0.221
t	s	0.195
tʲ	s	0.765
tʲ	d	0.192
v	ʋ	0.6
v	v	0.204
v	f	0.106
v	-	0.07
w	k	0.489
w	-	0.213
w	x	0.209
w	ɡ	0.088
x	ç	0.643
x	x	0.357
z	s	0.773
z	ɾ	0.204
ŋ	ŋ	0.572
ŋ	ç	0.286
ŋ	-	0.142
ə	ə	0.537
ə	-	0.232
ə	ˈa	0.208
ɛi̯	eː	1.0
ɡ	ɡ	1.0
ʃ	ʃ	0.927
ʃ	kʰ	0.067
ˈa	ˈɛ	0.247
ˈa	ˈɪ	0.179
ˈa	ˈɛː	0.164
ˈa	-	0.081
ˈa	ɑ	0.073
ˈa	ˈʊ	0.07
ˈa	ˈɔː	0.057
ˈa	ˈaɪ̯	0.056
ˈai̯	ˈɪ	0.547
ˈai̯	ˈaɪ̯	0.198
ˈai̯	ˈiː	0.198
ˈai̯	ˈeː	0.056
ˈaː	ˈʊ	0.402
ˈaː	ˈoː	0.251
ˈaː	ˈɪ	0.237
ˈaː	ˈɔ	0.111
ˈeː	ˈɛ	0.34
ˈeː	ˈɪ	0.249
ˈeː	ˈɛː	0.197
ˈeː	ˈɔː	0.069
ˈeː	ˈa	0.058
ˈeː	ˈoː	0.058
ˈi	ˈaɪ̯	0.502
ˈi	ˈɪ	0.273
ˈi	ˈeː	0.107
ˈi	j	0.079
ˈiː	ˈeː	0.5
ˈiː	ˈiː	0.287
ˈiː	ˈɪ	0.061
ˈiː	ˈaɪ̯	0.051
ˈu	ˈaː	0.669
ˈu	ˈɪ	0.331
ˈuː	ˈɔː	0.404
ˈuː	ˈa	0.181
ˈuː	ˈoː	0.165
ˈuː	ʋ	0.112
ˈuː	ˈeː	0.075
ˈuː	ˈaʊ̯	0.064
ˈyː	ˈaʊ̯	0.236
ˈyː	ˈaɪ̯	0.221
ˈyː	ˈoː	0.138
ˈyː	ˈʊ	0.134
ˈyː	ˈuː	0.091
ˈyː	ˈɔː	0.072
ˈyː	ˈa	0.058
ˈøː	ˈaʊ̯	0.382
ˈøː	ˈaɪ̯	0.251
ˈøː	ˈɔ	0.165
ˈøː	ˈʊ	0.114
ˈøː	-	0.066
ˈœ	ˈa	0.53
ˈœ	ˈuː	0.19
ˈœ	ˈɛː	0.093
ˈœ	ˈʊ	0.091
ˈœ	ˈaː	0.056
ˈœi̯	ˈuː	1.0
ˈɒ	ˈa	0.563
ˈɒ	ˈɔː	0.158
ˈɒ	ˈɪ	0.143
ˈɒ	ˈeː	0.09
ˈɒː	ˈa	0.683
ˈɒː	ˈɔː	0.172
ˈɒː	ˈeː	0.145
ˈɔ	ˈaː	0.516
ˈɔ	ˈa	0.267
ˈɔ	ˈɛ	0.202
ˈɔi̯	ˈɔɪ̯	1.0
ˈɔu̯	ˈoː	0.423
ˈɔu̯	-	0.358
ˈɔu̯	ˈɔ	0.073
ˈɔu̯	ˈaʊ̯	0.067
ˈɔː	ˈɔː	0.261
ˈɔː	ˈa	0.233
ˈɔː	ˈɪ	0.118
ˈɔː	ˈɛ	0.101
ˈɔː	ˈiː	0.089
ˈɔː	ˈɛː	0.089
ˈɔː	ˈɔ	0.078
ˈɛ	ˈuː	0.312
ˈɛ	ˈɪ	0.266
ˈɛ	ˈɛː	0.246
ˈɛ	ˈiː	0.177
ˈɛi̯	ˈiː	0.486
ˈɛi̯	ˈɛː	0.267
ˈɛi̯	ˈoː	0.11
ˈɛi̯	ˈɔː	0.095
ˈɛː	ˈɛ	0.405
ˈɛː	ˈa	0.329
ˈɛː	ˈɔː	0.126
ˈɛː	ˈeː	0.074
ˈɛː	ˈoː	0.065
ˈʊ	ˈʊ	0.458
ˈʊ	ˈɪ	0.164
ˈʊ	ˈa	0.153
ˈʊ	ˈɔː	0.073
ˈʊ	ʋ_ˈɔ	0.071
ˈʊ	ˈeː	0.059
ˈʏ	ˈaɪ̯	0.36
ˈʏ	ˈɔ	0.221
ˈʏ	ˈɛ	0.204
ˈʏ	ˈaʊ̯	0.133
ˈʏ	ˈɪ	0.082
