Limburgish	Bokmål Norwegian	probability
b	b	0.949
b	-	0.053
d	d	0.573
d	tʰ	0.347
d	-	0.053
d	ç	0.036
f	ʋ	0.474
f	-	0.324
f	m	0.186
j	-	0.589
j	ə	0.11
j	l	0.093
j	ˈoː	0.084
j	lː	0.061
j	tː	0.044
k	k	0.352
k	kʰ	0.313
k	-	0.158
k	ɡː	0.073
k	ç	0.055
k	kː	0.035
l	l	0.823
l	lː	0.125
l	-	0.03
l	nː	0.03
m	m	0.848
m	mː	0.129
m	n	0.034
n	n	0.621
n	nː	0.193
n	-	0.176
n_d	nː	1.0
n_t	nː	1.0
p	p	0.69
p	-	0.094
p	pʰ	0.092
p	ɾ	0.092
s	s	0.923
s	sː	0.072
t	t	0.377
t	-	0.301
t	d	0.148
t	tʰ	0.104
t	nː	0.029
t	tː	0.028
t	ʈ	0.028
t_β	tʰ	1.0
v	f	0.712
v	ʋ	0.205
v	-	0.079
w	lː	0.482
x	-	0.388
x	tː	0.208
x	j	0.127
x	ɡ	0.127
x	s	0.073
x	k	0.059
z	s	0.899
z	ʂ	0.089
ŋ	ŋː	0.817
ŋ	ŋ	0.094
ŋ	ə	0.067
ŋ_k	kː	1.0
ə	-	0.508
ə	ə	0.463
ə	i	0.032
ɡ	-	0.482
ɣ	ɡ	0.581
ɣ	-	0.171
ɣ	j	0.158
ɣ	n	0.062
ɦ	h	0.923
ɦ	j	0.076
ɪ	ɪ	0.365
ɪ	ŋ	0.176
ɪː	ˈɪ	0.482
ʀ	ɾ	0.835
ʀ	-	0.105
ʀ	ɳ	0.051
ʃ	ʃ	0.488
ʃ	f	0.235
ʃ	k	0.072
ʦ	k	0.232
ˈaː	ˈɑ	0.436
ˈaː	ˈɑː	0.319
ˈaː	-	0.077
ˈaː	ˈæɪ̯	0.064
ˈaː	ˈɛ	0.061
ˈaː	ˈæː	0.041
ˈeː	ˈyː	0.238
ˈeː	ˈiː	0.181
ˈeː	ˈeː	0.146
ˈeː	ˈʉː	0.117
ˈeː	ˈæː	0.1
ˈeː	ˈæɪ̯	0.07
ˈeː	j	0.061
ˈeː	-	0.041
ˈeː	ˈɛː	0.041
ˈi	ˈøː	0.245
ˈi	ˈuː	0.162
ˈi	ˈiː	0.111
ˈi	ˈoː	0.111
ˈi	ˈɪ	0.111
ˈi	ˈæɪ̯	0.079
ˈi	ˈɛ	0.077
ˈiː	ˈiː	0.622
ˈiː	ˈyː	0.133
ˈiː	ˈɛ	0.133
ˈiː	ˈeː	0.094
ˈoː	ˈʉː	0.339
ˈoː	ˈuː	0.295
ˈoː	ˈɔ	0.194
ˈoː	ˈʊ	0.124
ˈu	ˈøː	1.0
ˈu_t	ˈøː	1.0
ˈuː	ˈʉː	0.745
ˈuː	ˈøː	0.145
ˈuː	ˈʉ	0.096
ˈv	f	0.482
ˈyː	ˈøː	0.27
ˈyː	ˈyː	0.235
ˈyː	-	0.113
ˈæ	ˈɑ	0.45
ˈæ	ˈɛ	0.297
ˈæ	ˈɔ	0.178
ˈæː	ˈɑ	0.608
ˈæː	ˈɛ	0.153
ˈæː	ˈæ	0.043
ˈøː	ˈuː	0.197
ˈøː	ˈøː	0.197
ˈøː	ˈœ	0.165
ˈøː	ˈoː	0.125
ˈøː	ˈʊ	0.086
ˈøː	ˈyː	0.083
ˈœ	ˈʏ	0.517
ˈœ	ˈɑː	0.217
ˈœ	ˈuː	0.072
ˈœi̯	ˈœ	0.253
ˈœi̯	ˈʉː	0.253
ˈœi̯	ˈyː	0.161
ˈœi̯	ˈʊ	0.097
ˈœi̯	ˈʏ	0.097
ˈœː	ˈɔ	0.66
ˈœː	ˈʊ	0.153
ˈɑ	ˈɑ	0.461
ˈɑ	ˈɛ	0.322
ˈɑ	ˈeː	0.094
ˈɑ	ˈɑː	0.094
ˈɑː	ˈɑ	0.831
ˈɑː	ˈɑː	0.168
ˈɒː	ˈoː	0.843
ˈɒː	ˈeː	0.077
ˈɒː	ʋ	0.051
ˈɔ	ˈuː	0.328
ˈɔ	ˈʉ	0.249
ˈɔ	ˈœ	0.189
ˈɔ	ˈʉː	0.109
ˈɔ	ˈɑ	0.075
ˈɔu̯	ˈøː	0.482
ˈɔː	ˈʉ	0.362
ˈɔː	ˈœ	0.239
ˈɔː	ˈøː	0.152
ˈɔː	ˈœʏ̯	0.152
ˈɛ	ˈiː	0.389
ˈɛ	ˈɛ	0.312
ˈɛ	ˈeː	0.124
ˈɛ	ˈɪ	0.119
ˈɛi̯	ˈeː	0.482
ˈɛː	ˈæɪ̯	0.377
ˈɛː	ˈɛ	0.229
ˈɛː	ˈeː	0.151
ˈɛː	ˈiː	0.115
ˈɛː	ˈɪ	0.115
ˈɛːi̯	ˈɛ	1.0
ˈɪ	ˈʉ	0.203
ˈɪ	ˈøː	0.161
ˈɪ	ˈiː	0.154
ˈɪ	ˈɪ	0.145
ˈɪ	ˈɛ	0.092
ˈɪː	ˈɪ	0.532
ˈɪː	ˈiː	0.136
ˈɪː	ˈœ	0.136
ˈɪː	ˈʉː	0.097
ˈɪː	ˈʏ	0.067
ˈʊ	ˈʊ	0.482
ˈʊː	ˈuː	0.51
ˈʊː	ˈʉ	0.188
ˈʊː	ˈoː	0.092
ˈʊː	ˈʊ	0.07
ˈʊː	ˈœ	0.058
ˈʊː	-	0.056
ˈʏ	ˈʏ	0.574
ˈʏ	ˈœ	0.277
ˈʏː	ˈɛ	0.392
ˈʏː	ˈœ	0.217
ˈʏː	ˈɔ	0.217
β	ʋ	0.726
β	-	0.217
β	ç	0.052
