Slovenian	Slovak	probability
a	a	1.0
á	ˈa	1.0
áː	ˈa	1.0
b	b	1.0
e	ˈɛ	1.0
ìː	ˈi	1.0
íː	ˈi	1.0
m	m	1.0
òː	ˈɔ	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɔ̀ː	ˈɔ	1.0
ɔ́	ʊ̯ˈɔ	1.0
ɔ́ː	ˈɫ̩	1.0
ə̀	-	1.0
ɛ	ɛ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
d	d	0.481
éː	ɪ̯ˈɛ	0.071
i	i	0.11
ə	-	0.281
ʧ	ʧ	0.191
k	x	0.122
l	l	0.372
óː	ˈɔ	0.442
r	r	0.942
w	iː	0.752
ɛ̀ː	ˈɛ	0.802
ʋ	v	0.212
èː	ˈɛ	0.13
éː	ɛ	0.293
w	ʎ	0.093
ɔ	ˈɔ	0.063
ɡ	ɦ	0.973
ʦ	ʦ	0.493
èː	ɪ̯ˈɛ	0.794
t	c	0.344
x	x	0.904
ə	ɔ	0.274
àː	ˈaː	0.205
àː	ˈa	0.795
j	-	0.465
j	j	0.535
l	ʎ	0.235
n	n_iː	0.105
w	ɫ	0.155
ə	ɛ	0.445
èː	ɪ̯ˈa	0.076
éː	ˈa	0.146
l	ɫ	0.36
n	ɲ	0.506
t	t	0.656
x	x_iː	0.096
o	ˈɔ	0.987
ɔ	ɔ	0.937
ʦ	-	0.507
k	k	0.878
ɛ̀ː	ˈa	0.198
ʋ	ʋ	0.788
d	ɟ	0.519
éː	ˈɛ	0.489
i	-	0.89
n	n	0.389
óː	ˈu	0.139
óː	ɔ	0.419
ʧ	ʦ	0.809
