Insular North Frisian	Hessian	probability
ˈʊ_ŋ	ˈɛ̃ː	1.0
ˈɛː	ˈæ	1.0
ˈɔa̯_n	ˈẽː	1.0
ˈøː	-	1.0
ˈaː	-	1.0
ʃ	s	1.0
ʁ̥_t	ɐ_d̥	1.0
ɪ	i	1.0
ə	-	1.0
ç_ə	ˈoĩ̯	1.0
ç_t	ʃ_t	1.0
v	v	1.0
tʲ	d̥	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ˈɛ	ʀ	1.0
m	m	1.0
lʲ	-	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
aɪ̯	ˈai̯_ʦ	1.0
n	n	0.887
ŋ	ŋ	0.793
ɡ	ɡ̊	0.762
s	s	0.755
r	ʀ	0.739
tʰ	d̥	0.732
ɾ	d̥	0.701
x	x	0.669
ˈiː_n	ˈãː	0.667
ɐ	æ̆	0.627
ˈyː	ˈoi̯	0.619
ˈuː	-	0.618
ˈɪ	ˈi	0.615
p	v̥	0.598
b	b̥	0.586
d	t	0.583
ˈaɪ̯	ˈɑː_ɣ̊	0.552
ˈeː	-	0.542
ʁ̥	-	0.539
ˈɔa̯	ˈoː	0.538
ˈa	ˈɑ	0.538
pʰ	f	0.515
ˈeː_n	ˈõː	0.5
ˈeː_n	ˈĩː	0.5
nʲ	n_ə	0.5
nʲ	n	0.5
pʰ	pʰ	0.485
ʁ̥	ɐ	0.461
ˈaɪ̯	-	0.448
ˈɔː	ˈɑː	0.437
t	s	0.433
ˈoː	ˈaː	0.43
d	-	0.417
b	p	0.414
ç	ʃ	0.402
p	-	0.402
ˈɔː	ˈa	0.401
ˈuː	ˈɔ	0.382
ˈyː	-	0.381
ˈʏ	ˈau̯	0.376
ˈɛ	ˈi	0.371
ˈiː	ˈiː	0.358
ˈɔ	ˈo	0.352
ˈʊ	ˈu	0.348
ˈœ	-	0.344
t	t	0.337
k	ʃ	0.336
ˈiː_n	ˈɑ̃i̯	0.333
x	-	0.331
ç	ɣ̊	0.33
ˈʊ	ˈi	0.295
ˈoː	-	0.291
ˈɔ	ˈuː	0.278
ˈoː	ˈu	0.278
ç	k	0.268
tʰ	ʦ	0.268
ˈeː	ˈe	0.267
ɐ	ɐ	0.267
ˈʏ	-	0.257
ˈɔa̯	ˈa	0.247
ˈɪ	-	0.241
k	x	0.239
ɡ	k	0.238
ˈa	ˈa	0.237
ˈiː	-	0.227
ˈa	-	0.225
ˈɔa̯	oː	0.215
ˈiː	ˈɑː	0.207
ˈiː	ˈai̯	0.207
ŋ	ʃ	0.207
ˈɛ	ˈe	0.192
ˈeː	ˈa	0.19
ˈʊ	-	0.187
ˈɔ	ˈɛ	0.185
ˈɔ	-	0.185
ˈɛ	ˈɛ	0.184
ˈʊ	ˈo	0.17
ˈɔː	-	0.163
ˈʏ	ˈɑ	0.157
ɾ	d̥_ə	0.156
r	ˈæ	0.152
ˈœ	ˈɑ	0.145
ˈɪ	ˈai̯	0.144
ˈœ	ˈuː	0.144
ˈœ	ˈu	0.143
ɾ	-	0.143
ˈʏ	ˈu	0.124
t	ʦ	0.119
ˈɛ	ˈiː	0.118
ˈœ	ˈɔ	0.113
ˈœ	ˈi	0.111
s	-	0.111
t	d̥	0.11
r	ɐ	0.109
k	ɡ̊	0.108
k	k	0.108
k	-	0.108
ɐ	ɐ_n	0.106
k	ʤ̥	0.1
ˈʏ	ˈoi̯	0.087
ˈɛ	-	0.081
s	s_ˈeː	0.08
n	-	0.072
s	ʃ	0.055
ˈɛ	ˈai̯	0.054
