Spanish	Spanish	probability
θ_ˈe	j_s	1.0
θ_#>	ʦ_#>	1.0
β_o_#>	p_#>	1.0
β_e_#>	w_#>	1.0
ˈu_ɾ	ˈy	1.0
ˈo_ɾ_#>	ˈu_#>	1.0
ˈo_n_#>	ˈu_#>	1.0
ˈi_o	ˈi_w	1.0
ˈi_n	ˈi	1.0
ˈe_ɣ	ˈɔ_k	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_n	ˈa	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_n_o_#>	ʀ_#>	1.0
ɾ_a	ɾ_ɔ	1.0
ɾ_#>	#>	1.0
ŋ	ŋ	1.0
ð_ɾ	j_ɾ	1.0
ð_#>	t_#>	1.0
x	ʎ	1.0
t_o_#>	#>	1.0
t_e_#>	#>	1.0
t	t	1.0
s_ˈe	s	1.0
s_#>	s_#>	1.0
r	ʀ	1.0
o_#>	#>	1.0
m_ˈo	l	1.0
m_b	nː	1.0
l_ˈe	l_ˈe	1.0
k_o_#>	k_#>	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
f	f	1.0
e_ɾ	b_ˈɛ	1.0
e_n	e_n	1.0
e_#>	#>	1.0
b_ɾ_e_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ˈo	<#_ɥ	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
m	m	0.971
b	b	0.944
p	p	0.939
s	s	0.909
<#	<#_f	0.867
ʝ	l	0.833
d	d	0.833
e	e	0.821
ˈi	ˈi	0.818
n	n	0.789
l	l	0.778
ɡ	ɡ	0.75
β	β	0.731
w_ˈe	ˈɔ	0.731
a	ɔ	0.722
ˈu	ˈy	0.7
ɣ	ɣ	0.667
x_o	l	0.667
ɲ	ɲ	0.636
ð	ð	0.611
w	-	0.6
u	u	0.6
ˈe	ˈe	0.565
ˈo	ˈu	0.543
i	i	0.5
i	e	0.5
ɾ	ɾ	0.483
j	j	0.467
θ	-	0.438
ɟ͡ʝ	p_l	0.4
w	ɥ	0.4
u	-	0.4
j	-	0.4
x_o	ˈɛ_l	0.333
o	u	0.333
θ	s	0.312
ɾ	ʀ	0.293
o	e	0.282
ð	t	0.278
w_ˈe	ˈu	0.269
θ	z	0.25
ɡ	k	0.25
ˈo	ˈa_w	0.229
l	-	0.222
a	a	0.211
ɣ	-	0.2
ɟ͡ʝ	ʤ	0.2
ɟ͡ʝ	l	0.2
ɟ͡ʝ	k_l	0.2
β	w	0.192
ɲ	n	0.182
ɲ	-	0.182
ʝ	ʤ	0.167
d	-	0.167
n	-	0.158
ˈe	ˈɛ	0.152
ˈu	ˈu	0.15
ˈu	ɥ	0.15
ɣ	k	0.133
j	ˈɛ	0.133
<#	<#_ʤ	0.133
ˈi	-	0.121
ð	-	0.111
e	-	0.107
o	w	0.103
o	i	0.103
s	z	0.091
ˈe	j_ˈɛ	0.087
ˈo	ˈɔ	0.086
ˈo	ɥ_ˈɛ	0.086
β	-	0.077
o	s	0.077
e	ˈɛ	0.071
ɾ	-	0.069
ˈe	e	0.065
ˈi	ˈɛ	0.061
p	-	0.061
ˈo	ˈa	0.057
b	-	0.056
n	ˈi	0.053
ɾ	e	0.052
o	l	0.051
o	-	0.051
