Occitan	Corsican	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_u	<#_o	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈo	1.0
<#_ʤ	<#_ɟ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_l	a_l	1.0
a_w	o	1.0
a_ð	a_t	1.0
a_β	a_p	1.0
b	b	1.0
d	d	1.0
i	i	1.0
j_ˈɛ	ˈe	1.0
k	a	1.0
k_ɔ	kː_a	1.0
l_#>	l_u	1.0
p	p	1.0
p_#>	p_u	1.0
p_ˈa	p_ˈa	1.0
s_k	s_k	1.0
s_t	s_t	1.0
t_ˈa	t_ˈa	1.0
u_l	u_l	1.0
v	v	1.0
w_#>	e_#>	1.0
y	u	1.0
ð	t	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɡ	ɡ_w	1.0
ɡ_l	ɟ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈɔ_k	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɲ	ɲ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ˈe	r_ˈɛ	1.0
ʎ	ʎ	1.0
ʦ	ʦː	1.0
ʦ_#>	ʧ_e	1.0
ʧ	tː	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_j	ˈa_t	1.0
ˈa_l	ˈa_l	1.0
ˈa_n	ˈa_n	1.0
ˈa_t	ˈa_tː	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈe_j	ˈɛ	1.0
ˈe_k	ˈɛ_kː	1.0
ˈi_#>	e	1.0
ˈi_l	ˈi_lː	1.0
ˈi_n	ˈi_n	1.0
ˈu_l	ˈɔ_c	1.0
ˈu_t	ˈu_tː	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_w	ˈɔ_v	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_r	ˈɛ_rː	1.0
ˈɛ_s	ˈe_s	1.0
β_l	bː_j	1.0
#>	n_u_#>	0.081
#>	e_#>	0.341
<#_k	<#	0.081
<#_s	<#_s	0.71
e	e	0.111
e	-	0.111
e	ˈɛ	0.111
e	a	0.111
e	i	0.481
l	l	0.111
l	c	0.111
n	-	0.091
s_#>	j_#>	0.571
t	d	0.1
t	tː	0.1
ɾ	-	0.1
ˈy	ˈu_r	0.111
ˈɛ	-	0.091
β	b	0.231
<#_ˈa	<#	0.2
e_#>	e_#>	0.52
r	r	0.882
u	-	0.182
w	ˈo	0.2
ˈu	ˈu	0.132
ˈɔ	ˈɔ	0.692
a	-	0.133
n	n	0.773
s	-	0.083
s	ʦ	0.083
s	ʃ	0.083
s	p	0.083
s	ʧ	0.083
s	s	0.333
u	ˈɔ	0.273
w	l	0.3
z	d	0.333
z	z	0.333
z	ʧ	0.333
ɣ	ɡ	0.333
ˈa_w	ˈo	0.333
ˈe	-	0.083
ˈi	ˈu	0.083
ˈu	ˈo_n	0.053
ˈu	ˈo_r	0.053
<#_a	<#_a	0.714
e	o	0.074
j	-	0.714
k_#>	u	0.4
l	ʎ	0.074
ŋ_k	ŋ_ɡ	0.4
ˈa	ˈa	0.914
ˈɛ_l	ˈe_lː	0.714
j_s	ˈɔ_ʃ	0.5
j_s	ʃː	0.5
m	-	0.105
m	m	0.895
s	sː	0.125
s	ʧː	0.125
t	-	0.15
t	t	0.65
u	u	0.545
w	-	0.5
ɾ	e_r	0.175
ɾ	r	0.725
ʤ	ʤ	0.5
ʤ	ɟ	0.5
ˈe	ˈe	0.125
ˈe	ˈɛ	0.625
ˈɛ	ˈe	0.455
ˈɛ	ˈɛ	0.455
β	v	0.385
β	p	0.385
<#_a	<#	0.286
j	j	0.286
k_#>	k_u_#>	0.6
l	j	0.296
n	nː	0.136
ŋ_k	ŋ_k	0.6
ˈa	ˈa_n	0.086
ˈu	ˈɔ	0.526
ˈɛ_l	c	0.286
a	a	0.867
l	lː	0.407
ɣ	k	0.667
ˈa_w	ˈɔ	0.667
ˈe	ˈi	0.167
ˈi	ˈi	0.917
#>	u_#>	0.578
<#_ˈa	<#_ˈa	0.8
e_#>	u_#>	0.48
r	d	0.118
ˈu	ˈo	0.158
ˈɔ	ˈo	0.308
<#_k	<#_k	0.919
<#_s	<#_ʧ	0.29
s_#>	i_#>	0.429
ˈu	ˈɔ_n	0.079
ˈy	ˈu	0.889
