Spanish	Spanish	probability
β_e	v_ɪ	1.0
ˈu	ˈu	1.0
ˈo_t	ˈu	1.0
ˈo_s	ɖː	1.0
ˈe_ɣ	k	1.0
ˈe_s	sː	1.0
ˈe_r	ʐː	1.0
ɾ_ˈe	ɾ_ˈa	1.0
ɾ_o	j	1.0
ɾ_i	ɾ	1.0
ɾ_e	ʊ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_a	t_a	1.0
ð_#>	#>	1.0
x_o	ʊ	1.0
w_ˈe	ˈɔ	1.0
u	u	1.0
t_e	t_ɪ	1.0
s_#>	#>	1.0
r	ʐ	1.0
p	p	1.0
o_s	ɪ	1.0
n_d	nː	1.0
n_#>	n_ɪ_#>	1.0
n	n	1.0
l_ˈe	l_ˈi	1.0
j_ˈe	ˈɛ	1.0
e_ɾ	b	1.0
e_s	ʃ	1.0
e_#>	#>	1.0
d	d	1.0
b_ˈe	v_ˈi	1.0
b_ɾ	ɪ	1.0
a_β	ˈa_p	1.0
a_ð	a_t	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_x	<#_j	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_e	<#_a	1.0
ˈa	ˈa	0.95
a	a	0.932
k	k	0.897
o	ʊ	0.853
ʝ	ɖː	0.818
m	m	0.812
f	f	0.8
ʧ	tː	0.75
#>	ɪ_#>	0.75
l	l	0.721
s	s	0.667
i	i	0.667
t	t	0.636
θ	ɕ	0.621
<#	<#_f	0.615
ˈo	ˈu	0.606
ɾ_a	ɾ_a	0.6
ˈi	ˈi	0.586
ɲ	ɲː	0.583
ð	t	0.583
b	v	0.556
ɾ	ɾ	0.535
ɟ͡ʝ	c	0.5
x	ɟː	0.5
<#_o	<#_o	0.5
<#_o	<#	0.5
j	-	0.471
ɣ	k	0.455
β	v	0.435
ɾ_#>	r_ɪ_#>	0.406
ɾ_a	a	0.4
ˈe	ˈi	0.392
β	p	0.391
e	ɪ	0.379
ɣ	ɡ	0.364
x	cː	0.357
w	ˈɔ	0.357
w	w	0.357
ɲ	nː	0.333
s	-	0.333
i	-	0.333
b	b	0.333
ɾ_#>	ɪ_#>	0.312
ɾ_#>	ɾ_ɪ_#>	0.281
ɾ	r	0.279
e	i	0.276
ʧ	t	0.25
ɟ͡ʝ	j	0.25
ɟ͡ʝ	-	0.25
ð	ʈ	0.25
<#	<#_j	0.231
θ	-	0.207
f	fː	0.2
ˈo	ˈɔ	0.182
ʝ	-	0.182
ɣ	-	0.182
j	ˈɛ	0.176
j	ɪ	0.176
j	j	0.176
ð	tː	0.167
<#	<#_l	0.154
#>	ʊ_#>	0.15
x	ʤ	0.143
w	ˈu	0.143
w	ˈo	0.143
ɾ	ɽ	0.14
ˈi	ɪ	0.138
ˈi	f_ˈi	0.138
e	-	0.138
ˈe	ˈɛ	0.137
t	tː	0.136
β	-	0.13
b	-	0.111
θ	ʃː	0.103
k	kː	0.103
e	ˈɛ	0.103
e	ʊ	0.103
#>	ɾ_ɪ_#>	0.1
ˈe	ɾ	0.098
ˈe	ɪ_ɾ	0.098
l	ɾ	0.093
ˈo	ˈo	0.091
t	ʧː	0.091
t	ʈ	0.091
ɲ	ɲ	0.083
ˈe	ˈe	0.078
ˈe	-	0.078
l	ɖː	0.07
l	-	0.07
θ	ʦ	0.069
ˈi	ˈɛ	0.069
ˈi	-	0.069
m	ˈɛ	0.062
m	mː	0.062
m	-	0.062
ˈo	ˈu_ɾ	0.061
ˈo	ˈa_w	0.061
