Italian	Ligurian	probability
b	b	1.0
bː	-	1.0
f	f	1.0
kː	k	1.0
mː	m	1.0
nː	n	1.0
rː	r	1.0
s	s	1.0
tː	t	1.0
w	w	1.0
z	z	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʎː	ʤ	1.0
ʤː	z	1.0
ʦ	s	1.0
ʦː	s	1.0
ʧː	s	1.0
i	i	0.561
j	ʤ	0.551
p	p	0.761
r	-	0.251
t	t	0.761
ˈe	ˈɛː	0.051
ˈo	w	0.051
d	d	0.752
p	v	0.222
sː	s	0.622
ˈe	-	0.062
ˈe	ˈe	0.662
ˈo	ˈu	0.722
ˈɔ	ˈɔ	0.382
ˈɛ	ˈɛː	0.232
a	-	0.063
l	l	0.613
n	ŋ	0.563
ʤ	ʒ	0.063
ˈa	ˈaː	0.223
ˈo	ˈuː	0.153
ˈɛ	ˈe	0.463
j	j	0.094
k	k	0.784
o	u	0.894
v	v	0.954
ʧ	s	0.584
ˈi	ˈɛ	0.114
ˈi	ˈiː	0.24
ˈu	ˈyː	0.164
i	e	0.255
j	-	0.35
lː	l	0.975
r	j	0.285
r	r	0.465
t	-	0.205
ɡ	ɡ	0.975
ˈɔ	ˈøː	0.085
ˈɔ	ˈɔː	0.475
e	-	0.056
e	e	0.826
i	ˈeː	0.066
k	ɡ	0.176
ʧ	ʒ	0.416
ˈi	ˈi	0.646
l	r	0.17
l	-	0.217
ʤ	z	0.877
ˈu	ˈu	0.187
ˈɛ	ˈeː	0.227
d	-	0.248
i	-	0.118
m	m	0.948
sː	ʃ	0.378
ˈa	ˈɛː	0.078
ˈu	ˈy	0.578
ˈɔ	ˈø	0.058
a	a	0.889
n	n	0.419
o	-	0.059
ʤ	ʤ	0.059
ˈa	ˈa	0.699
ˈe	ˈe_j	0.09
ˈɛ	ˈɛ	0.079
