American English	Scots	probability
b	b	0.963
d	d	0.947
d	-	0.053
f	f	0.96
h	h	1.0
i	i	0.69
i	ɪ	0.246
i	e	0.064
j	j	1.0
k	k	0.959
kʰ	kʰ	1.0
l	l	1.0
m	m	0.976
n	n	1.0
oʊ̯	ə	1.0
p	p	1.0
pʰ	pʰ	1.0
s	s	0.98
t	t	1.0
tʰ	tʰ	1.0
tː	t	1.0
v	v	0.922
v	-	0.078
w	w	0.822
w	ʍ	0.095
z	z	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ə	ə	0.792
ə	-	0.208
ɚ	r	0.531
ɚ	ə	0.437
ɡ	ɡ	1.0
ɪ	ə	1.0
ɫ	l	0.95
ɹ	r	0.987
ɾ	t	0.707
ɾ	x	0.293
ʃ	ʃ	0.855
ʃ	s	0.145
ʔ	t	0.858
ʔ	ç_t	0.142
ʤ	ɡ	0.755
ʤ	ʤ	0.245
ʧ	ʧ	0.767
ʧ	k	0.233
ˈaɪ̯	ˈəi̯	0.423
ˈaɪ̯	ˈɪ	0.212
ˈaɪ̯	ˈiː	0.186
ˈaɪ̯	ˈaɪ̯	0.079
ˈaʊ̯	ˈu	0.665
ˈaʊ̯	ˈuː	0.335
ˈeɪ̯	ˈe	0.443
ˈeɪ̯	ˈeː	0.202
ˈeɪ̯	ˈa	0.116
ˈeɪ̯	ˈɛ	0.088
ˈeɪ̯	ˈəi̯	0.067
ˈi	ˈiː	0.511
ˈi	ˈi	0.489
ˈoʊ̯	ˈe	0.32
ˈoʊ̯	ˈɑː	0.23
ˈoʊ̯	ˈeː	0.175
ˈoʊ̯	ˈʌu̯	0.118
ˈoʊ̯	ˈoː	0.105
ˈoʊ̯	ˈɛ	0.053
ˈu	ˈø	0.605
ˈu	ˈiː	0.101
ˈu	ˈu	0.096
ˈu	ˈøː	0.067
ˈu	ˈɑː	0.067
ˈu	ˈuː	0.063
ˈæ	ˈɑː	0.377
ˈæ	ˈa	0.287
ˈæ	ˈɛ	0.161
ˈæ	ˈʌ	0.101
ˈɑ	ˈeː	0.328
ˈɑ	ˈa	0.257
ˈɑ	ˈo	0.248
ˈɑ	ˈɛ	0.106
ˈɔ	ˈo	0.542
ˈɔ	ˈa	0.11
ˈɔ	w	0.084
ˈɔ	ˈoː	0.08
ˈɔ	ˈeː	0.061
ˈɔ	ˈɔɪ̯	0.061
ˈɔ	ˈʌu̯	0.061
ˈɛ	ˈɛ	0.415
ˈɛ	ˈi	0.193
ˈɛ	ˈeː	0.159
ˈɛ	ˈe	0.088
ˈɛ	ˈɪ	0.074
ˈɛ	ˈa	0.071
ˈɝ	ˈɪ	0.756
ˈɝ	r_ˈɪ	0.244
ˈɪ	ˈɪ	0.8
ˈɪ	ˈi	0.085
ˈɪ	-	0.064
ˈʊ	ˈuː	0.282
ˈʊ	ˈu	0.245
ˈʊ	ˈɪ	0.245
ˈʊ	ˈø	0.228
ˈʌ	ˈʌ	0.618
ˈʌ	ˈɪ	0.258
ˈʌ	-	0.052
ˈʌɪ̯	ˈɪ	0.455
ˈʌɪ̯	ˈəi̯	0.449
ˈʌɪ̯	ˈɑː	0.096
θ	θ	0.969
