Zeelandic	Zeelandic	probability
ˈɒː	ˈa	1.0
ˈɑu̯	ˈa_l	1.0
ˈæi̯	ˈaɪ̯	1.0
ˈiːə̯	ˈeː_ə	1.0
ɾ_ə	ɐ	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_ɾ	ɐ	1.0
ə_n	n	1.0
ə_#>	#>	1.0
x_ə	ɡ	1.0
x_#>	ɡ̊_#>	1.0
w	-	1.0
s_x	ʃ	1.0
s_t	s_t	1.0
s_#>	ʃ_#>	1.0
s	ʃ	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
p	p͡f	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
iː	eː	1.0
i	ɪ	1.0
b	b	1.0
<#_ˈɛː	<#_h_ˈaː	1.0
<#_ˈɑ	<#	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#	<#_h	1.0
ʋ	v	0.909
v	f	0.84
ˈɑ	ˈa	0.818
ŋ	ŋ	0.818
x	ɡ	0.75
z	z	0.741
ˈyː	ˈaʊ̯	0.733
z̥	z̥	0.714
ˈɪ	ˈɪ	0.667
ˈuː	ˈuː	0.667
v̥	b̥	0.667
ˈɪə̯	ˈaɪ̯	0.636
x_t	x_t	0.6
k_#>	#>	0.6
ˈiː	ˈiː	0.588
ˈøː	-	0.571
d	d	0.559
d̥	t	0.552
ɾ	ɐ	0.537
t	s	0.536
ˈæ	ˈɛ	0.533
ˈi	ˈaɪ̯	0.533
#>	n_#>	0.533
ə	ə	0.51
ˈu	ˈʊ	0.5
ˈu	ˈuː	0.5
ˈeː	ˈɛ	0.5
j	j	0.5
j	-	0.5
d̥	d̥	0.448
ˈʏ	-	0.429
ˈøː	ˈoː	0.429
ˈʊə̯	ˈoː	0.412
ˈɛː	ˈaː	0.409
ə	n	0.408
x_t	ç_t	0.4
k_#>	ç_#>	0.4
k	k	0.4
d	tʰ	0.382
ˈɔ	ˈʊ	0.381
ˈɔ	ˈɔ	0.381
ɾ	ʁ	0.366
ˈɪə̯	ˈeː	0.364
ˈʊə̯	ˈaʊ̯	0.353
ˈuː	ˈyː	0.333
ˈi	ˈɪ	0.333
v̥	f	0.333
#>	ə_#>	0.333
k	ç	0.3
k	x	0.3
ˈʏ	ˈʊ	0.286
ˈʏ	ˈɔ	0.286
z̥	z_ə	0.286
ˈeː	ˈeː	0.25
ˈeː	-	0.25
t	ʦ	0.25
ˈʊə̯	ˈɔ	0.235
ˈɛː	ˈa	0.227
ˈɪ	-	0.222
t	t	0.214
ˈæ	-	0.2
z	ʃ	0.185
ˈɑ	ˈaː	0.182
ŋ	ç	0.182
ˈiː	ˈɔʏ̯	0.176
x	k	0.167
v	b	0.16
ˈɔ	-	0.143
ˈɛː	ˈɛː	0.136
ˈɛː	ˈeː	0.136
ˈæ	ˈɪ	0.133
ˈæ	ˈa	0.133
ˈyː	ˈɔʏ̯	0.133
ˈyː	-	0.133
ˈi	ˈiː	0.133
#>	b_n_#>	0.133
ˈiː	ˈyː	0.118
ˈiː	ˈeː	0.118
ˈɪ	ˈʏ	0.111
ˈɔ	ˈʏ	0.095
ˈɛː	ˈoː	0.091
ʋ	v_ˈaɪ̯	0.091
x	x	0.083
ə	-	0.082
z	-	0.074
d	-	0.059
