Yiddish	Danish	probability
b	b̥	0.763
b	v	0.112
b	w	0.074
b	-	0.045
b_n	w	1.0
d	-	0.514
d	ʦʰ	0.284
d	d̥	0.074
d	nˀ	0.053
d	ʨ	0.037
d_z	s	0.463
f	f	0.595
f	b̥	0.163
f	ʋ	0.079
f	-	0.046
f	mˀ	0.039
h	h	0.855
h	j	0.132
j	-	0.574
j	ˈɔˀ	0.266
k	kʰ	0.41
k	-	0.284
k	k	0.121
k	ŋ	0.08
k	ɡ̊	0.069
l	l	0.732
l	lˀ	0.253
l	nˀ	0.026
m	m	0.767
m	-	0.125
m	mˀ	0.087
n	n	0.505
n	-	0.318
n	ə	0.113
n	nˀ	0.056
n_d	n	0.758
n_d	nˀ	0.172
n_t	nˀ	1.0
p	-	0.266
p	b̥	0.266
s	ð̞ˠ	0.658
s	s	0.26
s	nˀ	0.077
t	ð̞ˠ	0.321
t	t	0.21
t	d̥	0.208
t	-	0.158
t	ʦʰ	0.093
v	ʋ	0.85
v	-	0.071
v	wˀ	0.067
v_ˈɔ	ˈu	0.53
v_ˈɔ	ˈo	0.282
z	s	1.0
ŋ	ŋ	0.644
ŋ	-	0.341
ŋ_k	k	1.0
ŋ_ɡ	ŋˀ	1.0
ə	ɐ	0.404
ə	ə	0.268
ə	-	0.245
ə	i	0.041
ə	w	0.036
ɛ	wˀ	0.5
ɛ	j	0.5
ɛ_m	m	1.0
ɡ	ɡ̊	0.427
ɡ	-	0.362
ɡ	jˀ	0.111
ɡ	j	0.077
ɡ_n	ə	1.0
ɪ	-	0.322
ɪ	e	0.322
ɪ	i	0.099
ɪ	ŋ	0.099
ʀ	-	0.415
ʀ	ʁ	0.335
ʀ	ɐ	0.119
ʀ	ɐˀ	0.1
ʀ	ˈæ	0.023
ʁ	-	1.0
ʃ	s	0.6
ʃ	s_k	0.392
ʃ_v	s	1.0
ʎ	l	0.215
ʦ	ʦʰ	0.483
ʦ	t	0.294
ʦ	w	0.135
ʦ	-	0.063
ʦ_v	ʦʰ	1.0
ʧ	s_k	1.0
ˈa	ˈɛ	0.288
ˈa	ˈa	0.23
ˈa	ˈɑ	0.125
ˈa	ˈʌ	0.112
ˈa	ˈyː	0.044
ˈaɪ̯	ˈiˀ	0.278
ˈaɪ̯	ˈiː	0.234
ˈaɪ̯	ˈyˀ	0.092
ˈaɪ̯	ˈɛ	0.092
ˈaɪ̯	ˈɛˀ	0.07
ˈi	ˈoː	0.215
ˈɔ	ˈa	0.17
ˈɔ	ˈɔˀ	0.116
ˈɔ	ˈɛː	0.116
ˈɔ	ˈu	0.116
ˈɔ	ˈœ	0.06
ˈɔɪ̯	ˈuˀ	0.358
ˈɔɪ̯	ˈœˀ	0.207
ˈɔɪ̯	ˈøː	0.195
ˈɔɪ̯	ˈʌˀ	0.086
ˈɔɪ̯	ˈɒ	0.053
ˈɛ	ˈɛ	0.116
ˈɛ	ˈeˀ	0.116
ˈɛ	ˈe	0.116
ˈɛ	ˈeː	0.079
ˈɛ	ˈʌ	0.069
ˈɛɪ̯	ˈeˀ	0.751
ˈɛɪ̯	ˈɛˀ	0.098
ˈɛɪ̯	ˈɛ	0.063
ˈɛɪ̯	ˈoˀ	0.044
ˈɪ	ˈe	0.34
ˈɪ	ˈœ	0.107
ˈɪ	ˈyˀ	0.101
ˈɪ	ˈœˀ	0.079
ˈɪ	ˈiː	0.069
ˈɪ_n	ˈiˀ	1.0
ˈʊ	ˈoˀ	0.316
ˈʊ	ˈɔ	0.126
ˈʊ	ˈu	0.111
ˈʊ	ˈœ	0.083
ˈʊ	ˈo	0.072
χ	j	0.347
χ	-	0.285
χ	k	0.135
χ	ɡ̊	0.098
χ	w	0.041
χ_t	t	0.822
χ_t	s	0.099
