Yiddish	Danish	probability
a	ə	1.0
b	b̥	0.671
b	-	0.176
b	w	0.153
d	-	0.485
d	ʦʰ	0.459
f	f	0.641
f	b̥	0.167
f	p	0.072
f	-	0.051
h	h	0.732
h	j	0.268
j	ˈɔˀ	0.683
j	-	0.317
k	kʰ	0.514
k	-	0.179
k	k	0.153
k	ɡ̊	0.115
l	l	0.691
l	lˀ	0.288
m	m	0.758
m	mˀ	0.145
m	-	0.097
n	n	0.583
n	ə	0.195
n	nˀ	0.125
n	-	0.082
p	b̥	0.598
p	-	0.264
p	ð̞ˠ	0.138
s	ð̞ˠ	0.733
s	s	0.258
t	ð̞ˠ	0.369
t	t	0.23
t	d̥	0.222
t	-	0.126
t	ʦʰ	0.052
v	ʋ	0.734
v	-	0.235
z	s	0.973
ŋ	ŋˀ	0.473
ŋ	-	0.341
ŋ	ŋ	0.186
ə	ɐ	0.494
ə	ə	0.262
ə	-	0.202
ɛ	wˀ	0.817
ɛ	ə	0.183
ɡ	ɡ̊	0.419
ɡ	-	0.253
ɡ	j	0.159
ɡ	w	0.118
ɡ	jˀ	0.05
ɪ	ŋ	0.326
ɪ	-	0.262
ɪ	e	0.262
ɪ	i	0.151
ʀ	ʁ	0.435
ʀ	ɐ	0.351
ʀ	-	0.142
ʃ	s	0.971
ʦ	ʦʰ	0.563
ʦ	t	0.368
ʧ	s	1.0
ˈa	ˈɑ	0.214
ˈa	ˈa	0.211
ˈa	ˈɛ	0.177
ˈa	ˈʌ	0.077
ˈa	ˈo	0.058
ˈaɪ̯	ˈiˀ	0.381
ˈaɪ̯	ˈiː	0.142
ˈaɪ̯	ˈɑ	0.134
ˈaɪ̯	ˈyˀ	0.06
ˈaɪ̯	ˈyː	0.059
ˈaɪ̯	ˈɛˀ	0.05
ˈɔ	ˈa	0.147
ˈɔ	ˈœ	0.121
ˈɔ	ˈɒˀ	0.082
ˈɔ	ˈɔˀ	0.082
ˈɔ	ˈo	0.074
ˈɔ	-	0.067
ˈɔ	ˈɔː	0.051
ˈɔɪ̯	ˈuˀ	0.264
ˈɔɪ̯	ˈœˀ	0.22
ˈɔɪ̯	ˈœ	0.103
ˈɔɪ̯	ˈøː	0.102
ˈɔɪ̯	ˈɔ	0.077
ˈɔɪ̯	ˈuː	0.052
ˈɛ	ˈe	0.17
ˈɛ	ˈɛ	0.142
ˈɛ	j	0.124
ˈɛ	ˈʌ	0.07
ˈɛ	ˈiˀ	0.07
ˈɛ	ˈøː	0.069
ˈɛ	ˈeː	0.066
ˈɛ	ˈeˀ	0.055
ˈɛɪ̯	ˈeˀ	0.566
ˈɛɪ̯	ˈɔˀ	0.145
ˈɛɪ̯	ˈɛˀ	0.145
ˈɛɪ̯	ˈɑ	0.059
ˈɪ	ˈe	0.35
ˈɪ	ˈœ	0.113
ˈɪ	ˈi	0.107
ˈɪ	ˈiˀ	0.064
ˈɪ	ˈyː	0.063
ˈɪ	ˈø	0.053
ˈʊ	ˈʌ	0.231
ˈʊ	ˈɔ	0.208
ˈʊ	ˈoˀ	0.172
ˈʊ	ˈu	0.104
ˈʊ	ˈœ	0.099
ˈʊ	ˈɔˀ	0.062
ˈʊ	ˈœˀ	0.053
χ	j	0.482
χ	k	0.133
χ	s	0.126
χ	-	0.097
χ	jˀ	0.071
χ	ɡ̊	0.059
