Alsatian	Swabian	probability
b̥	b	1.0
d̥	d	1.0
e	m	0.491
f	f	1.0
h	h	1.0
i	-	0.249
i	i	0.22
i	ɪ	0.216
i	ɐ	0.097
i_ʃ	ç	1.0
j	ɡ	0.488
j	j	0.488
k	ɡ	0.836
k	k	0.163
kʰ	kʰ	0.886
kʰ	-	0.101
l	l	1.0
m	m	1.0
n	n	0.712
n	-	0.284
p	b̥	0.491
p͡f	p͡f	0.392
p͡f	b	0.221
p͡f	b̥͡f	0.221
s	s	1.0
t	d	0.91
t	t	0.061
t	-	0.033
v	ɡ	0.5
v	b	0.5
w	ʋ	1.0
x	x	1.0
ŋ	ŋ	1.0
ə	a	0.978
ə	-	0.037
ə_ʁ	ʌ	1.0
ɡ̊	ɡ	1.0
ʁ	ʁ	0.622
ʁ	ʕ	0.291
ʁ	-	0.057
ʁ	ɡ	0.031
ʃ	ʃ	0.813
ʃ	ç	0.09
ʃ	ɡ	0.048
ʃ	d	0.042
ʃ	x	0.033
ʋ	ʋ	0.915
ʋ	-	0.084
ʦ	ʦ	1.0
ˈai̯	ˈae̯	1.0
ˈaː	ˈaː	1.0
ˈe	ˈɛ	0.696
ˈe	ˈe	0.169
ˈe	ˈi	0.114
ˈei̯	ˈae̯	0.66
ˈei̯	ˈəi̯	0.159
ˈeː	ˈeː	0.616
ˈeː	ˈeə̯	0.173
ˈeː	ˈi	0.121
ˈeː	ˈɛ	0.058
ˈi	ˈi	0.276
ˈi	ˈɪ	0.169
ˈi	ˈe	0.154
ˈi	ˈeː	0.111
ˈi	ˈae̯	0.097
ˈiː	ˈəi̯	0.328
ˈiː	ˈiə̯	0.271
ˈiː	ˈi	0.132
ˈiː	ˈae̯	0.093
ˈiː	ˈeə̯	0.076
ˈiː_ʁ	ˈəi̯	1.0
ˈo	ˈo	0.533
ˈo	ˈɔ	0.286
ˈo	ˈoː	0.087
ˈo	ˈao̯	0.081
ˈoː	ˈoː	0.438
ˈoː	ˈɔː	0.313
ˈoː	ˈɔ	0.084
ˈoː	ˈao̯	0.084
ˈoː	ˈo	0.067
ˈu	ˈu	0.435
ˈu	ˈo	0.405
ˈu	ˈɔ	0.083
ˈu	ˈoː	0.062
ˈyː	ˈao̯	1.0
ˈæ	ˈɛː	0.561
ˈæ	ˈɛ	0.172
ˈæ	ˈʌ	0.172
ˈæː	ˈɛː	0.496
ˈæː	ˈeː	0.302
ˈæː	ˈeə̯	0.148
ˈø	ˈoː	1.0
ˈøi̯	ˈao̯	0.241
ˈøː	ˈu	0.574
ˈøː	ˈuː	0.282
ˈœ	ˈao̯	1.0
ˈɒ	ˈa	0.882
ˈɒ	ˈɔː	0.069
ˈɒ	ˈɛ	0.048
ˈɒ_n	ˈaː	1.0
ˈɒː	ˈaː	0.491
ˈɒː	ˈa	0.324
ˈɒː	ˈɔː	0.158
ˈɔi̯	ˈao̯	0.241
ˈəi̯	ˈɔe̯	0.844
ˈəi̯	ˈae̯	0.128
ˈəi̯_n	ˈɔe̯	0.491
ˈɛ	ˈɛ	0.66
ˈɛ	ˈɛː	0.159
ˈʊː	ˈuə̯	0.603
ˈʊː	ˈao̯	0.132
ˈʊː	ˈoː	0.103
ˈʊː	ˈɔə̯	0.103
