Alsatian	Swabian	probability
b̥	b	1.0
d̥	d	1.0
e	m	1.0
eː	eə̯	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.537
i	-	0.174
i	a	0.162
i	i	0.126
j	ɡ	0.819
j	j	0.181
k	ɡ	1.0
kʰ	kʰ	0.97
l	l	1.0
m	m	1.0
n	n	0.75
n	-	0.211
p	b	1.0
p͡f	b̥͡f	0.835
p͡f	b	0.165
s	s	1.0
t	d	0.917
t	t	0.057
v	ɡ	0.606
v	b	0.394
w	ʋ	1.0
x	x	1.0
ŋ	ŋ	1.0
ə	a	0.575
ə	ʌ	0.404
ɡ̊	ɡ	1.0
ʁ	ʁ	0.427
ʁ	ʕ	0.319
ʁ	-	0.252
ʃ	ʃ	0.788
ʃ	ç	0.12
ʋ	ʋ	0.978
ʦ	ʦ	0.978
ˈai̯	ˈae̯	1.0
ˈaː	ˈaː	0.554
ˈaː	ˈiə̯	0.446
ˈe	ˈɛ	0.64
ˈe	ˈi	0.239
ˈe	ˈe	0.122
ˈei̯	ˈəi̯	0.524
ˈei̯	ˈɔe̯	0.4
ˈei̯	ˈae̯	0.075
ˈeː	ˈeː	0.619
ˈeː	ˈi	0.122
ˈeː	ˈa	0.113
ˈeː	ˈeə̯	0.113
ˈi	ˈe	0.3
ˈi	ˈɪ	0.226
ˈi	ˈi	0.122
ˈi	ˈɛ	0.111
ˈi	ˈae̯	0.098
ˈi	ˈeː	0.096
ˈiː	ˈəi̯	0.327
ˈiː	ˈiə̯	0.193
ˈiː	ˈi	0.123
ˈiː	ˈiː	0.121
ˈiː	ˈae̯	0.099
ˈiː	ˈʌ	0.069
ˈiː	ˈeə̯	0.067
ˈo	ˈo	0.549
ˈo	ˈɔ	0.381
ˈoː	ˈoː	0.524
ˈoː	ˈɔː	0.31
ˈoː	ˈo	0.089
ˈu	ˈo	0.56
ˈu	ˈu	0.25
ˈu	ˈɔ	0.123
ˈu	ˈoː	0.068
ˈyː	ˈao̯	1.0
ˈæ	ˈɛː	0.564
ˈæ	ˈɛ	0.4
ˈæː	ˈeː	0.456
ˈæː	ˈɛː	0.45
ˈæː	ˈeə̯	0.093
ˈø	ˈoː	1.0
ˈøi̯	ˈao̯	1.0
ˈøː	ˈu	0.67
ˈøː	ˈuː	0.33
ˈœ	ˈao̯	1.0
ˈɒ	ˈa	0.765
ˈɒ	ˈɔː	0.117
ˈɒ	ˈaː	0.102
ˈɒː	ˈa	0.588
ˈɒː	ˈaː	0.369
ˈɔi̯	ˈao̯	1.0
ˈəi̯	ˈɔe̯	0.946
ˈəi̯	ˈae̯	0.054
ˈɛ	ˈɛ	0.824
ˈɛ	ˈɛː	0.176
ˈʊː	ˈuə̯	0.512
ˈʊː	ˈao̯	0.218
ˈʊː	ˈɔə̯	0.163
ˈʊː	ˈoː	0.107
