Bellunese	Bellunese	probability
ˈe_s	ˈe_θ	1.0
ʤ	-	1.0
ɲ	ɲ	1.0
ŋ_#>	n_#>	1.0
ð	-	1.0
z_a	s_a	1.0
z	θ	1.0
t_#>	t_e_#>	1.0
s_ˈe	s_ˈe	1.0
s_ˈa	s_ˈa	1.0
s_e	θ_ˈe	1.0
s_#>	θ_#>	1.0
r_o	ɾ_o	1.0
r_a	ɾ_a	1.0
r_#>	ɾ_#>	1.0
p_j	ɟ͡ʝ	1.0
p	p	1.0
o_l	o_l	1.0
m	m	1.0
l_#>	ʝ_o_#>	1.0
k_r	k_ɾ	1.0
e_r	ɾ	1.0
e_#>	#>	1.0
a_v	a_β	1.0
a	a	1.0
<#_θ	<#_θ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ð	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
k	k	0.946
l	l	0.867
b	b	0.857
o	o	0.839
#>	o_#>	0.814
ˈi	ˈi	0.81
r	ɾ	0.767
ˈa	ˈa	0.75
ˈu	ˈu	0.7
ˈɔ	w_ˈe	0.692
ˈe	ˈe	0.684
ʧ	x	0.667
n	n	0.63
θ	θ	0.625
ŋ	n	0.6
<#	<#_a	0.6
v	b	0.591
ˈɛ	j_ˈe	0.571
w	w	0.571
f	f	0.571
s	s	0.565
ˈo	ˈo	0.528
t	t	0.517
ɡ	ɣ	0.5
ɡ	ɡ	0.5
e	e	0.5
d	d	0.478
w	-	0.429
j	j	0.429
f	-	0.429
v	β	0.409
<#	<#_ɡ	0.4
θ	-	0.375
i	e	0.375
i	-	0.375
ʧ	ɟ͡ʝ	0.333
ˈɔ	ˈo	0.308
ˈo	w_ˈe	0.306
ˈu	ˈo	0.3
ˈɛ	ˈe	0.286
s	e_s	0.261
d	ð	0.261
d	-	0.261
i	i	0.25
j	x	0.214
j	-	0.214
e	-	0.208
t	ʧ	0.207
ŋ	ŋ	0.2
ˈi	-	0.19
n	-	0.185
e	ɾ	0.167
ˈɛ	ˈi	0.143
j	ɟ͡ʝ	0.143
b	β	0.143
#>	e_#>	0.14
t	ð	0.138
ŋ	m	0.133
l	ʝ	0.133
e	ˈe	0.125
ˈo	ˈu	0.111
n	ɲ	0.111
ˈe	j_ˈe	0.105
r	ɾ_o	0.1
o	e	0.097
ˈa	ˈe	0.096
s	x_o	0.087
s	-	0.087
ˈe	e	0.079
ˈe	-	0.079
ˈa	a	0.077
ˈa	-	0.077
n	n_a	0.074
t	d	0.069
t	-	0.069
ŋ	o	0.067
r	ð_ɾ	0.067
r	r	0.067
o	-	0.065
ˈo	ˈo_β	0.056
k	-	0.054
ˈe	ˈe_ð	0.053
