Old English	Middle English	probability
θ	θ	1.0
ˈɛ	ˈɛ	1.0
ˈɑː_w	ˈɔu̯	1.0
ˈɑː	ˈɔː	1.0
ˈæː	ˈɛː	1.0
ˈæ_j	ˈæi̯	1.0
ˈyː	ˈiː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiy̯	ˈau̯	1.0
ˈi_n	ˈiː_n	1.0
ˈeːo̯_ɣ	ˈiː	1.0
ˈeːo̯_w	ˈiu̯	1.0
ˈe_n	ɛ	1.0
ˈe_j	ˈæi̯	1.0
ʧː	ʧ	1.0
ʤː_ɑ	ə	1.0
ʤ	ʤ	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɫː	ɫ	1.0
ɣ̊	x	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ɑ	ə	1.0
ð	ð	1.0
ç	ç	1.0
æːɑ̯	ˈɛu̯	1.0
z	z	1.0
xː	x	1.0
v	v	1.0
tː	t	1.0
t	t	1.0
s	s	1.0
r_ɑ	r_ə	1.0
r_n	r_n	1.0
r_e	r_ə	1.0
pː	p	1.0
p	p	1.0
nː_ɑ	n_ə	1.0
nː	n	1.0
n_e	n_ə	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
j	j	1.0
iːy̯	eː	1.0
iː	iː	1.0
i_j	iː	1.0
i	-	1.0
h_w	ʍ	1.0
h_r	r	1.0
h_l	l	1.0
h	h	1.0
eo̯	ˈɛː	1.0
dː	d	1.0
d	d	1.0
bː	v	1.0
b	b	1.0
a	ə	1.0
r	r	0.979
f	f	0.958
e	ə	0.937
w	w	0.93
ˈu	ˈu	0.916
ˈi	ˈi	0.889
ˈiː	ˈiː	0.867
ˈæɑ̯	ˈa	0.863
ˈæːɑ̯	ˈɛː	0.846
ɫ	ɫ	0.842
ŋ	ŋ	0.823
ˈo	ˈɔ	0.822
o	ə	0.781
ˈeː	ˈeː	0.757
u	ə	0.75
ˈe	ˈɛ	0.746
ˈiːy̯	ˈeː	0.745
ˈeːo̯	ˈeː	0.735
ˈeo̯	ˈɛ	0.692
x	ç	0.656
ʧ	ʧ	0.646
ˈæ	ˈa	0.63
ˈy	ˈi	0.615
ˈy	ˈu	0.385
ˈæ	ˈaː	0.37
ʧ	k	0.354
x	x	0.344
ˈɑ	ˈaː	0.341
ˈɑ	ˈa	0.333
ˈɑ	ˈɔː	0.325
ˈiːy̯	ˈɛ	0.255
ˈe	ˈɛː	0.254
u	ɔu̯	0.25
ˈeː	-	0.243
o	-	0.219
ˈeo̯	ˈɛː	0.18
ˈo	-	0.178
ŋ	n	0.177
ˈæːɑ̯	ˈæi̯	0.154
ˈiː	-	0.133
ˈeo̯	-	0.128
ɫ	l	0.121
ˈi	ˈiː	0.111
ˈæɑ̯	ˈɔː	0.1
ˈeːo̯	ˈiː	0.088
ˈeːo̯	ˈi	0.088
ˈeːo̯	-	0.088
ˈu	-	0.084
w	-	0.07
e	-	0.063
