American English	Swedish	probability
b	b	0.977
d	d	0.83
d	-	0.133
f	f	0.73
f	v	0.101
f	l_v	0.088
f	-	0.081
h	h	0.916
h	-	0.084
i	ɵ	0.477
i	ɪ	0.305
i	ɔ	0.218
j	-	0.587
j	ɡ	0.413
k	k	0.731
k	kː	0.207
kʰ	kʰ	0.945
kʰ	ɕ	0.055
m	m	0.636
m	mː	0.284
m	-	0.08
n	n	0.754
n	nː	0.137
n	ʊ	0.051
oʊ̯	j	0.667
oʊ̯	-	0.333
p	p	0.556
p	-	0.175
p	pː	0.162
p	v	0.108
pʰ	pʰ	1.0
s	s	0.824
s	ɧ	0.118
t	t	0.694
t	-	0.126
t	tː	0.105
t	ʈ	0.075
tʰ	tʰ	0.947
tʰ	ɕ	0.053
tː	tː	1.0
v	v	0.465
v	m	0.269
v	-	0.18
v	ŋ	0.086
w	v	0.756
w	-	0.205
z	s	1.0
ð	d	0.709
ð	nː	0.291
ŋ	ŋː	0.782
ŋ	ŋ	0.218
ə	ɛ	0.559
ə	a	0.233
ə	-	0.111
ə	ˈɛ	0.096
ɚ	r	0.519
ɚ	ɛ	0.344
ɚ	-	0.072
ɡ	ɡ	0.68
ɡ	-	0.164
ɡ	j	0.081
ɡ	ɡː	0.075
ɪ	ɪ	0.506
ɪ	ɛ	0.494
ɫ	l	0.876
ɫ	ɛ_l	0.063
ɹ	r	0.818
ɹ	ɳ	0.106
ɹ	-	0.055
ɾ	tː	1.0
ʃ	s	0.476
ʃ	ɧ	0.371
ʃ	f	0.153
ʔ	t	0.656
ʔ	tː	0.321
ʤ	ɡː	1.0
ʧ	k	0.648
ʧ	ɕ	0.276
ʧ	kː	0.075
ˈaɪ̯	ˈiː	0.351
ˈaɪ̯	ˈɪ	0.263
ˈaɪ̯	ˈʉː	0.14
ˈaɪ̯	ˈyː	0.086
ˈaʊ̯	ˈʉː	0.471
ˈaʊ̯	ˈuː	0.272
ˈaʊ̯	ˈɵ	0.204
ˈaʊ̯	ˈoː	0.053
ˈeɪ̯	ˈɑː	0.451
ˈeɪ̯	ˈa	0.271
ˈeɪ̯	ŋ	0.069
ˈeɪ̯	jː	0.063
ˈeɪ̯	ˈoː	0.063
ˈeɪ̯	ˈɛː	0.058
ˈi	ˈøː	0.21
ˈi	ˈœ	0.164
ˈi	ˈoː	0.161
ˈi	ˈeː	0.093
ˈi	ˈɛː	0.087
ˈi	ˈʉː	0.075
ˈi	ˈyː	0.051
ˈoʊ̯	ˈeː	0.441
ˈoʊ̯	ˈoː	0.176
ˈoʊ̯	ˈɛː	0.112
ˈoʊ̯	ˈøː	0.07
ˈoʊ̯	ˈɔ	0.064
ˈu	ˈoː	0.417
ˈu	ˈuː	0.178
ˈu	ˈiː	0.137
ˈu	ˈʊ	0.094
ˈu	ˈyː	0.055
ˈæ	ˈa	0.711
ˈæ	ˈɛ	0.148
ˈæ	ˈɑː	0.056
ˈɑ	ˈa	0.429
ˈɑ	ˈɔ	0.125
ˈɑ	ˈɑː	0.097
ˈɑ	ˈæː	0.088
ˈɑ	ˈoː	0.071
ˈɑ	ˈeː	0.05
ˈɑ	ˈœ	0.05
ˈɔ	ˈuː	0.202
ˈɔ	ˈa	0.176
ˈɔ	ˈɔ	0.176
ˈɔ	-	0.101
ˈɔ	ˈœ	0.101
ˈɔ	ˈæ	0.074
ˈɔ	ˈæː	0.074
ˈɔ	ˈyː	0.054
ˈɛ	ˈɛ	0.319
ˈɛ	ˈøː	0.187
ˈɛ	ˈʉː	0.158
ˈɛ	ʊ	0.051
ˈɝ	ˈuː	0.251
ˈɝ	ˈɛ	0.219
ˈɝ	ˈœ	0.212
ˈɝ	ˈʊ	0.186
ˈɝ	ˈʏ	0.132
ˈɪ	ˈɪ	0.414
ˈɪ	ˈɵ	0.204
ˈɪ	ˈʏ	0.109
ˈɪ	ˈeː	0.06
ˈɪ	j	0.055
ˈɪ	ˈɛ	0.055
ˈɪ	ˈiː	0.051
ˈʊ	ˈuː	0.824
ˈʊ	ˈɵ	0.176
ˈʌ	ˈɵ	0.349
ˈʌ	ˈoː	0.187
ˈʌ	ˈʊ	0.164
ˈʌ	ˈɔ	0.111
ˈʌ	-	0.055
ˈʌɪ̯	ˈiː	0.381
ˈʌɪ̯	ˈɛ	0.319
ˈʌɪ̯	ˈɪ	0.181
ˈʌɪ̯	ˈa	0.118
θ	tʰ	0.575
θ	d	0.237
θ	ɕ	0.099
