American English	Swedish	probability
b	b	1.0
d	d	0.737
d	-	0.219
d	ɖ	0.044
f	f	0.755
f	v	0.138
f	-	0.097
h	h	0.949
h	-	0.052
i	ɪ_ɡ	0.594
i	ɵ	0.175
i	-	0.103
j	-	0.66
j	ɡ	0.322
k	k	0.859
k	kː	0.138
kʰ	kʰ	1.0
l	l	0.947
l	-	0.053
m	m	0.759
m	mː	0.203
m	ɧ	0.04
n	n	0.695
n	nː	0.122
n	-	0.106
n	ʊ	0.028
n	ŋ	0.028
oʊ̯	j	0.53
oʊ̯	-	0.461
p	p	0.608
p	v	0.142
p	r	0.102
p	pː	0.096
pʰ	pʰ	0.473
s	s	0.829
s	sː	0.091
s	ɧ	0.073
t	t	0.638
t	tː	0.162
t	tː_a	0.077
t	ʈː	0.044
t	d	0.039
tʰ	tʰ	0.915
tʰ	ɕ	0.068
v	v	0.495
v	-	0.206
v	ŋ	0.136
v	m	0.136
w	v	0.657
w	-	0.262
w	j	0.045
w	ˈʉː	0.037
w_ˈʊ	ˈɵ	0.473
z	s	0.473
ð	d	0.922
ð	nː	0.04
ð_ɚ	r	1.0
ŋ	ŋː	0.764
ŋ	ŋ	0.231
ŋ_k	kː	1.0
ə	a	0.437
ə	ˈɛ	0.219
ə	-	0.137
ə	ɛ	0.137
ɚ	ɛ	0.435
ɚ	r	0.337
ɚ	e	0.061
ɚ	r_a	0.047
ɚ	ɳ	0.043
ɡ	ɡ	0.598
ɡ	-	0.27
ɡ	ɡː	0.121
ɪ	ɪ	0.574
ɪ	ɛ	0.272
ɫ	l	0.578
ɫ	lː	0.203
ɫ	ɛ_l	0.142
ɫ	l_ɛ	0.045
ɫ	j	0.03
ɹ	r	0.883
ɹ	-	0.113
ɹ_n	ɳ	0.473
ɾ	tː	1.0
ʃ	s_k	0.478
ʃ	ɧ	0.32
ʃ	f	0.12
ʤ	ɡː	1.0
ʧ	ɕ	0.5
ʧ	k	0.5
ˈaɪ̯	ˈiː	0.393
ˈaɪ̯	ˈɛ	0.186
ˈaɪ̯	ˈʉː	0.091
ˈaɪ̯	ˈyː	0.068
ˈaɪ̯	ˈɪ	0.067
ˈaʊ̯	ˈʉː	0.479
ˈaʊ̯	ˈɵ	0.233
ˈaʊ̯	ˈuː	0.159
ˈaʊ̯	ˈoː	0.105
ˈeɪ̯	ˈɑː	0.459
ˈeɪ̯	ˈa	0.143
ˈeɪ̯	ˈɛ	0.094
ˈeɪ̯	ˈɛː	0.094
ˈeɪ̯	ˈɔ	0.072
ˈi	ˈoː	0.204
ˈi	ˈøː	0.183
ˈi	ˈʉː	0.103
ˈi	ˈɛː	0.097
ˈi	ˈœ	0.097
ˈoʊ̯	ˈeː	0.458
ˈoʊ̯	ˈøː	0.152
ˈoʊ̯	ˈɛː	0.086
ˈoʊ̯	ˈa	0.075
ˈoʊ̯	ˈɔ	0.074
ˈu	ˈoː	0.504
ˈu	ˈʊ	0.145
ˈu	ˈuː	0.116
ˈu	ˈa	0.095
ˈu	ˈyː	0.066
ˈæ	ˈa	0.589
ˈæ	ˈɑː	0.141
ˈæ	ˈeː	0.107
ˈæ	ˈɛ	0.079
ˈæ	ˈɛː	0.06
ˈɑ	ˈa	0.406
ˈɑ	ˈɑː	0.114
ˈɑ	ˈʉː	0.114
ˈɑ	ˈœ	0.114
ˈɑ	ˈɔ	0.084
ˈɔ	ˈa	0.206
ˈɔ	ˈɔ	0.179
ˈɔ	ˈyː	0.118
ˈɔ	ˈuː	0.112
ˈɔ	ˈæ	0.087
ˈɛ	ˈøː	0.235
ˈɛ	ˈɛ	0.198
ˈɛ	ˈʉː	0.103
ˈɛ	ˈɛː	0.087
ˈɛ	ˈɑː	0.076
ˈɝ	ˈuː	0.488
ˈɝ	ˈʏ	0.322
ˈɝ	ˈʊ	0.103
ˈɪ	ˈɪ	0.285
ˈɪ	ˈʏ	0.16
ˈɪ	ˈiː	0.124
ˈɪ	ˈɵ	0.114
ˈɪ	ˈeː	0.092
ˈʊ	ˈuː	0.733
ˈʊ	ˈɵ	0.179
ˈʌ	ˈuː	0.237
ˈʌ	ˈʊ	0.219
ˈʌ	ˈɵ	0.141
ˈʌ	ˈoː	0.108
ˈʌ	ˈɛ	0.093
θ	tʰ	0.35
θ	d	0.188
θ	ɕ	0.121
θ	ɖ	0.092
θ	rː	0.072
