Piedmontese	Venetian	probability
#>	#>	0.787
#>	e_#>	0.117
#>	r_#>	0.095
<#	<#	1.0
<#_l	<#	1.0
a	a	0.929
a_d	a	1.0
b	b	0.979
d	d	0.878
d	-	0.111
d_a	a	0.521
e	e	0.683
e	a	0.1
e	ˈi	0.094
e	-	0.053
e	o	0.053
f	f	0.942
f	v	0.064
i	i	0.539
i	o	0.303
i	e	0.099
i	-	0.06
j	j	0.518
j	ʧ_o	0.131
j	-	0.121
j	o	0.087
j	r	0.057
j_#>	#>	1.0
j_t	t	1.0
k	k	0.958
l	ɰ	0.539
l	l	0.229
l	o	0.154
m	m	0.884
m	ŋ	0.067
n	n	0.675
n	ŋ	0.229
n	n_o	0.066
p	p	1.0
r	r	0.79
r	r_o	0.164
s	s	0.752
s	z	0.108
s	-	0.051
s	z_o	0.051
t	t	0.755
t	t_o	0.159
t	d	0.057
u	o	0.636
u	e	0.183
u	ˈɔ	0.084
u	u	0.058
u	-	0.057
v	v	0.783
v	v_o	0.083
v	z_v	0.055
v	-	0.05
w	w	0.514
w	ɰ	0.202
w	o	0.145
w	l	0.1
y	u	1.0
z	z	0.864
z	s	0.134
ŋ	ŋ	0.667
ŋ	n	0.213
ŋ	-	0.064
ŋ	ɲ	0.053
ə	a	0.341
ə	ˈɛ	0.204
ə	-	0.144
ə	e	0.133
ɡ	ɡ	0.464
ɡ	ɡ_o	0.291
ɡ	ɡ_w	0.147
ɡ	ʤ	0.079
ɲ	ɲ	0.455
ɲ	ɲ_o	0.43
ɲ	n	0.069
ʤ	z	0.839
ʤ	ʤ	0.089
ʤ	-	0.067
ʧ	s	0.517
ʧ	ʧ	0.45
ˈa	ˈa	0.995
ˈe	ˈa	0.432
ˈe	ˈe	0.326
ˈe	ˈɛ	0.078
ˈe	ˈi_e	0.058
ˈe	e	0.055
ˈe	-	0.05
ˈe_j	ˈe	1.0
ˈi	ˈi	0.837
ˈi	ˈe	0.089
ˈu	ˈo	0.831
ˈu	ˈu	0.116
ˈy	ˈu	0.874
ˈy	ˈɔ	0.089
ˈy	ˈe	0.053
ˈø	ˈɔ	0.481
ˈø	ˈo	0.275
ˈø	ˈo_ɡ	0.106
ˈø	o	0.066
ˈø	-	0.055
ˈɔ	ˈɔ	0.805
ˈɔ	ˈo	0.118
ˈə	ˈe	1.0
ˈɛ	ˈɛ	0.596
ˈɛ	ˈe	0.314
ˈɛ_j	ˈe	1.0
