Ligurian	Ligurian	probability
ˈɔː	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈø	ˈø	1.0
ˈyː	ˈy	1.0
ˈy	ˈy	1.0
ˈuː	ˈu	1.0
ˈiː_#>	e_#>	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈaː_#>	ˈe_#>	1.0
ʤ_u_#>	j_#>	1.0
ʤ_a	j_a	1.0
ʒ	z	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɥ	u	1.0
ɔː	u	1.0
ŋ_a	n_a	1.0
ŋ_#>	ŋ_#>	1.0
y	y	1.0
w_ˈiː	ˈu_j	1.0
v	v	1.0
sː	b_i	1.0
s_ˈe	s_ˈi	1.0
s_u_#>	s_#>	1.0
r_t	r_t	1.0
p_u_#>	p_#>	1.0
o	-	1.0
n_u_#>	#>	1.0
m_e_#>	m_#>	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_#>	j_#>	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈø	<#_ˈø	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_v	1.0
<#_ʃ	<#_f_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
a	a	0.971
s	s	0.959
d	d	0.957
r	r	0.95
t	t	0.947
ˈa	ˈa	0.935
n	n	0.931
p	p	0.929
ˈu	ˈu	0.9
u_#>	#>	0.836
ˈøː	ˈø	0.818
ˈaː	ˈa	0.765
ŋ	ŋ	0.763
ˈɛ	ˈɛ	0.714
ɡ	ɡ	0.643
e	e	0.63
ˈe	ˈɛ	0.629
z	ʤ	0.615
ˈɛː	ˈa	0.583
i	-	0.538
ʧ	ʧ	0.5
ʧ	p_j	0.5
w	-	0.5
#>	l_#>	0.471
ʤ	ʤ	0.462
i	i	0.462
j	j	0.45
j	-	0.45
ˈeː	ˈe	0.444
ˈɛː	ˈɛ	0.417
u	u	0.417
ˈeː	ˈɛ	0.389
z	z	0.385
ɡ	-	0.357
ʤ	j	0.308
#>	r_#>	0.294
ˈɛ	ˈi	0.286
w	w	0.25
w	u	0.25
u	-	0.25
ŋ	n	0.237
ˈaː	ˈa_w	0.235
ʤ	b_j	0.231
ˈe	ˈe	0.229
e	-	0.222
ˈøː	-	0.182
ˈeː	-	0.167
u	ˈɔ	0.167
u	j	0.167
u_#>	r_#>	0.131
#>	ŋ_#>	0.118
#>	z_#>	0.118
ˈu	ˈɔ	0.1
j	e	0.1
ˈe	-	0.086
e	ˈe	0.074
e	i	0.074
p	-	0.071
n	-	0.069
ˈa	-	0.065
ˈe	ˈə	0.057
t	-	0.053
