Ladin	Ladin	probability
ˈɛ_ɡ	ˈa_ɣ	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_k	ˈe_ɣ	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈo	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʨ	k	1.0
ʧ	θ	1.0
ʦ	-	1.0
ʥ	-	1.0
ʒ_ɡ	b	1.0
ʃ_#>	θ_#>	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɛ	ˈo	1.0
t_#>	t_e_#>	1.0
s_ˈe	s_ˈe	1.0
s_e	s_e	1.0
r_n	ɾ_n	1.0
r_a	ɾ_a	1.0
p_l	ɟ͡ʝ	1.0
p_#>	p_o_#>	1.0
p	p	1.0
o_r	o_ɾ	1.0
n_#>	n_#>	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
k_r	k_ɾ	1.0
k_l	ɟ͡ʝ	1.0
j_ˈɛ	j_ˈo	1.0
f_ˈi	ˈi_x	1.0
e_r	o	1.0
e_n	b_ɾ	1.0
b_ˈa	b_ˈa	1.0
b_a	β_a	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʨ	<#_θ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_f	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
n	n	0.943
s	s	0.897
ˈa	ˈa	0.889
k	k	0.885
a	a	0.873
ˈo	ˈo	0.85
ˈi	ˈi	0.833
ˈe_#>	ˈa_ɾ_#>	0.833
ˈu	ˈu	0.818
#>	o_#>	0.781
r_#>	ɾ_o_#>	0.778
o	o	0.75
ˈɔ	w_ˈe	0.727
ʒ	θ	0.714
r	ɾ	0.714
l	l	0.714
ˈe	ˈe	0.7
ɡ	ɡ	0.667
e_#>	ɾ_#>	0.667
ʃ	e_s	0.636
w	w	0.6
l_a	ʝ_a	0.6
<#_ʒ	<#_x	0.6
v	b	0.591
d	ð	0.571
t	t	0.562
j	-	0.556
ˈo_w	ˈu	0.5
ˈo_w	ˈo	0.5
w_r	β_ɾ	0.5
w_r	ɾ	0.5
j_#>	ɾ_#>	0.5
j_#>	s_#>	0.5
i	i	0.5
i	-	0.5
<#	<#_r	0.5
<#	<#_a	0.5
d	-	0.429
l_a	a	0.4
f	β	0.4
<#_ʒ	<#	0.4
ˈɛ	j_ˈe	0.375
ɡ	ɣ	0.333
e_#>	#>	0.333
e	e	0.304
f	β_e	0.3
f	f	0.3
ʒ	-	0.286
j	j	0.278
ˈɛ	ˈe	0.275
v	β	0.273
o	-	0.25
r_#>	#>	0.222
w	ˈu	0.2
w	ˈo	0.2
t	ʧ	0.188
t	ð	0.188
ˈu	-	0.182
ʃ	θ	0.182
ʃ	s	0.182
ˈɛ	ˈa	0.175
e	-	0.174
ˈi	j	0.167
ˈe_#>	#>	0.167
j	ˈe	0.167
ˈo	w_ˈe	0.15
l	ʝ	0.143
ˈɔ	ˈo	0.136
ˈɔ	-	0.136
v	-	0.136
e	ˈe_ɾ	0.13
e	ɾ	0.13
k	ɡ	0.115
r	ð_ɾ	0.107
r	o	0.107
s	-	0.103
ˈe	ˈi	0.1
ˈe	ɾ	0.1
ˈe	-	0.1
#>	a_#>	0.096
l	o	0.095
e	ˈe	0.087
e	ɾ_e	0.087
e	o	0.087
ˈɛ	-	0.075
r	r	0.071
t	-	0.062
n	-	0.057
ˈa	a	0.056
ˈa	-	0.056
#>	b_ɾ_e_#>	0.055
