East Low German	Faroese	probability
#>	ɪ_#>	1.0
<#_b	<#_b̥	1.0
<#_f	<#_f	1.0
<#_j	<#_ɡ̊	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ɹ	1.0
<#_tʰ	<#_tʰ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈae̯	<#_ˈai̯	1.0
<#_ˈɛ	<#_ˈɛ	1.0
b_m	v_a	1.0
d	-	1.0
j	<#	1.0
k	ɡ̊_ʊ	1.0
p	p	1.0
p_#>	p	1.0
r	ɹ	1.0
s	s	1.0
s_#>	s_#>	1.0
v	v	1.0
v_ˈa	v_ˈɛːa̯	1.0
w	v	1.0
x_t	ʰtː	1.0
æ_n	t_n̥	1.0
ŋ_k	ʰkː	1.0
ɡ	ɡ̊	1.0
ɪ_ç	ɡ̊_ʊ	1.0
ʃ	ʃ	1.0
ʃ_#>	s_k	1.0
ˈa_n	ˈa_n	1.0
ˈa_x	ˈɛːa̯	1.0
ˈaʊ̯_#>	v̥	1.0
ˈeː	ˈɔ̯aː	1.0
ˈiː_#>	ˈɛːa̯_ɹ	1.0
ˈoː	ˈɛːi̯	1.0
ˈoː_æ	ˈɔ̯aː_ɹ	1.0
ˈuː_æ	ˈoː_ɹ	1.0
ˈyː	ˈʊ̯iː_ɹ	1.0
ˈœ	ˈœ	1.0
ˈœː	ˈiː	1.0
ˈɔʏ̯	ˈøː	1.0
ˈɛː	ˈeː	1.0
ˈʊ	ˈʊ	1.0
ˈʏ	ˈɪ	1.0
<#_h	<#_j	0.091
<#_z	<#_ʃ	0.111
d_#>	#>	0.571
l	l	0.731
n_#>	n_ʊ	0.071
t_#>	ʰt_#>	0.071
æ	ˈœ_t	0.1
æ	ˈeː_ɹ	0.1
ŋ	a	0.231
ŋ	ŋ_ɡ̊	0.231
ˈae̯	ˈɔːu̯	0.231
ˈaː	ˈa_ɹ	0.571
ˈuː	ˈʉːu̯	0.571
<#_d	<#_d̥	0.522
n	n_d̥	0.2
ˈa	ˈɛːa̯	0.2
ˈɒː	ˈoː	0.182
<#_v	<#	0.333
d_#>	d̥_#>	0.143
l_#>	l̥_ʊ	0.3
l_#>	l_#>	0.3
n	nː	0.333
n_#>	n_#>	0.143
ɾ	j	0.333
ˈa	ˈœ	0.133
ˈuː	ɡ̊	0.143
ˈuː	ˈɔ	0.143
ˈuː	ˈʊ	0.143
ˈɒː	ˈa	0.273
ˈɔ	ˈuː	0.333
ˈɔ	ˈʊ	0.333
ˈɔ	ˈœ	0.333
ˈɪ	ˈɛ	0.143
ˈɪ	ˈɪ	0.643
<#_ʃ	<#_ʃ	0.294
f_#>	v_ʊ	0.714
l	t_l̥	0.154
l_#>	l_ʊ	0.4
t_#>	t_ʊ	0.214
ŋ	ɡ̊_v̥	0.154
ˈa	ˈɔ	0.4
ˈae̯	ˈɛ	0.154
ˈae̯	ˈaːi̯	0.154
ˈae̯	ˈʉːu̯	0.154
ˈiː	ˈɪ	0.154
ˈɪ	ˈiː	0.214
<#_kʰ	<#_ʧʰ	0.25
<#_kʰ	<#_kʰ	0.75
k_#>	k_ʊ	0.5
k_#>	k_#>	0.5
l	l̥	0.115
m	mː	0.5
m	m	0.5
m_#>	m_a	0.375
m_#>	m_ʊ	0.625
n_#>	#>	0.095
t	ʰt	0.105
æ	ɹ_a	0.15
æ	ɹ	0.65
ç	a	0.5
ç	v_ʊ	0.5
ç_#>	v̥_#>	0.25
ç_#>	ʊ	0.75
ŋ	ŋ	0.385
ˈɒː	ˈɔ̯aː	0.545
ˈɛ	ˈɛ	0.5
ˈɛ	ˈɛːa̯	0.5
<#	<#_ˈʊ	0.286
<#	<#_j	0.286
<#_ʃ	<#_s	0.706
d_#>	d̥_ʊ	0.286
f_#>	v_#>	0.286
ˈiː	ˈʊ̯iː	0.846
<#_v	<#_v	0.667
n	n	0.467
t_#>	ʊ	0.107
æ_#>	ɡ̊_ʊ	0.167
æ_#>	a_ɹ	0.167
æ_#>	ɪ_ɹ	0.667
ɾ	w	0.667
ˈa	ˈa	0.267
<#_d	<#_tʰ	0.478
t	ʰtː	0.158
t	ʰt_ʊ	0.158
ˈae̯	ˈai̯	0.308
ˈaʊ̯	ˈɛːi̯_j	0.188
ˈaʊ̯	ˈɔ̯aː	0.188
ˈaʊ̯	ˈɛːi̯	0.188
ˈaʊ̯	ˈɔːu̯	0.438
<#	<#_kʰ	0.429
<#_h	<#_h	0.909
<#_z	<#_s	0.889
n_#>	a_#>	0.69
t	t	0.579
t_#>	t_#>	0.179
t_#>	#>	0.429
ˈaː	ˈɛːa̯	0.429
