Western Lombard	Western Lombard	probability
ˈɔ_s	ˈɒ_s	1.0
ˈɔ_l	ˈa_l	1.0
ˈɑː	ˈa	1.0
ˈœ	-	1.0
ˈỹ	ˈu	1.0
ˈyː_r	ˈu_r	1.0
ˈy	-	1.0
ˈũ_#>	ˈo_#>	1.0
ˈoː	ˈɒ	1.0
ˈo	ˈɒ	1.0
ˈĩ_#>	ˈi_#>	1.0
ˈĩ	ˈi	1.0
ˈeː_l	ˈæ_l	1.0
ˈã_#>	ˈa_#>	1.0
ʃ	t	1.0
ɲ	ɲ	1.0
z_ɡ	v	1.0
z	-	1.0
y	o	1.0
w	w	1.0
s_e	s_e	1.0
r_ˈɛ	ɾ_ˈæ	1.0
p_#>	s_#>	1.0
p	p	1.0
o	e	1.0
m_e	m	1.0
l_s	l_s	1.0
j_ˈøː	ˈi	1.0
ĩ	i	1.0
f_#>	w_#>	1.0
f	f	1.0
ẽ	v_ɞ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
m	m	0.963
k	k	0.929
t	t	0.86
u	o	0.857
n	n	0.857
ˈɔ	ˈɒ	0.818
ˈøː	ˈɒ	0.818
k_#>	k_#>	0.818
ˈiː	ˈi	0.8
b	b	0.737
ˈuː	ˈo	0.7
s	s	0.674
ʧ	t	0.667
ʒ	ʤ	0.667
s_#>	w_#>	0.667
ˈyː	ˈu	0.643
v	v	0.643
l	ʎ	0.635
ˈũ	ˈɒ_n	0.6
ʧ_#>	ʎ_#>	0.6
e_r	ɾ_ɜ	0.6
e	e	0.588
ˈe	ˈæ	0.571
r_#>	#>	0.571
j	l	0.571
ˈeː	ˈæ	0.533
ɡ	ɡ	0.529
ˈa	ˈa	0.519
ʤ	ʤ	0.5
ʤ	-	0.5
r	r	0.491
ɡ	ɣ	0.471
ˈu	ˈo	0.462
d	d	0.448
i	i	0.444
ˈẽ	ˈe_n	0.429
ˈe	ˈe	0.429
ˈã	ˈa	0.429
r_#>	e_#>	0.429
r	ɾ	0.415
ˈũ	ˈo	0.4
ʧ_#>	#>	0.4
e_r	ɾ_ɞ	0.4
ˈu	ˈɒ	0.385
ˈa	ˈa_r	0.37
ˈɛ	ˈæ	0.367
ˈɛ	ˈe	0.367
l	l	0.365
a	ɐ	0.365
ˈi	ˈi_r	0.333
ˈi	ˈi	0.333
ˈeː	ˈe	0.333
ʧ	k_l	0.333
ʒ	-	0.333
s_#>	#>	0.333
i	-	0.333
#>	r_#>	0.32
ˈuː	ˈɒ	0.3
ˈẽ	ˈe	0.286
ˈẽ	-	0.286
ˈã	ˈa_ŋ	0.286
ˈã	ˈa_n	0.286
j	ʎ	0.286
d	ð	0.241
e	ɾ	0.235
i	e	0.222
a	ɞ	0.216
a	ɜ	0.216
ˈyː	ˈo	0.214
v	β	0.214
ˈiː	-	0.2
ˈi	-	0.2
#>	s_#>	0.2
s	e_s	0.186
ˈɔ	ˈi	0.182
ˈøː	-	0.182
k_#>	#>	0.182
e	-	0.176
a	a	0.176
b	-	0.158
ˈu	ˈæ	0.154
ˈyː	-	0.143
u	-	0.143
j	j	0.143
d	-	0.138
ˈi	ˈu	0.133
ˈeː	-	0.133
#>	ɐ_#>	0.12
#>	w_#>	0.12
ˈa	ˈe	0.111
b	β	0.105
d	ɾ	0.103
ˈɛ	ˈi	0.1
ˈɛ	ˈe_j	0.1
s	ʃ	0.093
n	ɲ	0.086
#>	t_#>	0.08
#>	l_#>	0.08
#>	e_#>	0.08
v	w	0.071
v	-	0.071
k	ŋ_k	0.071
d	z	0.069
ˈɛ	ɾ_ˈe	0.067
r	-	0.057
n	-	0.057
