Fuzhounese	Fuzhounese	probability
⁵⁵	⁵³	1.0
⁵³	²³	1.0
⁵	¹²	1.0
ʦ_w	ʑ	1.0
ɥ_ŋ	ŋ	1.0
ɥ	-	1.0
ɛ_j	i	1.0
ɑ_ŋ	ø	1.0
ŋ_⁵⁵	⁵³	1.0
ø_ɥ	o	1.0
ø	o	1.0
²⁴²	²³	1.0
²¹³	³⁴	1.0
y	-	1.0
w_ŋ	ɑ̃	1.0
s_w	z	1.0
s_j	z	1.0
p_w	f	1.0
p_u	f	1.0
nˡ	nʲ	1.0
m	m	1.0
l̃	l	1.0
kʰ	kʰ	1.0
k_j	ʨ	1.0
e_ŋ	i	1.0
e	-	1.0
a_ŋ	ø	1.0
a_w	ɜ	1.0
<#_ʦʰ	<#	1.0
<#_ŋ	<#	1.0
<#_nˡ	<#_n	1.0
<#	<#_ɦ	1.0
²⁴	⁵⁵	0.889
ʔ	ʔ	0.821
ʦʰ	ʦʰ	0.778
ʦ	ʦ	0.75
³³	³⁴	0.72
tʰ	tʰ	0.667
o_ŋ	ɑ̃	0.667
p	p	0.625
e_w	ɔ	0.6
ɔ	-	0.556
j	-	0.556
ŋ	n	0.548
w	-	0.548
t	ʦ	0.5
s	ɕ	0.5
s	s	0.5
pʰ	pʰ	0.5
pʰ	-	0.5
i	i	0.5
a_j	ə	0.5
a_j	e	0.5
ɑ	a	0.455
ɔ	o	0.444
ɛ	i	0.429
o_w	ə	0.429
k	k	0.417
h	ɦ	0.4
h	h	0.4
e_w	ɜ	0.4
o	-	0.381
p	b	0.375
u	-	0.364
tʰ	d	0.333
o_ŋ	i	0.333
k	ʥ	0.333
i	z̩	0.333
t	d	0.3
ɛ	j	0.286
ɛ	ã	0.286
o_w	u	0.286
o_w	o	0.286
³³	²³	0.28
ɑ	u	0.273
ɑ	-	0.273
u	ə	0.273
a	a	0.267
ʦ	s	0.25
ʦʰ	ʨʰ	0.222
t	t	0.2
h	f	0.2
a	-	0.2
ŋ	ŋ	0.194
o	u	0.19
j	j	0.185
u	y	0.182
u	u	0.182
ʔ	ɪ_ʔ	0.179
k	ʨ	0.167
i	-	0.167
w	ɦ	0.161
j	i	0.148
o	ɔ	0.143
a	ə	0.133
a	o	0.133
a	i	0.133
a	e	0.133
²⁴	⁵	0.111
j	e	0.111
ŋ	ɑ̃	0.097
ŋ	-	0.097
w	ɔ	0.097
o	ɥ	0.095
o	ə	0.095
o	o	0.095
k	ɡ	0.083
ŋ	ø	0.065
w	ɤ	0.065
w	u	0.065
w	o	0.065
