Faroese	Old Frisian	probability
ˈʏ	-	1.0
ˈʊ_ʤ̊ː	ˈi̯aː	1.0
ˈɪ_ɡ̊	ˈuː	1.0
ˈɛːi̯	ˈaː	1.0
ˈɛ_ɡ̊	ˈoː	1.0
ˈɔːi̯	ˈɛː	1.0
ˈuː	-	1.0
ˈoː	ˈo	1.0
ˈaːi̯	ˈɛː	1.0
ˈai̯	ˈɛː	1.0
ˈa_ɹ	ˈe_r	1.0
ʰʧ	kː	1.0
ʰt͡n̥	t_e	1.0
ʰt_ʊ	x_t	1.0
ʰk	ŋ_k	1.0
ʧ	k	1.0
ʤ̊ː	-	1.0
ʊ_ɹ	ə	1.0
ʈ	t	1.0
ɲ	ˈu_ŋ	1.0
ɪ_ɹ	ə_r	1.0
ɡ̊ː	ɡː	1.0
ɡ̊_v̥	ɣ	1.0
ŋ	ŋ	1.0
v_ʊ	x	1.0
tʰ	θ	1.0
t	t	1.0
s_ˈa	s_ˈa	1.0
r	-	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
n	n	1.0
mː	m	1.0
m_j	mː	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	h_w	1.0
kʰ	k	1.0
k	k	1.0
j_ˈœ	ˈe	1.0
j_ʊ	d	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b̥	b	1.0
s	s	0.956
ɹ	r	0.911
a	ə	0.853
ʰt	t	0.84
nː	nː	0.813
ʃ	s_k	0.789
ʤ̊	-	0.786
ʰp	p	0.775
ˈiː	ˈi	0.752
ʊ	ə	0.739
ˈɪ	ˈi	0.711
ˈʊ	ˈu	0.702
ˈʉːu̯	ˈuː	0.694
ˈøː	ˈeː	0.676
ʧʰ	k	0.667
ˈɛ	ˈe	0.648
j	-	0.629
ɪ	ə	0.625
ˈeː	ˈe	0.613
v̥	-	0.59
ˈɔːu̯	ˈi̯aː	0.571
t͡l̥	l	0.566
t͡n̥	r	0.564
ˈʊ̯iː	ˈiː	0.533
ˈœ	ˈe	0.523
ˈa	ˈa	0.451
ɡ̊	j	0.45
w	d	0.45
ɡ̊	ɡ	0.444
t͡n̥	r_n	0.436
ˈɔːu̯	ˈoː	0.429
v	w	0.414
v̥	x	0.41
ˈɛːa̯	ˈe	0.403
ˈeː	ˈi	0.387
v	v	0.377
ɪ	-	0.375
ˈɛːa̯	ˈa	0.357
w	ə	0.345
ˈɔ̯aː	ˈeː	0.339
ʧʰ	ʦ	0.333
ˈɔ̯aː	ˈaː	0.332
ˈøː	-	0.324
ˈʊ̯iː	ˈi̯uː	0.312
ˈɔ	-	0.309
ˈʉːu̯	ˈi̯aː	0.306
ˈɔ	ˈe	0.269
ʊ	-	0.261
t͡l̥	l_d	0.253
ˈiː	ˈo	0.248
ˈɛːa̯	-	0.24
ˈœ	ˈo	0.239
ˈœ	-	0.239
ˈɛ	-	0.238
j	d	0.232
ʰp	pː	0.225
ʤ̊	d	0.214
ʃ	s	0.211
ˈɔ̯aː	ˈɔː	0.205
w	-	0.205
ˈa	ˈɔː	0.201
ˈa	ˈe	0.198
nː	θ	0.187
t͡l̥	lː	0.181
ˈʊ	ˈuː	0.16
ʰt	tː	0.16
ˈʊ̯iː	ˈi	0.155
ˈɔ	ˈo	0.153
ˈa	r	0.15
ˈɪ	-	0.148
ˈɪ	ˈe	0.142
j	dː	0.139
ˈʊ	-	0.138
ˈɔ̯aː	-	0.124
ˈɔ	ˈa_x	0.123
v	-	0.121
ˈɛ	ˈa	0.114
ɡ̊	x	0.106
v	bː	0.087
a	j_ə	0.085
ˈɔ	ˈo_r	0.073
ˈɔ	ˈa	0.073
