Eastern Lombard	Eastern Lombard	probability
ˈø_ʧ	ˈo_ɟ	1.0
ˈo_n	ˈu_n	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_n	ˈa	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ɲ	ɲ	1.0
w	w	1.0
t_e	w_t	1.0
t_a	t_ɐ	1.0
t_#>	d_ʊ_#>	1.0
s_ˈu	s_ˈo	1.0
s_a	θ_ɐ	1.0
s_#>	θ_#>	1.0
r_#>	ɾ_ʊ_#>	1.0
p_j	ʧ	1.0
p	p	1.0
m_#>	m_ɪ_#>	1.0
m	m	1.0
f_j	ʧ	1.0
e_r	ɾ_ʊ	1.0
e_#>	#>	1.0
d_a	ð_ɐ	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_z	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_b	0.882
k	k	0.865
ˈy	ˈu	0.833
l	l	0.827
r	ɾ	0.815
f	f	0.741
b	b	0.737
a	ɐ	0.722
z	ʃ	0.692
t	t	0.684
ˈa	ˈa	0.679
ˈu	ˈo	0.667
i	i	0.667
ŋ	ŋ	0.625
ʧ	j_t	0.6
ʋ	b	0.6
d	d	0.591
n	n	0.586
ˈo	ˈo	0.529
#>	ʊ_#>	0.514
ʤ	ɟ	0.5
ʤ	-	0.5
l_#>	ʊ_#>	0.5
l_#>	#>	0.5
ˈi	ˈi	0.48
ˈø	ˈɔ	0.474
ɡ	ɣ	0.474
ˈɛ	ˈe	0.471
o	o	0.471
ˈɔ	ˈo	0.45
ˈe	ˈe	0.448
s	s	0.433
ɡ	ɡ	0.421
o	-	0.412
ʧ	ʧ	0.4
ʋ	-	0.4
ŋ	n	0.375
ˈɛ	ˈɛ	0.353
ˈɔ	ˈɔ	0.35
ˈu	ˈɔ	0.333
i	e	0.333
e	e	0.333
j	ɟ	0.312
j	-	0.312
n	-	0.31
e	-	0.3
ˈo	ˈɔ	0.294
s	θ	0.283
ˈe	ˈɛ	0.276
ˈø	ˈu	0.263
b	β	0.263
f	β	0.259
t	ð	0.211
ˈe	ˈi	0.207
#>	ɪ_#>	0.207
a	a	0.194
ˈa	ˈɑ	0.189
ˈo	ˈo_w	0.176
l	-	0.173
ˈy	-	0.167
ˈi	ˈe	0.16
ˈø	ˈo	0.158
z	θ	0.154
z	-	0.154
d	-	0.136
#>	ŋ_#>	0.135
s	e_s	0.133
e	ʊ	0.133
e	ɪ	0.133
j	ˈe	0.125
j	ʃ	0.125
j	o	0.125
ˈi	ˈi_ɲ	0.12
o	u	0.118
<#	<#_a	0.118
ˈø	-	0.105
ɡ	-	0.105
t	ð_ʊ	0.105
n	ɲ	0.103
ˈɔ	ˈo_j	0.1
ˈɔ	ɾ	0.1
e	ɾ	0.1
k	ɣ_ʊ	0.096
r	r	0.093
d	ɾ	0.091
d	ð	0.091
d	a_ð	0.091
ˈɛ	ˈi	0.088
ˈɛ	ˈe_j	0.088
ˈi	ˈi_ɣ	0.08
ˈi	ˈe_ɾ	0.08
ˈi	e	0.08
ˈa	ɾ	0.075
ˈe	ˈe_n	0.069
ˈa	ˈe	0.057
r	ɪ	0.056
#>	ɐ_#>	0.054
