Insular North Frisian	Insular North Frisian	probability
ˈœ_n	n	1.0
ˈuː_ɐ	ɾ	1.0
ˈaː	ˈæ	1.0
ˈaʊ̯	ˈoː_v	1.0
ʃ	-	1.0
ɪ_ç	x	1.0
ə_n	ə_n	1.0
ɐ_x	ɾ	1.0
ŋ	ŋ	1.0
ç	x	1.0
z	z	1.0
x_t	d̥	1.0
v_ˈɛ	ʋ	1.0
tʲ	d	1.0
tʰ	d	1.0
s_ˈɔ	z	1.0
s_k	s	1.0
s_#>	z_ə_#>	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
h	ˈʊə̯	1.0
f_r	v_ɾ	1.0
e	ə	1.0
b	b	1.0
aɪ̯	iː	1.0
<#_ˈɔː	<#_ˈɑ	1.0
<#_ɡ	<#_x	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_h_ˈɔː	<#_ˈɛː	1.0
<#_h	<#	1.0
v	ʋ	0.9
l	ɫ	0.9
t	t	0.875
ə	ə	0.818
ˈa	ˈɑ	0.8
n	n	0.793
d	d	0.765
r	ɾ	0.75
x	x	0.727
j	-	0.714
f	v	0.704
ˈɔa̯	ˈʊə̯	0.7
#>	ə_#>	0.677
ɾ	d̥	0.667
ɪ	ɪ	0.667
ˈɔː	ˈɛː	0.6
ˈaɪ̯	x	0.6
ˈɪ	ˈi	0.545
k	k	0.533
ˈʏ	ˈyː	0.5
ˈɛː	ˈæ	0.5
ˈɛː	-	0.5
ˈœ	ˈɔ	0.5
ˈøː	ˈøː	0.5
ˈøː	ˈuː	0.5
ˈyː	ˈyː	0.5
ˈyː	ˈiː	0.5
ˈoː	ˈʊə̯	0.5
ˈoː	-	0.5
nʲ	n_d̥	0.5
nʲ	n_d	0.5
s	z	0.463
ɐ	ə_ɾ	0.438
s	s	0.415
ˈiː	ˈiː	0.412
ˈɔː	-	0.4
ˈaɪ̯	-	0.4
ˈɔ	ˈɔ	0.375
ˈɔ	-	0.375
ɐ	ɾ	0.375
ˈuː	ˈʊə̯	0.333
ˈuː	ˈɛː	0.333
ˈuː	ɾ	0.333
ɪ	i	0.333
k	k_ə	0.333
ˈɔa̯	-	0.3
f	v̥	0.296
j	j	0.286
ˈɪ	ˈɪ	0.273
x	ɾ	0.273
ˈɔ	ˈu	0.25
ˈœ	ˈʏ	0.25
ˈœ	ˈɑ	0.25
ˈɛ	ˈɪ	0.238
ˈɛ	-	0.238
d	t	0.235
ˈʏ	ˈɔ	0.222
ˈʊ	ˈɪ	0.214
ˈʊ	ˈu	0.214
ˈeː	ˈɪə̯	0.211
ˈeː	-	0.211
ˈa	ˈæ	0.2
ə	ɾ	0.182
ˈʏ	-	0.167
ɾ	d	0.167
ɾ	-	0.167
ˈeː	ˈeː	0.158
ˈʊ	ˈɔ	0.143
ˈʊ	ˈɑ	0.143
ˈʊ	ˈuː	0.143
ˈʊ	-	0.143
ˈɛ	ˈʏ	0.143
ˈɛ	ˈɪə̯	0.143
n	n_d	0.138
k	x	0.133
r	ˈʏ	0.125
r	-	0.125
s	z̥	0.122
ˈiː	ˈɪə̯	0.118
ˈiː	ˈɛː	0.118
ˈiː	ˈi	0.118
ˈiː	ˈeː	0.118
ˈiː	-	0.118
#>	k_#>	0.113
#>	d̥_#>	0.113
ˈʏ	ˈɑ	0.111
ˈeː	ˈɑ	0.105
ˈeː	ˈæi̯	0.105
ˈeː	ˈuː	0.105
ˈeː	n	0.105
v	-	0.1
ˈɛ	ˈɑ	0.095
ˈɛ	ˈæ	0.095
ɐ	ɾ_ə	0.094
ɐ	ə	0.094
ˈɪ	ˈyː	0.091
ˈɪ	ˈiː	0.091
t	d̥	0.075
n	ə	0.069
#>	n_#>	0.065
