American English	Proto-Germanic	probability
b	b	0.961
d	d	0.487
d	ð_ɑ̃	0.182
d	ð_ɑ	0.123
d	ð_i	0.073
d	ð	0.051
f	ɸ	0.806
f	β_ɑ	0.084
h	x	0.979
i	i	0.431
i	ɑ	0.431
i	ɑ_ɣ	0.138
j	j	0.433
j	ɣ	0.314
j	ˈɑ	0.254
k	k	0.592
k	kʷ	0.165
k	k_i	0.119
kʰ	k	0.926
l	l	0.795
l	ɑ_l	0.09
l	x_l	0.084
m	m	0.646
m	m_ɑ	0.139
m	m_i	0.084
m	mː	0.067
m	-	0.064
n	n	0.802
n	nː	0.087
n	-	0.057
oʊ̯	ɑ	0.798
oʊ̯	w	0.147
oʊ̯	ɑː	0.055
p	p_ɑ	0.393
p	p_ɑ̃	0.255
p	p	0.193
p	x	0.094
p	ɸ	0.064
s	s	0.893
s	s_ɑ̃	0.1
t	t_ɑ	0.366
t	t	0.283
t	x_t	0.121
t	t_i	0.087
t	t_ɑ̃	0.064
t	t_u	0.051
tʰ	t	1.0
v	β	0.673
v	ɸ	0.312
w	w	0.811
w	xʷ	0.138
z	s	1.0
ð	ð	0.628
ð	θ	0.372
ŋ	ŋ	0.941
ŋ	n	0.059
ə	-	0.579
ə	u	0.224
ə	ˈɑi̯	0.118
ə	ɑ	0.078
ɚ	r_ɑ̃	0.168
ɚ	ɛː	0.145
ɚ	r	0.119
ɚ	i	0.098
ɚ	s_ɔːː	0.079
ɚ	r_i	0.079
ɚ	ɔːː	0.075
ɚ	ɑ̃	0.061
ɚ	r_ɑ	0.053
ɡ	ɣ	0.765
ɡ	ɡ	0.125
ɡ	jː	0.083
ɪ	iː	0.747
ɪ	ɑ	0.253
ɫ	l	0.411
ɫ	l_ɑ	0.317
ɫ	l_i	0.107
ɫ	l_u	0.088
ɹ	r	0.967
ɾ	t	1.0
ʃ	s_k	0.944
ʃ	ɸ	0.056
ʤ	ɣ_j	1.0
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.275
ˈaɪ̯	ˈe	0.148
ˈaɪ̯	ˈi	0.115
ˈaɪ̯	ˈuː	0.078
ˈaɪ̯	ˈɑu̯_ɣ	0.073
ˈaɪ̯	ˈɔː	0.059
ˈaʊ̯	ˈuː	0.51
ˈaʊ̯	ˈu	0.195
ˈaʊ̯	ˈuː_z	0.177
ˈaʊ̯	wː	0.117
ˈeɪ̯	ˈɑ	0.562
ˈeɪ̯	ˈe_ɣ	0.202
ˈeɪ̯	ˈɑ_x	0.103
ˈeɪ̯	ˈɑ_ɣ	0.102
ˈi	ˈɑu̯	0.283
ˈi	ˈe	0.1
ˈi	ˈeu̯	0.1
ˈi	ˈɛː	0.093
ˈi	ˈɔː	0.077
ˈi	ˈiː_z	0.066
ˈoʊ̯	ˈɑi̯	0.585
ˈoʊ̯	ˈu	0.177
ˈoʊ̯	ˈɑ	0.175
ˈoʊ̯	ˈɑi̯_w	0.062
ˈu	ˈɔː	0.424
ˈu	w	0.214
ˈu	ˈɑ_n	0.136
ˈu	ˈɛː	0.134
ˈu	ˈiu̯	0.091
ˈæ	ˈɑ	0.905
ˈæ	ˈe	0.067
ˈɑ	ˈɑ	0.515
ˈɑ	ˈe	0.232
ˈɑ	ˈu	0.207
ˈɔ	ˈu	0.577
ˈɔ	ˈe	0.212
ˈɔ	ˈɑ	0.212
ˈɛ	ˈɑ	0.265
ˈɛ	ˈe	0.243
ˈɛ	ˈɑu̯	0.136
ˈɛ	ˈi	0.09
ˈɛ	ɑi̯	0.077
ˈɛ	ˈɛː	0.062
ˈɝ	ˈu_r	0.886
ˈɝ	ˈe	0.114
ˈɪ	ˈi	0.643
ˈɪ	ˈu	0.192
ˈɪ	ˈe	0.097
ˈʊ	ˈɔː	0.626
ˈʊ	lː	0.282
ˈʊ	ˈu	0.093
ˈʌ	ˈu	0.722
ˈʌ	ˈɔː	0.084
ˈʌ	-	0.074
ˈʌ	ˈɑi̯	0.074
θ	θ	0.942
θ	-	0.058
