American English	Proto-Germanic	probability
b	b	1.0
d	d	0.508
d	ð_ɑ̃	0.164
d	ð_ɑ	0.095
d	θ_ɑ̃	0.056
d	θ_ɑ	0.044
f	ɸ	0.842
f	β_ɑ	0.064
f	β_ɑ̃	0.057
f	ɣ	0.035
f	x	0.031
h	x	0.971
h	-	0.039
i	ɑ_ɣ	0.431
i	i	0.284
i	ɑ	0.201
j	j	0.318
j	ˈɑ	0.21
j	ɣ	0.129
k	k	0.454
k	k_s	0.207
k	x	0.111
k	kː	0.093
k	kʷ	0.093
kʰ	k	0.688
kʰ	kʷ	0.133
kʰ	ɸ	0.127
l	l	0.726
l	l_ɣ	0.108
l	w	0.062
l	ɑ_l	0.052
l	x_l	0.052
m	m	0.529
m	m_ɑ	0.225
m	m_ɔːː	0.097
m	m_i	0.084
m	mː	0.048
n	n	0.812
n	nː_i	0.043
n	-	0.042
n	m	0.035
n	nː	0.034
oʊ̯	i	0.322
oʊ̯	ɑː	0.198
oʊ̯	ɑ	0.183
oʊ̯	w	0.112
p	p	0.878
p	ɸ	0.121
s	s	0.976
s	sː	0.03
t	t_ɑ	0.34
t	t	0.259
t	t_s	0.127
t	t_ɑ̃	0.069
t	t_i	0.059
tʰ	t	0.94
tʰ	b	0.055
v	β	0.552
v	ɸ	0.333
v	x	0.067
w	w	0.784
w	xʷ	0.141
w	-	0.062
z	s	1.0
ð	ð	0.503
ð	θ	0.491
ŋ	ŋ	0.823
ŋ	n	0.174
ə	-	0.367
ə	ɑ	0.242
ə	u	0.158
ə	ˈɑi̯	0.149
ɚ	ɛː	0.201
ɚ	r_ɑ̃	0.134
ɚ	r_ɑ	0.073
ɚ	r	0.073
ɚ	r_u	0.064
ɡ	ɣ	0.652
ɡ	ɡ	0.169
ɡ	jː	0.097
ɡ	x	0.073
ɪ	iː	0.629
ɪ	ɑ	0.361
ɫ	l	0.377
ɫ	l_ɑ	0.216
ɫ	l_u	0.109
ɫ	l_ɔː	0.076
ɫ	l_i	0.072
ɹ	r	0.966
ɹ	-	0.038
ɾ	t	1.0
ʃ	s_k	1.0
ʤ	ɣ_j	1.0
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.239
ˈaɪ̯	ˈe	0.119
ˈaɪ̯	ˈi	0.106
ˈaɪ̯	ˈɑu̯_ɣ	0.098
ˈaɪ̯	ˈuː	0.079
ˈaʊ̯	ˈuː	0.558
ˈaʊ̯	ˈu	0.264
ˈaʊ̯	ˈuː_z	0.129
ˈeɪ̯	ˈɑ	0.545
ˈeɪ̯	ˈe_ɣ	0.16
ˈeɪ̯	ˈɑ_ɣ	0.12
ˈeɪ̯	ˈɑ_x	0.092
ˈeɪ̯	ˈɑu̯	0.055
ˈi	ˈɑu̯	0.238
ˈi	ˈeu̯	0.133
ˈi	ˈe	0.131
ˈi	ˈɛː	0.11
ˈi	ˈɔː	0.075
ˈoʊ̯	ˈɑi̯	0.562
ˈoʊ̯	ˈu	0.237
ˈoʊ̯	ˈɑ	0.19
ˈu	ˈɔː	0.365
ˈu	w	0.2
ˈu	ˈɑ_n	0.174
ˈu	ˈiu̯	0.132
ˈu	ˈɛː	0.096
ˈæ	ˈɑ	0.924
ˈæ	ˈe	0.074
ˈɑ	ˈɑ	0.429
ˈɑ	ˈu	0.355
ˈɑ	ˈe	0.123
ˈɑ	ˈɑi̯	0.068
ˈɔ	ˈu	0.569
ˈɔ	ˈe	0.209
ˈɔ	ˈɑ	0.209
ˈɛ	ˈɑ	0.263
ˈɛ	ˈe	0.218
ˈɛ	ˈɑu̯	0.175
ˈɛ	ˈi	0.081
ˈɛ	ˈɛː	0.072
ˈɝ	ˈu_r	0.699
ˈɝ	ˈe	0.148
ˈɪ	ˈi	0.546
ˈɪ	ˈu	0.233
ˈɪ	ˈe	0.132
ˈɪ	ˈiu̯	0.037
ˈɪ	ˈeu̯	0.036
ˈʊ	ˈɔː	0.603
ˈʊ	lː	0.161
ˈʊ	ˈu	0.118
ˈʌ	ˈu	0.627
ˈʌ	ˈɔː	0.19
ˈʌ	ˈɑi̯	0.087
ˈʌ	ˈɑ	0.076
θ	θ	0.947
θ	-	0.055
