Bokmål Norwegian	Insular North Frisian	probability
ˈɛ_tː	aɪ̯	1.0
ˈœʏ̯	ˈoː	1.0
ʈː	x_t	1.0
ʈ	t	1.0
ʂ	s	1.0
ɪ	ɪ	1.0
ə_ɾ	ɐ	1.0
ə_n	ə_n	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	tʲ	1.0
t	t	1.0
sː	-	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
s	s	0.935
k	k	0.907
ʋ	v	0.882
ˈɑː	ˈɔː	0.763
lː	l	0.76
d	d	0.712
tʰ	tʰ	0.708
ˈɪ	ˈɪ	0.699
ˈæɪ̯	ˈiː	0.694
tː	t	0.687
nː	n	0.645
j	-	0.621
ɡː	ç	0.598
ˈʏ	-	0.547
ɳ	ɐ_n	0.537
ə	-	0.521
ɡ	ɡ	0.518
ɾ	r	0.509
ˈʊ	ˈœ	0.5
ˈʊ	-	0.5
ˈʉː	ˈʏ	0.485
ˈɔ	-	0.48
ˈœ	-	0.476
ɳ	ɐ	0.463
ˈʉ	ˈʊ	0.459
ˈʏ	ˈɛ	0.453
ˈuː	ˈuː	0.435
ˈiː	ˈɪ	0.423
ɡː	-	0.402
ə	ə	0.388
ˈyː	ˈiː	0.386
ˈyː	ˈyː	0.37
ˈæː	ˈɛ_ɾ	0.368
ˈæː	ˈɛː	0.359
ɡ	-	0.358
ˈɑ	ˈa	0.355
ˈoː	ˈɔː	0.344
ˈeː	ˈɛ	0.328
ˈiː	ˈiː	0.319
ˈœ	ˈɛ	0.315
tː	x_t	0.313
ˈæɪ̯	ˈaɪ̯	0.306
ɾ	ɐ	0.301
tʰ	d	0.292
d	-	0.288
ˈøː	ˈɔa̯	0.286
ˈæː	-	0.273
ˈeː	-	0.266
ˈɔ	ˈʊ	0.26
ˈɔ	ˈɔ	0.26
ˈiː	-	0.258
nː	nʲ	0.256
ˈɛ	ˈɛ	0.254
ˈoː	ˈuː	0.254
ˈyː	-	0.243
ˈɑː	-	0.237
ˈeː	ˈɪ	0.235
ˈøː	ˈeː	0.233
ˈʉː	ˈyː	0.231
ˈoː	-	0.231
j	h	0.221
ˈɪ	-	0.21
ˈœ	ˈeː	0.209
ˈʉ	ˈʏ	0.207
ˈɛ	ˈa	0.181
ˈuː	ˈoː	0.18
ˈɛ	-	0.174
ˈoː	ˈɔa̯	0.172
ˈʉ	-	0.171
ˈeː	ˈiː	0.171
ˈʉː	ˈɛ	0.169
ˈøː	-	0.165
ˈʉ	ˈœ	0.163
ˈøː	ˈɛ	0.163
j	x	0.158
ˈøː	ˈoː	0.152
lː	l_ə	0.148
ˈuː	ˈɔ	0.133
ɡ	ɪ_ç	0.124
ˈɑ	-	0.118
ʋ	-	0.118
ˈʉː	v	0.115
ˈɛ	ˈɔ	0.113
ˈɑ	ˈɛ	0.111
ˈɑ	ˈʏ	0.11
ˈɑ	ˈœ	0.11
ˈɛ	ˈɔː	0.104
ˈɛ	ˈeː	0.103
nː	ɾ	0.1
k	-	0.093
ə	ç	0.092
lː	lʲ	0.091
ˈɪ	ˈɛ	0.09
ɾ	ɐ_x	0.089
ˈɑ	ˈeː	0.085
ˈuː	ˈʊ	0.084
ˈuː	ˈœ	0.084
ˈuː	ˈaʊ̯	0.084
ɾ	-	0.077
ˈɛ	ˈaɪ̯	0.07
ˈɑ	ˈɔː	0.056
ˈɑ	ˈuː	0.056
s	ʃ	0.054
