Latin	Western Lombard	probability
e	-	1.0
f	f	1.0
iː	-	1.0
lʲː	l	1.0
oː	ˈyː	1.0
rː	r	1.0
sː	s	1.0
tː	t	1.0
u	-	1.0
uː	-	1.0
ʊ	-	1.0
ˈau̯	ˈɔ	1.0
ˈi	ˈi	1.0
b	-	0.31
kʷ	k_w	0.41
m	m	0.901
t	ʦ	0.131
ɛ	i	0.071
ɡ	-	0.361
ɪ	u	0.11
ɫ	j	0.121
ˈa	ˈɔ	0.061
ˈa	ˈaː	0.091
ˈaː	ˈaː	0.111
ˈɛ	ˈe	0.231
ˈɪ	ˈeː	0.171
k	-	0.422
kː	k	0.862
p	ʋ	0.222
w	ʋ	0.712
ɔ	e	0.522
ɪ	-	0.562
ʊ̃ː	-	0.402
ˈaː	ˈa	0.602
ˈuː	ˈyː	0.052
ãː	a	0.913
n	ɲ	0.063
p	p	0.553
r	-	0.293
ŋ	-	0.183
ɛ̃ː	a	0.093
ɛ̃ː	ˈũː	0.173
ɡ	ʤ	0.43
ɫ	l	0.63
ʊ̃ː	ˈãː	0.163
ˈa	-	0.053
ˈoː	ˈyː	0.13
ˈoː	-	0.743
ˈɔ	ˈøː	0.103
ˈɪ	ˈe	0.393
i	-	0.614
l	-	0.144
s	-	0.224
s	s	0.754
ˈa	ˈa	0.794
ˈeː	ˈɛ	0.114
ˈiː	ˈi	0.574
ˈʊ	ˈu	0.834
a	u	0.075
aː	-	0.135
aː	a	0.865
d	d	0.715
j	-	0.055
j	ʤ	0.945
ʊ̃ː	a	0.05
ˈɔ	-	0.135
ˈɔ	ˈɔ	0.45
a	ˈa	0.076
a	a	0.806
d	-	0.256
i	j	0.386
l	l	0.856
ʊ̃ː	ˈũː	0.286
ˈiː	-	0.426
ˈɔ	ˈu	0.116
ˈɛ	ˈɛ̃ː	0.146
ˈʊ	ˈø	0.166
ãː	-	0.087
p	-	0.167
r	r	0.697
ŋ	ˈãː	0.817
ɔ	u	0.447
ɛ̃ː	ˈãː	0.067
ɛ̃ː	-	0.667
ˈaː	-	0.287
ˈeː	ˈe	0.397
ˈoː	ˈu	0.127
ˈɔ	ˈø	0.197
ˈɪ	-	0.317
k	k	0.38
kː	-	0.138
n	-	0.378
p	f	0.058
t	-	0.148
w	-	0.288
ɡ	ʧ	0.08
ɡ	ɡ	0.128
ɪ	e	0.328
ɫ	-	0.248
ʊ̃ː	ˈy_ʧ	0.098
ˈuː	ˈy	0.838
b	b	0.69
k	ʧ	0.119
kʷ	k	0.59
m	-	0.099
n	n	0.559
t	d	0.279
t	t	0.409
ɛ	e	0.349
ɛ	-	0.579
ˈeː	ˈe_j	0.489
ˈuː	ˈi	0.109
ˈɛ	ˈɛ	0.599
ˈɪ	ˈa	0.119
