Ladin	Ladin	probability
ˈɛ_t	ˈɛə̯_t	1.0
ˈɛ_k	ɡ	1.0
ˈɛ_f	v	1.0
ˈɔ_n	ˈõũ̯	1.0
ˈo_w	ˈou̯	1.0
ˈo_n	ˈõũ̯	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_#>	ˈeə̯_#>	1.0
ˈa_n	ˈʌ̃	1.0
ʧ	θ	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	-	1.0
u	u	1.0
t_#>	d_#>	1.0
s_ˈe	s_ˈɛ	1.0
s_a	s_ɐ	1.0
r_t	r_t	1.0
p_#>	p_#>	1.0
p	p	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
e_r	ɐ_r	1.0
d_l	ʧ	1.0
b	b	1.0
a_v	ɐ_v	1.0
a_m	ɐ_m	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈeə̯	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_ɐ	1.0
<#	<#_v	1.0
t	t	0.935
f	f	0.913
v	v	0.909
s	s	0.9
a	ɐ	0.887
n	n	0.884
r	r	0.867
ʦ	θ	0.714
d	d	0.714
ˈe_j	ˈeː	0.7
ʨ	k	0.68
ʒ	ð	0.667
s_#>	s_#>	0.667
o	u	0.667
k	k	0.667
i	i	0.667
ˈe	ˈɛ	0.625
l	l	0.625
ʥ	-	0.6
w_ˈɛ	ˈɔə̯	0.6
j_ˈɛ	ˈi	0.6
ʃ	s	0.556
#>	ɐ_#>	0.533
j	-	0.526
ˈu	ˈo	0.5
w	-	0.467
e	-	0.448
ˈɔ	ˈɔə̯	0.444
ˈi	ˈi	0.409
ˈa	ˈa	0.4
ʥ	ʤ	0.4
w_ˈɛ	ˈɔ	0.4
j_ˈɛ	ˈeː	0.4
ˈɔ	ˈɔ	0.389
ˈo	ˈou̯	0.375
ˈo	ˈo	0.375
l	j	0.375
ˈa	ˈʌ̃	0.371
j	j	0.368
ˈɛ	ˈɛə̯	0.341
ʒ	z	0.333
ʃ	z	0.333
s_#>	#>	0.333
o	-	0.333
i	-	0.333
ˈe_j	ˈi	0.3
ʦ	-	0.286
d	-	0.286
ˈi	ˈẽ	0.273
w	ˈɔə̯	0.267
w	ˈu	0.267
ˈɛ	ˈeə̯	0.25
ˈu	ˈu	0.25
ˈu	ˈou̯	0.25
ˈe	-	0.25
ʨ	θ	0.24
ˈi	ˈɛ	0.227
#>	r_#>	0.2
k	k_v	0.19
ˈɛ	ˈɛ	0.182
e	r	0.172
ˈɔ	ˈo	0.167
ˈa	ˈeə̯	0.143
k	ɡ	0.143
e	ɐ_r	0.138
e	ɐ	0.138
#>	l_#>	0.133
#>	d_#>	0.133
ˈo	u_j	0.125
ˈo	-	0.125
ʃ	z_ɐ	0.111
j	d	0.105
s	ˈeː_t	0.1
ˈi	j_ˈɔə̯	0.091
v	-	0.091
f	v_ɐ	0.087
ˈe	ˈẽ	0.083
ʨ	-	0.08
n	j̃	0.07
e	i	0.069
ˈɛ	ˈẽ	0.068
ˈɛ	ˈeː	0.068
ˈɛ	-	0.068
r	ɐ	0.067
r	r_ɐ	0.067
t	θ	0.065
ˈa	-	0.057
a	a	0.056
a	-	0.056
