Asturian	Piedmontese	probability
d	d	1.0
f	f	1.0
i	-	1.0
j	-	1.0
k	k	1.0
m	m	1.0
p	p	1.0
ʃ	ʤ	1.0
ʝ	j	1.0
ʧ	t	1.0
ˈi	ˈi	1.0
n	ŋ	0.451
r	r	0.951
ð	t	0.061
ɾ	-	0.181
ˈe	ˈe	0.191
e	-	0.132
e	e	0.782
o	u	0.552
t	t	0.842
ɡ	-	0.12
ʎ	l	0.922
b	v	0.733
n	n	0.393
w	w	0.643
ˈo	ˈu	0.553
o	ˈɔ	0.064
o	-	0.384
u	-	0.424
ð	-	0.584
ŋ	ŋ	0.694
ɲ	ɲ	0.844
ˈa	ˈa	0.924
ˈu	ˈy	0.694
β	-	0.14
β	v	0.764
l	-	0.065
l	l	0.935
s	-	0.275
s	s	0.725
ð	d	0.355
ɣ	ɡ	0.375
ɣ	-	0.625
ˈe	ˈi	0.255
θ	s	0.465
a	-	0.106
e	a	0.086
n	-	0.156
ŋ	n	0.306
ɲ	ŋ	0.156
ˈa	-	0.076
ˈe	j	0.066
ˈu	ˈu	0.306
β	b	0.096
θ	z	0.456
b	b	0.267
u	ˈø	0.337
w	-	0.357
a	a	0.848
t	s	0.158
ɡ	ɡ	0.88
ʎ	p_j	0.078
u	i	0.239
ɾ	r	0.819
ˈe	ˈɛ	0.439
ˈo	ˈɔ	0.399
θ	-	0.079
