Sicilian	French	probability
ˈɛ_ʦː	i	1.0
ˈɛ_ɖː	o	1.0
ˈɛ_n	ɑ̃	1.0
ˈɛ_j	i	1.0
ˈɔ_v	œ_f	1.0
ˈɔ_tː	ɥ	1.0
ˈɔ_n	ɔ̃	1.0
ˈɔ_k	ø	1.0
ˈɔ_cː	u	1.0
ˈu_ɕ	w	1.0
ˈu_tː	u	1.0
ˈu_n	ɔ̃	1.0
ˈu_j	u	1.0
ˈo	ɔ̃	1.0
ˈi_t	w	1.0
ˈi_n	ɛ̃	1.0
ˈe	ɛ	1.0
ˈa_ʈ	ɛ	1.0
ˈa_ɾ	e	1.0
ˈa_w	o	1.0
ˈa_t	e	1.0
ˈa_r	e	1.0
ˈa_n	ɛ̃	1.0
ʧː	-	1.0
ʦː	-	1.0
ʦ	-	1.0
ʤː	-	1.0
ʤ	ʒ	1.0
ʐː	ʁ	1.0
ʈː	t	1.0
ʈ	-	1.0
ʃ	e	1.0
ɾ_ˈa	ʁ	1.0
ɾ_ɪ	e	1.0
ɾ_n	ʁ	1.0
ɽ	ʁ	1.0
ɲ	ɛ̃	1.0
ɪ_ɾ	ʁ	1.0
ɪ_r	ʁ	1.0
ɟː_a	j	1.0
ɟː	-	1.0
ɟ	ɡ_l	1.0
ɖː_a	l	1.0
ç	f_l	1.0
z	-	1.0
w_ˈa	a	1.0
w	ɔ	1.0
v_ˈa	v_a	1.0
sː	s	1.0
s_t	t	1.0
r	ʁ	1.0
o	ɔ	1.0
nː_a	y_m	1.0
nː	ɑ̃	1.0
mː	m	1.0
lː	l	1.0
kː_a	ʃ	1.0
kː	-	1.0
k_ˈa	ʃ	1.0
k_a	a	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
cː	j	1.0
c	p_l	1.0
bː	v	1.0
b	b	1.0
a_s	e	1.0
a_n	ɑ̃	1.0
a_l	a_l	1.0
n	n	0.87
s	s	0.869
m	m	0.847
a	a	0.821
ɾ	ʁ	0.811
l	l	0.799
ɲː	ɲ	0.781
ɖː	l	0.742
j	ʒ	0.674
ɡ	ɡ	0.666
v	v	0.654
p	p	0.651
d	d	0.62
t	-	0.616
ˈa	ɛ	0.602
ʃː	t	0.565
ŋ	-	0.561
tː	-	0.553
k	ʃ	0.515
ˈɔ	ɔ	0.51
ɕ_ˈi	s	0.508
ɕ_ˈi	s_i	0.492
ˈɛ	ɛ	0.447
tː	t	0.447
ŋ	ɛ̃	0.439
ʃː	-	0.435
ɪ	a	0.422
i	-	0.408
u	-	0.401
t	t	0.384
d	-	0.38
ɕ	s	0.375
k	k	0.361
v	-	0.346
ʊ	-	0.343
u	ɔ	0.335
ɡ	-	0.334
ʊ	ø	0.328
ʊ	a	0.328
j	d	0.326
ɕ	z	0.315
ɕ	-	0.31
ˈi	i	0.3
i	ə	0.269
u	u	0.264
p	v	0.263
ɖː	-	0.258
ˈi	w	0.245
ˈu	y	0.221
ɲː	ɛ̃	0.219
ˈa	a	0.215
ɪ	-	0.202
l	-	0.201
ˈɔ	u	0.2
ˈɛ	j	0.197
i	ɛ	0.197
ˈu	u	0.196
ˈu	w	0.192
ɪ	i	0.192
ɾ	-	0.189
ɪ	d	0.185
a	ə	0.179
ˈɛ	ɑ̃	0.159
ˈi	ɛ	0.158
m	-	0.153
ˈi	l	0.149
ˈɛ	j_ɛ	0.137
ˈɔ	œ	0.132
s	-	0.131
k	-	0.124
ˈu	œ	0.109
ˈa	e	0.102
n	ɛ̃	0.094
ˈu	ɥ	0.091
p	-	0.086
ˈɔ	ɥ	0.082
ˈa	ɑ̃	0.081
ˈi	w_a	0.078
ˈɔ	-	0.076
ˈu	ɔ̃	0.074
ˈi	-	0.07
i	w_a	0.063
i	i	0.063
ˈɛ	i	0.06
ˈu	-	0.06
ˈu	ø	0.059
