Scots	Old English	probability
b	b	0.965
d	d	0.915
e	i	0.48
e	-	0.26
e	u	0.26
f	f	0.967
h	h	1.0
i	i	1.0
iː	iːy̯	1.0
j	j	0.782
j	ˈeo̯	0.147
j	ˈiːy̯	0.071
k	k	0.743
k	ʧ	0.174
kʰ	k	0.729
kʰ	ʧ	0.271
l	l	0.767
l	ɫ	0.19
m	m	0.896
m	-	0.066
n	n	0.963
p	p	0.893
p	pː	0.107
pʰ	p	1.0
r	r	0.897
s	s	0.914
s	ʃː	0.068
t	t	0.95
tʰ	t	0.944
tʰ	b	0.056
v	v	0.712
v	f	0.288
w	w	1.0
x	ç	0.533
x	x	0.467
z	z	1.0
ç	ɣ	1.0
ð	ð	0.459
ð	d	0.396
ð	θ	0.145
ŋ	ŋ	1.0
ə	e	0.566
ə	o	0.342
əi̯	i	0.648
əi̯	-	0.292
əi̯	iː	0.06
ɡ	ɡ	0.747
ɡ	ʤ	0.234
ɪ	e	0.782
ɪ	-	0.218
ɫ	ɫ	0.953
ɹ	ˈiː	1.0
ʃ	ʃ	1.0
ʍ	ʍ	1.0
ʧ	ʧ	1.0
ˈa	ˈe	1.0
ˈaːɪ̯	ˈiː	0.679
ˈaːɪ̯	ˈyː	0.321
ˈe	ˈɑː	0.33
ˈe	ˈɑ	0.169
ˈe	ˈæ	0.137
ˈe	-	0.088
ˈe	ˈæː	0.062
ˈe	j	0.06
ˈei̯	ˈæːɑ̯	0.427
ˈei̯	ˈe	0.231
ˈei̯	ˈiːy̯	0.115
ˈei̯	ˈeːo̯	0.103
ˈeː	ˈɑː	0.316
ˈeː	ˈe	0.209
ˈeː	ˈæ	0.209
ˈeː	ˈɑ	0.136
ˈeː	ˈæːɑ̯	0.13
ˈi	ˈæːɑ̯	0.399
ˈi	ˈeː	0.212
ˈi	ˈæː	0.119
ˈi	ˈi	0.107
ˈi	ˈeːo̯	0.093
ˈi	ˈe	0.07
ˈiː	ˈeː	0.36
ˈiː	ˈeːo̯	0.351
ˈiː	ˈæːɑ̯	0.115
ˈiː	ˈiːy̯	0.084
ˈiː	ˈæː	0.051
ˈoe̯	ˈeo̯	1.0
ˈø	ˈoː	0.919
ˈø	ˈeːo̯	0.081
ˈɑ	ˈɑ	0.664
ˈɑ	ˈæɑ̯	0.147
ˈɑ	ˈi	0.057
ˈɑ	ˈæ	0.052
ˈɑː	ˈɑ	0.342
ˈɑː	ˈæɑ̯	0.315
ˈɑː	ˈɑː	0.171
ˈɑː	ˈi	0.066
ˈɑː	ˈiy̯	0.062
ˈɔ	ˈo	0.755
ˈɔ	ˈu	0.184
ˈɔ	ˈoː	0.06
ˈəi̯	ˈiː	0.48
ˈəi̯	ˈi	0.328
ˈəi̯	ˈyː	0.151
ˈɛ	ˈæɑ̯	0.27
ˈɛ	ˈe	0.186
ˈɛ	ˈæːɑ̯	0.119
ˈɛ	ˈeːo̯	0.104
ˈɛ	ˈeo̯	0.083
ˈɛ	ˈeː	0.069
ˈɪ	ˈi	0.524
ˈɪ	ˈy	0.17
ˈɪ	ˈoː	0.08
ˈɪ	-	0.062
ˈʉ	ˈuː	0.604
ˈʉ	ˈu	0.321
ˈʉː	ˈuː	1.0
ˈʌ	ˈu	0.852
ˈʌ	ˈuː	0.095
ˈʌ	ˈeo̯	0.053
ˈʌʉ̯	ˈeːo̯	0.547
ˈʌʉ̯	ˈo	0.453
θ	θ	1.0
