German	West Frisian	probability
ˈɪ_n	ˈiː	1.0
ˈɔ_ɐ	ˈoə̯	1.0
ˈɔ	ˈɔ	1.0
ˈøː	ˈɪə̯	1.0
ˈyː	ˈiə̯	1.0
ˈoː_t_#>	ˈɪə̯_#>	1.0
ˈiː_ɐ_#>	ˈi_#>	1.0
ˈaɪ̯_n	ˈiə̯_n	1.0
ˈa_l	ˈɔː	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ɪ_ç	ə_χ	1.0
ɪ	ɪ	1.0
ɡ̊	χ	1.0
ɡ_n	n	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ç_#>	k_#>	1.0
tʰ	d	1.0
t_n	d_ə	1.0
t_#>	#>	1.0
s_t	s_t	1.0
s_n	t_ə	1.0
s_#>	s_#>	1.0
s	t	1.0
p͡f	p	1.0
n_d̥	n	1.0
n_d	n_d	1.0
m	m	1.0
l_#>	l_#>	1.0
kʰ	k	1.0
k_n	χ	1.0
j	j	1.0
h	h	1.0
f_n	p_ə	1.0
f_#>	p_#>	1.0
d̥	d̥	1.0
d_ɐ	r	1.0
d_n	n_ə	1.0
b_n	v_ə	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
#>	k_#>	1.0
l	l	0.947
f	f	0.929
b	b	0.917
z	s	0.818
ʁ	r	0.762
ɡ	ɡ	0.75
k	k	0.75
ˈuː	ˈuə̯	0.727
v	ʋ	0.69
n	n	0.66
ʃ	s	0.63
ˈɪ	ˈɪ	0.619
ˈʏ	ˈɪ	0.6
t	t	0.586
ˈoː	ˈoə̯	0.571
ç	k	0.571
b̥_#>	f_#>	0.571
ɐ	r	0.55
ˈɛ	ˈɛ	0.5
x	χ	0.5
x	k	0.5
d	t	0.5
ˈaʊ̯	ˈuː	0.467
ə	ə	0.464
ˈa	ˈa	0.444
ˈoː	ˈɪə̯	0.429
ə	-	0.429
ç	χ	0.429
b̥_#>	#>	0.429
ˈʏ	ˈɛː	0.4
ˈeː	ˈiə̯	0.375
ˈeː	ˈeː	0.375
d	d	0.375
ʃ	s_k	0.37
ɐ	ə_r	0.35
ˈɔʏ̯	ˈuː	0.333
ˈɔʏ̯	j_ˈuə̯	0.333
ˈɔʏ̯	j	0.333
v	v	0.31
t	d̥	0.31
ˈaː	ˈiə̯	0.294
ˈaː	ˈa	0.294
ˈʊ	ˈu	0.286
ˈɛ	-	0.286
ˈiː	j_ˈɪ	0.286
ˈuː	ˈoː	0.273
ˈaɪ̯	ˈiː	0.273
ˈaɪ̯	ˈi	0.273
ˈaʊ̯	ˈɪə̯	0.267
ˈeː	-	0.25
k	ɣ	0.25
ˈaː	ˈaː	0.235
ˈʊ	ˈɔ	0.214
ˈʊ	-	0.214
ˈɛ	ˈɪ	0.214
ˈiː	ˈiə̯	0.214
ˈiː	j	0.214
n	ə	0.213
ˈɪ	ˈɔ	0.19
ˈɪ	ˈi	0.19
ˈaː	-	0.176
ˈa	ˈɪə̯	0.148
ˈa	ˈaː	0.148
ˈʊ	ˈuː	0.143
ˈʊ	ˈoə̯	0.143
ˈiː	ˈɪə̯	0.143
ˈiː	ˈɪ	0.143
ʁ	-	0.143
ˈaɪ̯	ˈɪ	0.136
ˈaɪ̯	j	0.136
ˈaʊ̯	ˈɔ	0.133
ˈaʊ̯	-	0.133
ɡ	ɣ_j	0.125
ɡ	ɣ	0.125
d	ʦ	0.125
ˈa	ˈɔː	0.111
ə	ə_n	0.107
t	d	0.103
ʁ	r_ˈɛ	0.095
ˈaɪ̯	ˈɪə̯	0.091
ˈaɪ̯	ˈaː	0.091
z	ɕ	0.091
z	z	0.091
n	j_ə	0.085
b	-	0.083
ˈa	ˈɛː	0.074
ˈa	ˈɛ	0.074
f	p	0.071
l	l_ə	0.053
