Asturian	Emilian	probability
d	d	1.0
f	f	1.0
i	-	1.0
k	k	1.0
p	p	1.0
r	r	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɲ	ɲ	1.0
ʧ	t	1.0
n	ɲ	0.051
n	-	0.081
n	n	0.551
o	-	0.361
ʃ	ð	0.821
m	-	0.152
t	t	0.782
u	-	0.352
w	w	0.852
β	v	0.772
l	l	0.933
ð	d	0.763
ɾ	-	0.143
ˈe	ˈɛ	0.093
ˈe	ˈa	0.323
b	v	0.694
e	e	0.734
j	-	0.94
o	e	0.164
s	-	0.154
ˈa	ˈa	0.234
ˈo	ˈɔː	0.184
θ	z	0.384
a	-	0.155
a	a	0.845
o	u	0.475
ʎ	j	0.075
ʝ	j	0.445
ʝ	-	0.555
ˈo	ˈʌu̯	0.135
ˈo	ˈɔ	0.15
ˈu	ˈuː	0.175
ˈu	ˈo	0.825
b	b	0.306
e	-	0.06
e	a	0.206
j	ˈɛː	0.06
n	ŋ	0.316
s	s	0.846
ˈa	ˈɛ	0.56
l	-	0.067
ð	t	0.237
ɾ	r	0.857
ˈa	ˈaː	0.207
ˈe	-	0.087
ˈo	ˈɛ	0.057
ˈo	ˈo	0.107
β	b	0.07
θ	θ	0.447
m	m	0.848
u	l	0.648
w	-	0.148
ʎ	l	0.878
ˈe	ˈiː	0.228
ˈi	ˈiː	0.278
ˈo	ˈʌ	0.368
β	-	0.158
θ	-	0.168
t	t_e	0.179
ʃ	s	0.179
ˈe	ˈa_j	0.219
ˈi	ˈe	0.689
