Sassarese	Sassarese	probability
ˈi_#>	e_#>	1.0
ˈe_r	ˈɛ_j	1.0
ˈa	ˈa	1.0
ʧː_u_#>	j_#>	1.0
ʧ	ʧ	1.0
ʤː	-	1.0
ʤ	ʤ	1.0
ʒ	z	1.0
ʎː	j	1.0
ʃː	s	1.0
ɮ	-	1.0
ɬ_t	t	1.0
ɔ	ˈɛ_ŋ	1.0
ŋ	ŋ	1.0
x	s_k	1.0
w	w	1.0
v	v	1.0
u_r	u_l	1.0
u_#>	#>	1.0
tː_i	j_t	1.0
tː	t	1.0
t_i_#>	t_#>	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
rː_u	r_n	1.0
rː	r	1.0
r_ˈa	r	1.0
pː	s_p	1.0
o	-	1.0
n_u_#>	ŋ_#>	1.0
n_i_#>	n_#>	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
i_#>	#>	1.0
fː	y_f	1.0
f	f	1.0
e	e	1.0
d_ˈe	dː	1.0
<#_ˈo	<#_ˈø	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#	1.0
<#_a	<#_u	1.0
#>	e_#>	1.0
a	a	0.911
p	p	0.909
β	v	0.846
ɡ	ɡ	0.818
b	b	0.818
ˈa_#>	ˈe_#>	0.812
d	d	0.741
ˈi	ˈi	0.733
ʦː	s	0.714
n	ŋ	0.676
ˈu	ˈy	0.667
ɬ	s	0.667
a_r	r	0.667
r	r	0.66
ˈɛ	ˈɛ	0.613
j	j	0.609
ɲː	ɲ	0.6
bː	-	0.6
ʦ	z	0.556
ˈo	ˈu	0.55
z	z	0.5
z	-	0.5
xː	s_k	0.5
xː	k	0.5
nː	n	0.5
nː	-	0.5
ˈe	ˈɛ	0.458
ʦ	s	0.444
dː	l	0.429
bː	v	0.4
ˈe	ˈe	0.375
ɡː	ɡ	0.375
ɡː	-	0.375
ˈɔ	ˈɔ	0.366
ˈɔ	ˈu	0.366
ˈu	ˈu	0.333
ɬ	r	0.333
a_r	e_r	0.333
n	n	0.324
i	-	0.3
ʦː	w_s	0.286
u	u	0.259
d	-	0.259
ˈɛ	ˈe	0.258
r	l	0.255
ˈo	ˈɔ	0.25
ɡː	k	0.25
dː	d	0.238
i	e	0.233
u	-	0.222
ˈɔ	ˈø	0.22
j	-	0.217
ɲː	n_z	0.2
ɲː	-	0.2
i	i	0.2
dː	t	0.19
ˈa_#>	#>	0.188
ɡ	-	0.182
b	v	0.182
j	r	0.174
ˈi	-	0.167
β	-	0.154
u	j	0.148
dː	-	0.143
i	ˈi	0.133
i	j	0.133
u	ˈɔ	0.111
u	s	0.111
ˈo	ˈø	0.1
ˈo	ˈy	0.1
ˈi	ˈe	0.1
p	v	0.091
ˈe	ˈɛ_j	0.083
ˈe	-	0.083
u	r	0.074
u	i	0.074
ˈɛ	ˈi	0.065
ˈɛ	-	0.065
a	-	0.063
