Pennsylvania German	Pennsylvania German	probability
ˈɪ_ç	ˈɪː_ɣ	1.0
ˈɔɪ̯	ˈɛ_ɡː	1.0
ˈa_l	ˈɔː	1.0
ʦ_ʋ	tʰ	1.0
ʋ_ə	v_ɔ	1.0
ʃ_ʋ	s	1.0
ʃ_l	l̥	1.0
ɡ̊	ɣ	1.0
ə_m	m	1.0
ə_#>	#>	1.0
ɑ_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋ_ɡ	1.0
ç_t	tː	1.0
ç	k	1.0
t	t	1.0
n_s	sː	1.0
n_#>	#>	1.0
k_#>	ɡː_#>	1.0
h	ˈoː	1.0
eː	ɔ̃	1.0
d̥	ð	1.0
b̥	v	1.0
b	b	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_h	<#	1.0
<#_d	<#	1.0
ɾ	r	0.92
m	m	0.889
ʋ	w	0.833
ɡ	ɡ	0.75
ˈuː	ˈʉːə̯	0.727
ə	ɑ	0.711
ʃ	s	0.704
ˈaʊ̯	ˈɑːu̯	0.7
d̥_#>	d_#>	0.7
l	ɽ	0.676
s_#>	s_#>	0.636
k	kʰ	0.615
f	f	0.615
ɑ	r	0.588
ˈɪ	ˈɪ	0.571
ˈɛː	-	0.571
ˈʊ	ˈʉ	0.562
#>	ɑ_#>	0.55
x	-	0.545
ˈɔ	ˈʉ	0.5
ɣ	ɣ_ɛ	0.5
ɣ	-	0.5
ç_#>	ɡ_#>	0.5
ç_#>	#>	0.5
n	n	0.483
ʦ	tʰ	0.455
x	k	0.455
s	t	0.455
s	s	0.455
ˈaː	ˈʉə̯	0.444
ˈaɪ̯	ˈɑːi̯	0.444
ˈɛː	ˈæ	0.429
ɪ	-	0.429
ˈɛ	ˈɛ	0.412
ˈeː	ˈiːe̯	0.364
ʦ	-	0.364
s_#>	#>	0.364
d	d	0.343
ˈoː	-	0.333
ˈiː	ˈʉːə̯	0.333
ˈiː	j_ˈʉːə̯	0.333
ˈaː	ˈɑ	0.333
ˈeː	-	0.318
d	tʰ	0.314
ˈʊ	-	0.312
ˈɔ	-	0.3
ˈaʊ̯	-	0.3
d̥_#>	#>	0.3
#>	n_#>	0.3
ɑ	ɛ_r	0.294
ɪ	ʉ_ŋ	0.286
ɪ	ʉ	0.286
ˈa	ˈɑ	0.28
ˈɔː	ˈɑː	0.278
n	nː	0.276
ˈuː	-	0.273
ˈoː	ˈœː	0.25
ˈoː	ˈoː	0.25
ɡ	ʥ	0.25
ˈa	-	0.24
ˈɛ	j	0.235
ˈɛ	-	0.235
k	k	0.231
f	p	0.231
ˈɔː	ˈɑ	0.222
ˈaː	-	0.222
ˈɔ	ˈʉː	0.2
ˈiː	ˈɪː	0.2
ˈa	ˈɑː	0.2
ʃ	s_ʨ	0.185
ʦ	tː	0.182
d	ð	0.171
ˈɔː	ˈɔː	0.167
ˈɔː	ˈœː	0.167
ˈɔː	-	0.167
ˈoː	ˈɔː	0.167
ˈaɪ̯	ˈʏː	0.167
ˈaɪ̯	ˈɪː	0.167
ˈa	ˈɔ	0.16
f	v	0.154
#>	k_#>	0.15
ˈɪ	j	0.143
n	n_d	0.138
l	lː	0.135
ˈiː	ˈyːœ̯	0.133
ə	ɔ	0.132
ˈʊ	ˈʉə̯	0.125
ˈa	ˈo	0.12
ˈɛ	j_ˈæ	0.118
d	-	0.114
ˈaɪ̯	ˈɪ	0.111
ˈaɪ̯	-	0.111
ʃ	s_k	0.111
m	mː	0.111
l	l	0.108
ˈɪ	ˈʏ	0.107
n	-	0.103
ˈeː	ˈʉː	0.091
ˈeː	ˈɛː	0.091
ˈeː	ˈæː	0.091
s	s_j	0.091
ʋ	v	0.083
ʋ	-	0.083
l	-	0.081
ɾ	-	0.08
k	ʥː	0.077
k	rː	0.077
ˈɪ	ˈʉ	0.071
ˈɪ	-	0.071
ɑ	ð	0.059
ɑ	r_ɑ	0.059
d	d_j	0.057
ə	ɣ_ɑ	0.053
ə	ɛ_n	0.053
ə	-	0.053
