Old French	Old French	probability
ˈɛ_f	v_u	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈỹ	ˈu	1.0
ˈũ_j	ˈu	1.0
ˈõ	ˈu	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_r	e	1.0
ˈe_r_#>	ˈa_#>	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_t	ˈa_tː	1.0
ʧ_j	k	1.0
ʦ_#>	#>	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	-	1.0
y	-	1.0
w_ˈɛ	ˈɔ	1.0
v_ˈa	v_ˈa	1.0
ũ	u	1.0
u_l	u_l	1.0
t_ˈe	t_ˈa	1.0
s_ˈũ	ʃː	1.0
r_#>	#>	1.0
p_l	p_j	1.0
p	p	1.0
n_#>	#>	1.0
m_#>	m_e_#>	1.0
l_ˈi	l_ˈe	1.0
l_ˈã	j_ˈa	1.0
l_ə	lː_a	1.0
l_#>	lː_u_#>	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
ĩ	i	1.0
i	i	1.0
e_s	s	1.0
e	-	1.0
d	-	1.0
ã	a	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʦ	<#_ʧ	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
m	m	0.971
b	b	0.941
k	k	0.92
#>	u_#>	0.896
ˈa	ˈa	0.867
n	n	0.867
f	f	0.857
ˈɔ_j	ˈɛ	0.846
ʧ	k	0.842
ɡ	ɡ	0.8
v	v	0.786
s	s	0.767
ˈu	ˈɔ	0.75
ˈẽ	ˈɛ	0.75
r	r	0.75
t	t	0.743
ˈi	ˈi	0.682
ʤ	ɟ	0.667
ə	a	0.645
l	l	0.609
j_s	ʧ_e	0.6
ˈũ	ˈɔ	0.571
ʎ	ʎ	0.556
ˈy	ˈu	0.533
ˈɔ	ˈɔ	0.5
ʦ	ʧː	0.5
ʦ	-	0.5
ɔ	o	0.5
ɔ	-	0.5
u	ˈɔ	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
r_ə	e	0.5
ˈe	-	0.462
ʎ	c_u	0.444
ˈũ	ˈo	0.429
j_t	tː_e	0.4
j_t	tː	0.4
j_s	ʦː	0.4
ˈɔ	ˈɛ	0.333
ˈy	ˈo	0.333
ʤ	-	0.333
w	ˈɔ	0.333
w	w	0.333
r_ə	r_u	0.333
ˈɛ	ˈɛ	0.316
ˈɛ	ˈe	0.263
ˈẽ	-	0.25
u	ˈo	0.25
u	u	0.25
j	-	0.25
ˈɛ	ˈa	0.237
ˈe	ˈa	0.231
ˈi	ˈe	0.227
ɡ	ɟ	0.2
j_t	dː	0.2
ˈɔ	ˈo	0.167
w	ˈu	0.167
w	k_u	0.167
r_ə	d_e	0.167
ʧ	kː	0.158
ˈɔ_j	ˈi	0.154
ˈe	ˈɛ	0.154
ˈe	e	0.154
v	p	0.143
ˈy	ˈɔ	0.133
ˈa	-	0.133
l	lː	0.13
l	j	0.13
ˈu	ˈu	0.125
ˈu	ˈo	0.125
j	ˈa	0.125
f	v_e	0.107
#>	a_#>	0.104
ə	e	0.097
j	r	0.094
j	k	0.094
j	j	0.094
j	e	0.094
s	u	0.093
s	sː	0.093
ˈi	ˈɛ	0.091
l	u_l	0.087
ə	u	0.086
t	tː	0.086
k	-	0.08
ˈɛ	-	0.079
r	r_e	0.078
r	e	0.078
v	-	0.071
n	u	0.067
ə	i	0.065
j	ˈɛ	0.062
j	ˈe	0.062
j	ɲ	0.062
j	u	0.062
b	bː	0.059
t	tː_e	0.057
t	d_u	0.057
t	d_e	0.057
ˈɛ	ˈa_t	0.053
ˈɛ	u	0.053
