Old West Norse	Bavarian	probability
ˈɛi̯	ˈoɐ̯	1.0
ˈɔː	ˈeɐ̯	1.0
ˈɔ	-	1.0
ˈøy̯	-	1.0
ˈuː_ɣ	ŋ	1.0
ˈuː	ˈau̯	1.0
ˈo_v	f	1.0
ˈiː	ˈai̯	1.0
ˈeː_r̥	ˈi_ɐ	1.0
ˈa	-	1.0
ʦ	d̥	1.0
ʝː	ŋ	1.0
ɾ	-	1.0
ɣ	ɡ̊	1.0
ɡː	-	1.0
ɟː	-	1.0
ɑː	eː	1.0
ð_ɑ	d̥_n	1.0
ð	d̥	1.0
ç	h	1.0
x_w	ʋ	1.0
tʰ	ʦ	1.0
t_ɑ	s_n	1.0
s_ˈɑ	s_ˈo	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ɐ	1.0
r_ð	ɐ_d̥	1.0
r_t	ɐ_ʦ	1.0
r_n	ɐ_n	1.0
r_i	ɐ	1.0
pː	f	1.0
pʰ	b̥͡v̥	1.0
p	fː	1.0
n̥	n	1.0
n	n	1.0
mː	m	1.0
m_ˈa	m	1.0
m	m	1.0
l̥	l	1.0
lː	j	1.0
kː	ŋ_ɡ̊	1.0
kʰ	kʰ	1.0
j_ˈɔ	ˈe	1.0
j_ˈɑ	ˈe	1.0
j_ˈuː	ˈiɐ̯	1.0
j_ˈoː	ˈiɐ̯	1.0
j_ɑ	n	1.0
f	f	1.0
e	-	1.0
d	d̥	1.0
cː	ɡ̊	1.0
cʰ	kʰ	1.0
c	-	1.0
b	b̥	1.0
ŋ	ŋ	0.85
h	h	0.821
ˈi	ˈi	0.787
t	s	0.734
r̥	ɐ	0.675
k	x	0.673
ɑ	a	0.67
ɡ	ɡ̊	0.664
ˈyː	ˈai̯	0.641
l	l	0.627
nː	n	0.626
ˈɛː	ˈeː	0.609
s	s	0.598
u	-	0.596
ɡ_r̥	i	0.578
ˈoː	ˈuɐ̯	0.574
a	-	0.571
ɟ	ɡ̊	0.551
ˈɛ	-	0.548
ˈɑː	ˈoː	0.548
ˈu	ˈu	0.546
ˈøː	-	0.545
tː	ʦ	0.544
r	ɐ	0.544
ˈo	ˈo	0.512
v	ʋ	0.508
i	-	0.502
j	ˈɛ	0.5
j	ˈiɐ̯	0.5
tː	x	0.456
r	r	0.456
ˈɛ	ˈe	0.452
ɟ	-	0.449
ˈe	ˈe	0.436
ˈy	ˈi	0.431
a	a	0.429
ˈoː	-	0.426
ɡ_r̥	ɐ	0.422
i	ɐ	0.407
u	ə	0.404
ˈɛː	-	0.391
ˈɑu̯	-	0.377
nː	-	0.374
l	j	0.373
ˈɑu̯	ˈaː	0.368
ˈyː	-	0.359
ɡ	-	0.336
r̥	d̥	0.325
ˈɑː	-	0.309
ˈo	ˈu	0.308
ˈy	ˈu	0.299
ˈy	ˈo	0.27
ˈɑu̯	ˈou̯	0.254
ˈɑ	-	0.249
ˈøː	ˈuɐ̯	0.227
ˈøː	ˈiɐ̯	0.227
s	ʃ	0.223
ˈi	-	0.213
ˈe	ˈeː	0.21
ˈe	-	0.21
v	m	0.191
ˈɑ	ˈɒː	0.185
k	ʃ	0.181
ˈo	-	0.18
s	ˈi	0.18
ɑ	n	0.179
h	h_ˈeː	0.179
ɑ	-	0.151
v	β	0.151
ŋ	-	0.15
k	ɡ̊	0.146
ˈe	ˈi	0.145
ˈɑː	ˈɑ	0.143
t	-	0.136
ˈɑ	ˈɒ	0.131
t	ʦ	0.131
ˈɑ	ˈe	0.122
ˈu	ˈaː	0.119
ˈu	ˈe	0.117
ˈɑ	ˈɑː	0.108
ˈɑ	ˈɑ	0.107
ˈɑ	ˈo	0.098
i	ə	0.091
v	f	0.082
ˈu	ˈo	0.073
ˈu	-	0.073
ˈu	ʋ_ˈo	0.071
v	b̥	0.068
