French	Québécois French	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_i	<#_ɪ	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_oʊ̯	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_u	<#_u	1.0
<#_v	<#_v	1.0
<#_w	<#_w	1.0
<#_œ	<#_œ	1.0
<#_ɑ̃	<#_ã	1.0
<#_ɛ	<#_æɛ̯	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_ʁ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʒ	<#_ʒ	1.0
a_#>	ɛ_#>	1.0
a_j	æɛ̯_j	1.0
a_l	a_l	1.0
a_s	a_s	1.0
a_t	a_t	1.0
a_z	ɛ_z	1.0
a_ʁ	ɛ_ʁ	1.0
a_ʃ	a_ʃ	1.0
b	b	1.0
b_ʁ	b_ʁ	1.0
d	d	1.0
d_ʁ	d_ʁ	1.0
f_#>	f_#>	1.0
i_j	ɪ_j	1.0
i_l	ɪ_l	1.0
i_n	ɪ_n	1.0
i_s	ɪ_s	1.0
i_v	i_v	1.0
i_ʁ	i_ʁ	1.0
k	k	1.0
k_#>	k_#>	1.0
l_a	l_a	1.0
l_e	l_e	1.0
l_œ	l_aœ̯	1.0
m	m	1.0
m_#>	m_#>	1.0
p	p	1.0
s	s	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
t_ʁ	t_ʁ	1.0
u_ʁ	u_ʁ	1.0
v	v	1.0
v_ʁ	v_ʁ	1.0
w	w	1.0
y_ʁ	y_ʁ	1.0
z	z_#>	1.0
ø	øʏ̯_#>	1.0
œ	œ	1.0
œ_ʁ	aœ̯_ʁ	1.0
ɑ̃_ʒ	ã_ʒ	1.0
ɔ	ɔ	1.0
ɔ_ʁ	ɑɔ̯_ʁ	1.0
ə	œ	1.0
ə_v	œ_v	1.0
ɛ_#>	æɛ̯_#>	1.0
ɛ_j	æɛ̯_j	1.0
ɛ_n	æɛ̯_n	1.0
ɛ_z	æɛ̯_z	1.0
ɛ_ʁ	æɛ̯_ʁ	1.0
ɛ̃	ẽɪ̯̃_#>	1.0
ɡ	ɡ	1.0
ɥ	ɥ	1.0
ʁ_i	ʁ_i	1.0
ʁ_w	ʁ_w	1.0
ʁ_ɛ	ʁ_æɛ̯	1.0
ʃ	ʃ_#>	1.0
ʒ_#>	ʒ_#>	1.0
a	a	0.591
ɛ	æɛ̯	0.1
<#_t	<#_ʦ	0.182
a	ɑ	0.182
j	j_#>	0.182
o	o	0.222
o	oʊ̯	0.222
t	ʦ	0.222
u	u_#>	0.522
<#_d	<#_ʣ	0.333
<#_ɔ	<#_ɑɔ̯	0.333
e	e_#>	0.923
u	ʊ	0.174
u	u	0.304
ɲ	ɲ	0.4
ʁ	ʁ	0.64
l	l	0.385
l	l_#>	0.615
n	n	0.25
n	n_#>	0.75
y	ʏ	0.25
y	y	0.25
y	y_#>	0.5
ɑ̃	ã_#>	0.5
ɑ̃	ã	0.5
ɔ̃	ɒ̃ʊ̯̃	0.235
ɔ̃	ɒ̃ʊ̯̃_#>	0.765
ɛ	ɛɪ̯	0.15
ɛ	ɛ	0.75
i	i_#>	0.696
o	oʊ̯_#>	0.556
ɲ	ɲ_#>	0.6
ʁ	ʁ_#>	0.36
<#_d	<#_d	0.667
<#_ɔ	<#_ɔ	0.667
a	ɛ	0.227
e	-	0.077
i	ɪ	0.087
i	i	0.217
<#_t	<#_t	0.818
j	j	0.818
t	t	0.778
