Gothic	Bavarian	probability
a	-	0.49
a	a	0.388
a	ə	0.12
aː	-	1.0
b	b̥	1.0
d	d̥	0.884
d	-	0.105
e	ə	1.0
f	f	0.975
h	h	0.635
h	x	0.186
h	ɡ̊	0.115
h	-	0.064
i	-	0.743
i	j	0.257
iː	-	0.871
iː	ɐ	0.079
j	ˈai̯	0.309
j	ɐ	0.277
j	j	0.238
j	-	0.176
k	-	0.374
k	kʰ	0.336
k	ç	0.291
kʷ	f	1.0
l	l	0.428
l	j	0.295
l	-	0.231
lː	j	1.0
m	m	0.979
n	n	0.867
n	-	0.133
nː	n	0.5
nː	ˈɒː	0.5
oː	a	0.353
oː	r	0.172
oː	ə	0.172
oː	ˈau̯	0.172
oː	-	0.129
p	f	0.589
p	p͡f	0.411
r	r	0.538
r	ɐ	0.416
s	-	0.674
s	s	0.247
s	ʃ	0.065
t	ʦ	0.412
t	t	0.239
t	s	0.191
t	-	0.111
u	-	1.0
w	ʋ	0.896
w	ˈi	0.092
x	ɡ̊	1.0
z	-	1.0
ð	d̥	0.809
ð	t	0.152
ŋ	ŋ	0.93
ŋ	n	0.07
ɔː	-	1.0
ɡ	ɡ̊	0.733
ɡ	ŋ	0.173
ɡ	-	0.094
ɡʷ	-	1.0
ɣ	ɡ̊	1.0
ʍ	ʋ	1.0
ˈa	ˈɒ	0.148
ˈa	ˈo	0.14
ˈa	ˈa	0.136
ˈa	ˈɛ	0.124
ˈa	-	0.11
ˈa	ˈɔ	0.109
ˈa	ˈoɐ̯	0.099
ˈa	ˈaː	0.069
ˈa	ˈoː	0.066
ˈeː	ˈɔ	0.618
ˈeː	ˈi	0.207
ˈeː	ˈɒː	0.176
ˈi	ˈi	0.664
ˈi	-	0.084
ˈi	r	0.083
ˈi	ˈiː	0.058
ˈi	ˈeː	0.05
ˈiu̯	ˈai̯	0.417
ˈiu̯	-	0.241
ˈiu̯	ˈe	0.144
ˈiu̯	ˈiɐ̯	0.135
ˈiu̯	ˈaː	0.064
ˈiː	ˈai̯	0.676
ˈiː	ɐ	0.212
ˈiː	ˈoɐ̯	0.112
ˈoː	ˈuɐ̯	0.623
ˈoː	ˈeɐ̯	0.236
ˈoː	ˈai̯	0.141
ˈu	ˈu	0.632
ˈu	ˈo	0.108
ˈu	ˈau̯	0.089
ˈu	ˈa	0.062
ˈuː	ˈau̯	1.0
ˈɔ	ˈou̯	0.388
ˈɔ	ˈoɐ̯	0.338
ˈɔ	ˈaː	0.205
ˈɔ	ˈɔ	0.069
ˈɔː	ˈeː	0.257
ˈɔː	ˈou̯	0.167
ˈɔː	ˈe	0.104
ˈɔː	ˈau̯	0.1
ˈɔː	ˈoɐ̯	0.1
ˈɔː	ˈoː	0.1
ˈɔː	ˈa	0.064
ˈɔː	ˈaː	0.064
ˈɛ	ˈe	0.522
ˈɛ	ˈɛ	0.382
ˈɛ	ˈeː	0.096
ˈɛː	ˈoɐ̯	0.783
ˈɛː	ˈe	0.09
ˈɛː	ˈai̯	0.064
β	m	0.817
β	b̥	0.145
θ	d̥	0.827
θ	t	0.129
