Gothic	Bavarian	probability
a	-	0.394
a	a	0.343
a	ə	0.178
a	i	0.068
a_n	n	1.0
a_r	a	1.0
aː	-	0.486
b	b̥	1.0
d	d̥	0.82
d	-	0.081
d	t	0.056
d_s	d̥	1.0
e	ə	1.0
f	f	0.942
f	b̥	0.059
f_s	b̥	0.486
h	h	0.574
h	x	0.162
h	-	0.153
h	ɡ̊	0.091
i	-	1.0
iː	-	0.629
iː	ɐ	0.361
j	j	0.299
j	-	0.239
j	ˈai̯	0.197
j	ɐ	0.126
k	kʰ	0.496
k	ç	0.242
k	-	0.242
k_s	ʃ	1.0
kʷ	f	1.0
l	j	0.46
l	l	0.423
l	-	0.064
l	i	0.053
lː	j	1.0
m	m	1.0
n	n	0.673
n	-	0.322
n_a	n	1.0
nː	ˈɒː	0.5
nː	n	0.5
oː	-	0.444
oː	a	0.22
oː	r	0.108
oː	ˈau̯	0.108
oː	ə	0.108
p	f	0.699
p	p͡f	0.297
p_s	f	1.0
r	r	0.573
r	ɐ	0.291
r	ˈeː	0.053
r	a	0.04
r	-	0.04
s	-	0.685
s	s	0.206
s	ʃ	0.1
s_k	ʃ	1.0
t	ʦ	0.444
t	s	0.283
t	t	0.209
t	d̥	0.05
t_a	s	1.0
t_s	t	1.0
u	-	1.0
w	ʋ	0.855
w	-	0.06
w	ˈi	0.046
w	ɐ	0.045
x	ɡ̊	1.0
z	-	0.486
ð	d̥	0.548
ð	-	0.133
ð	t	0.122
ŋ	ŋ	0.857
ŋ	n	0.12
ɔː	-	1.0
ɡ	ɡ̊	0.561
ɡ	-	0.347
ɡ	ŋ	0.082
ɡ_s	ɡ̊	1.0
ɡʷ	-	0.486
ɣ	ɡ̊	1.0
ʍ	ʋ	1.0
ˈa	ˈo	0.18
ˈa	ˈɒ	0.141
ˈa	ˈɛ	0.116
ˈa	ˈa	0.107
ˈa	ˈoː	0.107
ˈeː	ˈɔ	0.561
ˈeː	ˈi	0.18
ˈeː	ˈɒː	0.118
ˈi	ˈi	0.564
ˈi	ˈiː	0.099
ˈi	ˈeː	0.086
ˈi	-	0.075
ˈi	r	0.057
ˈi_k	ˈi	1.0
ˈiu̯	ˈai̯	0.525
ˈiu̯	ˈe	0.155
ˈiu̯	ˈiɐ̯	0.132
ˈiː	ˈai̯	0.768
ˈiː	ˈoɐ̯	0.087
ˈiː	ɐ	0.07
ˈoː	ˈuɐ̯	0.708
ˈoː	ˈeɐ̯	0.13
ˈoː	a	0.093
ˈu	ˈu	0.449
ˈu	ˈo	0.213
ˈu	ˈoː	0.084
ˈu	ˈy	0.066
ˈu	ˈɔ	0.066
ˈuː	ˈau̯	1.0
ˈɔ	ˈou̯	0.237
ˈɔ	ˈoɐ̯	0.207
ˈɔ	ˈaː	0.125
ˈɔ	ˈɔ	0.07
ˈɔ_r	ˈoɐ̯	1.0
ˈɔː	ˈou̯	0.162
ˈɔː	ˈau̯	0.149
ˈɔː	ˈoɐ̯	0.149
ˈɔː	ˈeː	0.149
ˈɔː	ˈe	0.107
ˈɛ	ˈe	0.534
ˈɛ	ˈɛ	0.267
ˈɛ	ˈeː	0.176
ˈɛː	ˈoɐ̯	0.533
ˈɛː	ˈe	0.137
ˈɛː	ˈai̯	0.092
ˈɛː	ˈeː	0.063
ˈɛː	ˈa	0.056
ˈɛː_n	ˈoɐ̯	1.0
ˈɛː_w	ˈɛː	1.0
β	m	0.596
β	p	0.098
β	b̥	0.098
β	p͡f	0.067
θ	d̥	0.668
θ	t	0.229
θ	l	0.064
θ	-	0.043
θ_a	d̥	0.486
