Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈɪ	ˈɪ	1.0
ˈɛ_ɡː	ˈɑːɪ̯	1.0
ˈɔ_n	ˈõː	1.0
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈøː_n	ˈĩː	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæː	-	1.0
ˈæʉ̯_#>	ˈoː_d̥_#>	1.0
ˈæ	ˈɛ	1.0
ˈuː_ɾ	ɐ_d̥	1.0
ˈeː_ɡ	ˈɪ_ʃ	1.0
ʰtː_e	x_d̥	1.0
ʰpː	f	1.0
ʰkː	ŋ_ɡ̊	1.0
ʋ_#>	b̥_#>	1.0
ɾ_n	ɐ_n	1.0
ɾ_e	ɐ	1.0
ɲ	ŋ	1.0
ɡː_#>	ɡ̊_#>	1.0
ɛ	-	1.0
ə_ɾ	ɐ	1.0
ə	ə	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	n_ɪ	1.0
çː	-	1.0
ç	d̥	1.0
v	β_ˈɛ	1.0
tː	ʣ̥	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_e	s	1.0
p_#>	f_#>	1.0
p	f	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ_ʋ	β	1.0
kʰ	kʰ	1.0
jː	ˈaɪ̯	1.0
h	h	1.0
f	f	1.0
e_n	eː	1.0
d_ɾ	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
e	-	0.913
ɑ	ə	0.886
t	s	0.882
ʋ	β	0.818
ˈuː	ˈuː	0.8
ˈɑ	ˈɑ	0.792
<#	<#_β	0.75
n	n	0.733
k	ʃ	0.727
ˈʏ	ˈɪ	0.667
ˈæʉ̯	ˈɑː	0.667
ˈæɪ̯	ˈɛː	0.667
ˈeː	ˈɛ	0.667
ʂ	ʃ	0.667
s	s	0.645
tʰ	d̥	0.632
ˈøː	-	0.6
nː	n	0.6
ˈɛ	ˈɛ	0.556
ˈɑː	ˈɑː	0.538
ˈʊ	ˈɔ	0.5
ˈʊ	-	0.5
ˈʉ	ˈu	0.5
ˈyː	ˈiː	0.5
ˈyː	ˈaɪ̯	0.5
ˈiː	ˈaɪ̯	0.5
ʰtː	ʃ_d̥	0.5
ʰtː	x_d̥	0.5
lː	l_d̥	0.5
lː	l	0.5
#>	ə_#>	0.5
ɾ	ɐ	0.489
ˈoː	ˈoː	0.467
ˈɑː	ˈɑ	0.462
ˈʉː	ˈau̯	0.45
j	-	0.429
ˈɔ	-	0.4
ˈøː	ˈiː	0.4
nː	n_d̥	0.4
tʰ	ʣ̥	0.368
ɡ	ʃ	0.357
ˈɛ	-	0.333
ˈæʉ̯	ˈoː	0.333
ˈæɪ̯	ˈeː	0.333
ˈoː	-	0.333
ˈeː	ˈiː	0.333
ʂ	s	0.333
ɾ	r	0.298
s	ʃ	0.29
ɡ	x	0.286
k	x	0.273
n	-	0.267
ˈʉː	ˈiː	0.25
ˈʉ	ˈɔ	0.25
<#	<#_j	0.25
#>	n_#>	0.25
#>	b̥_#>	0.25
ˈiː	ˈɪ	0.214
ɡ	ɡ̊	0.214
j	ɡ̊	0.214
j	l	0.214
ˈɑ	ˈɑː	0.208
ˈɔ	ˈɔ	0.2
ˈɔ	ˈɑ	0.2
ˈɔ	ˈu	0.2
ˈuː	ˈu	0.2
ʋ	f	0.182
ˈʏ	ˈɔ	0.167
ˈʏ	-	0.167
ˈiː	ˈaɪ̯_d̥	0.143
ˈiː	-	0.143
ɡ	j	0.143
j	ˈɛ	0.143
ˈoː	ˈeː	0.133
ˈʉ	ˈɛ	0.125
ˈʉ	-	0.125
t	-	0.118
ˈɛ	ˈɪ_n	0.111
ɾ	r_ɐ	0.106
ˈʉː	ˈuː	0.1
ˈʉː	-	0.1
e	s	0.087
ɑ	-	0.086
ˈoː	ˈo	0.067
s	ʃ_β	0.065
ɾ	-	0.064
