East Franconian	Luxembourgish	probability
β	v	1.0
ˈɘ	ˈiː_ɐ	1.0
ˈɒ_ɐ	ˈaː	1.0
ˈa	-	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɣ	-	1.0
ɡ̊_n	k	1.0
ç	ɕ	1.0
v̥	f_ə	1.0
r	ʀ	1.0
l_d̥	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f_a	ə_f	1.0
eː	e_ŋ	1.0
d̥_ˈɪ	d_ˈe	1.0
d̥_ɐ	t_ɐ	1.0
b̥͡v̥	pʰ	1.0
f	f	0.938
ɣ̊	-	0.903
m	m	0.893
l	l	0.891
ɐ	ɐ	0.864
n	n	0.848
b̥	b	0.761
v	v	0.68
ˈaː	ˈeː	0.641
ˈʊ	ˈo	0.634
ŋ	ŋ	0.62
x	ɕ	0.614
ˈaɪ̯	ˈæːɪ̯	0.542
s	z	0.536
a	-	0.53
ˈɔ	ˈo	0.518
ˈaʊ̯	ˈæːʊ̯	0.518
ˈɪ	ˈɑ	0.506
ˈɛː	ˈɜɪ̯	0.5
ˈɛː	ˈeː	0.5
ɡ̊	ɡ	0.492
ˈaʊ̯	ˈɑʊ̯	0.482
a	ə	0.47
ˈuː	ˈu	0.468
ˈiː	ˈɜɪ̯	0.461
z̥	s_ə	0.451
z̥	z̥	0.449
ɡ̊	k	0.441
ˈɒ	ˈaː	0.44
ˈuː	ˈəʊ̯	0.44
ˈoː	ˈoː	0.434
d̥	d	0.432
ˈɒ	ˈɑ	0.423
s	s	0.393
x	χ	0.386
ˈaː	ˈaː	0.359
ŋ	ə_n	0.353
ˈɪ	ˈə	0.348
v	w	0.32
ˈeː	ˈɜɪ̯	0.31
ˈɔ	ˈaː	0.303
d̥	d̥	0.295
ˈaɪ̯	ˈɑɪ̯	0.267
d̥	t	0.26
ˈɛ	ˈə	0.259
ˈeː	-	0.254
ˈeː	ˈi	0.244
ˈoː	-	0.214
ˈɛ	ˈiə̯	0.201
ˈiː	-	0.195
ˈeː	ˈiə̯	0.192
ˈaɪ̯	-	0.191
b̥	v̥	0.186
ˈɔ	ˈuː	0.179
ˈɛ	ˈɛː	0.168
ˈɛ	ˈɛ	0.168
n	ə_n	0.152
ˈoː	ˈaː	0.151
ˈɪ	ˈe	0.147
ˈiː	ˈiː	0.143
ˈʊ	ˈɔ	0.141
ˈoː	ˈu	0.137
ˈɛ	-	0.123
ˈiː	ˈə	0.117
ˈʊ	ˈuː	0.116
ˈʊ	-	0.11
l	l_ə	0.109
z̥	s	0.099
ɣ̊	ɣ̊	0.097
ˈuː	-	0.091
ɐ	ʀ	0.091
ˈɒ	ˈæ	0.086
ˈiː	ˈɑɪ̯	0.083
ˈɛ	ˈiː	0.081
s	-	0.072
ɡ̊	-	0.067
ˈoː	n	0.064
f	ə_f	0.062
m	v_ə	0.054
m	-	0.054
b̥	ə_v̥	0.053
ˈɒ	ˈuə̯	0.051
