Friulian	Friulian	probability
ˈɛ_z	ˈe_z	1.0
ˈɔː	ˈo	1.0
ˈoː	ˈu	1.0
ˈi_ŋ	ˈi	1.0
ˈi_n	ˈe	1.0
ˈeː	ˈi	1.0
ˈe_n	ˈe_n	1.0
ˈaː	ˈa	1.0
ˈa_l	ˈo	1.0
ʤ	z	1.0
ɲ	ɲ	1.0
ɟ	-	1.0
ŋ_#>	#>	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈu	1.0
s_#>	#>	1.0
s	s	1.0
r_ˈeː	r_ˈɛ	1.0
r_ˈa	r	1.0
r_i	e_r	1.0
r	r	1.0
p_l	p_j	1.0
p	p	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈe	l_ˈɛ	1.0
l_ˈa	j_ˈa	1.0
l_i	ʧ	1.0
l_e	a	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	j_#>	1.0
e_n	e_n	1.0
b	b	1.0
a_ʧ	a_s	1.0
a_v	a	1.0
a_n	a_n	1.0
<#_ɲ	<#_n	1.0
<#_v_ˈi	<#_ˈe	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_j	<#_l	1.0
#>	e_#>	1.0
ˈa	ˈa	0.952
f	f	0.931
l	l	0.909
c	k	0.905
t	t	0.849
e	a	0.835
n	n	0.833
d	d	0.781
ɡ	ɡ	0.75
ŋ	ŋ	0.75
v	ʋ	0.75
ʧ	s	0.714
z	z	0.667
<#_ˈa	<#_ˈa	0.667
ˈi	ˈi	0.625
ˈɛ	ˈɛ	0.615
ˈiː	ˈe	0.6
w_ˈa	ˈo	0.6
ˈu	ˈø	0.588
ˈuː	ˈø	0.583
a	a	0.562
u	o	0.556
o	o	0.556
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
v_i	f	0.5
v_i	e	0.5
j	j	0.5
ˈɔ	ˈø	0.455
w	-	0.455
ˈuː	ˈy	0.417
ˈo	ˈo	0.407
ˈiː	ˈi	0.4
w_ˈa	ˈɔ	0.4
ˈɛ	ˈe	0.385
ˈɔ	ˈɔ	0.364
w	w	0.364
ˈo	ˈu	0.333
z	-	0.333
u	-	0.333
<#_ˈa	<#_ˈɛ	0.333
a	e	0.312
j	-	0.3
i	e	0.296
ˈu	ˈy	0.294
i	i	0.259
i	-	0.259
ɡ	-	0.25
ŋ	n	0.25
v	ɡ	0.25
o	u	0.222
o	-	0.222
j	z	0.2
ʧ	-	0.19
ˈɔ	-	0.182
w	ˈɔ	0.182
ˈi	ˈe	0.167
ˈo	ˈɔ	0.148
ˈi	-	0.125
d	t	0.125
a	-	0.125
ˈu	-	0.118
ˈo	-	0.111
u	y	0.111
n	-	0.111
i	ˈi	0.111
ʧ	z	0.095
c	-	0.095
t	ʧ	0.094
d	-	0.094
ˈi	ˈø_l	0.083
e	e	0.076
i	ˈɛ	0.074
f	f_j	0.069
e	-	0.063
t	-	0.057
n	ŋ	0.056
l	j	0.055
