Auvergnat	Auvergnat	probability
ˈɪ̃	ˈe	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_ʀ	r_t	1.0
ˈɔ_w	w	1.0
ˈɔ_t	s_t	1.0
ˈɔ	-	1.0
ˈœ	w_ˈe	1.0
ˈỹ	ˈy	1.0
ˈy_ʀ	ˈy	1.0
ˈy	ˈy	1.0
ˈĩ	ˈi	1.0
ˈi_n	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ	ˈe	1.0
ˈe_j	ˈa_j	1.0
ˈã	ˈa	1.0
ˈa_l	ˈɛ_w	1.0
ˈa_#>	ˈa_#>	1.0
ʒ	z	1.0
ʀ_ˈɪ	ɾ_ˈe	1.0
ʀ_ə	e	1.0
ʀ_#>	r_#>	1.0
ɪ	e_s	1.0
ɥ	w	1.0
ɡʲ	ɣ	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɔ	ɔ	1.0
œ	a_w	1.0
ŋ_t	n_t	1.0
ŋ_#>	n_#>	1.0
w_ˈɔ̃	ˈu	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈy	1.0
w_ʀ	β	1.0
w_#>	w_#>	1.0
vʲ	b	1.0
ũ	u	1.0
u	u	1.0
s_ə	s_e	1.0
pʲ	p_ˈe	1.0
p	p	1.0
n_w	n_ˈa	1.0
mʲ	m	1.0
m_ɔ	ɔ	1.0
m_#>	m_#>	1.0
lː	z_l	1.0
l_#>	t_#>	1.0
k_ʀ	k_ɾ	1.0
j_ˈɔ	w_ˈe	1.0
ĩ	i	1.0
fʲ	-	1.0
e	e	1.0
dʲ	d	1.0
b_ʀ	β	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
m	m	0.96
k	k	0.933
ˈa	ˈa	0.905
ˈɪ	ˈe	0.85
ɒ	a	0.833
<#_l	<#_l	0.833
f	h	0.824
v	b	0.812
t	t	0.812
ˈu	ˈu	0.8
ɲ	ɲ	0.8
#>	t_#>	0.8
ŋ	ŋ	0.793
ʎ	ʎ	0.778
l	l	0.759
ə	e	0.758
j	j	0.75
<#	<#_a	0.75
s	s	0.717
ˈe	ˈɛ	0.714
ʧ	k	0.69
ˈi_#>	ˈi_#>	0.667
d	d	0.667
b	b	0.65
ʤ	ʒ	0.636
ɡ	ɡ	0.636
i	i	0.6
w	w	0.577
ˈũ	ˈu	0.571
ʀ	ɾ	0.531
z	ð	0.5
z	z	0.5
ˈũ	-	0.429
i	j	0.4
n	n	0.389
ʀ	r	0.388
ɡ	ɣ	0.364
b	β	0.35
ˈi_#>	#>	0.333
n	-	0.333
d	ð	0.333
w	ˈɔ	0.269
j	-	0.25
<#	<#_ɡ	0.25
ʧ	t	0.207
ŋ	n	0.207
ˈu	ˈy	0.2
ɲ	n	0.2
v	β	0.188
t	s_t	0.188
ʤ	-	0.182
ˈe	ˈe	0.171
ɒ	e	0.167
n	ŋ	0.167
<#_l	<#_ʎ	0.167
s	ʦ	0.152
ˈɪ	ˈi	0.15
s	ʃ	0.13
f	e_h	0.118
ʎ	l	0.111
ʎ	-	0.111
n	n_u	0.111
ʧ	ʤ	0.103
l	ɾ	0.103
#>	ʦ_#>	0.1
#>	i_#>	0.1
ʤ	ɣ	0.091
ʤ	ɡ	0.091
ʀ	-	0.082
w	ˈu	0.077
w	-	0.077
l	w	0.069
l	-	0.069
k	k_w	0.067
ə	ˈe	0.061
ə	j_ˈe	0.061
ə	i	0.061
ə	-	0.061
f	f	0.059
ˈe	r_ˈe	0.057
ˈe	j_ˈe	0.057
