Czech	Lower Sorbian	probability
ˈɛː	ˈɪ	1.0
ˈɛ_s	ˈa_s	1.0
ˈou̯	ˈu	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ɪ	i	1.0
ɟ	ʑ	1.0
ɛː	ɛ	1.0
z̥	ˈɛ_z̥	1.0
z	z	1.0
u	u	1.0
s	s	1.0
r̝̊	ɕ	1.0
r̝	rʲ	1.0
o	ɔ	1.0
m̩	ɨ_m	1.0
l_ˈɛː	l	1.0
j_ˈɛ	ˈɪ	1.0
j_ɛ	e	1.0
d̥	d̥	1.0
c	ɕ	1.0
b̥	b̥	1.0
a	a	0.93
r	r	0.918
b	b	0.918
x	x	0.883
iː	ɨ	0.875
k	k	0.843
d	d	0.813
ʒ	ʐ	0.782
n	n	0.78
ˈu	ˈu	0.73
ˈaː	ˈa	0.698
j	j	0.683
ɦ	ɡ	0.677
ˈuː	ˈɔ	0.641
f	-	0.608
ˈa	ˈa	0.606
ˈɪ	ˈɨ	0.593
p	pʲ	0.574
v	v	0.559
m	mʲ	0.544
l	w	0.517
ˈr̩	ˈa_r	0.5
ˈr̩	r	0.5
ˈo	ˈɛ	0.493
l	l	0.483
t	t	0.474
t	ɕ	0.46
m	m	0.456
ɲ	-	0.438
ɛ	ɛ	0.429
p	p	0.426
ˈo	ˈɔ	0.41
f	f	0.392
ˈuː	ˈɛ	0.359
v	vʲ	0.355
ɲ	ɲ	0.343
ˈiː	ˈɪ	0.342
ɦ	-	0.323
j	-	0.317
ˈaː	ˈɔ	0.302
ˈɛ	ˈe	0.294
ˈɛ	ˈa	0.282
ˈɪ	ˈi	0.272
ˈu	-	0.27
ˈiː	ˈɨ	0.261
ˈiː	-	0.261
ɛ	e	0.245
n	ɲ	0.22
ɲ	nʲ	0.219
ʒ	ʒ	0.218
ˈa	ˈɔ	0.202
ˈa	ˈɪ	0.192
d	ʑ	0.187
ɛ	ɔ	0.161
ˈɛ	ˈɔ	0.16
ˈɛ	-	0.159
k	kʲ	0.157
ˈiː	ˈi	0.137
ˈɪ	ˈu	0.136
iː	i	0.125
ɛ	-	0.117
x	k	0.117
ˈɛ	ˈɪ	0.106
ˈo	v_ˈɛ	0.097
v	-	0.086
r	ʂ	0.082
b	bʲ	0.082
a	-	0.07
