Wymysorys	Old English	probability
ˈɪ	ˈeːo̯	1.0
ˈɑi̯_v	ˈɛ	1.0
ˈɑ_n	ˈoː	1.0
ˈi_r	ˈeː	1.0
ˈei̯_v	v	1.0
ʧ	ʃː	1.0
ɪ	i	1.0
ɛ_r	r	1.0
ɑ	iːy̯	1.0
ç	ʧ	1.0
u	-	1.0
p	-	1.0
n_d	n_d	1.0
l	ɫ	1.0
h	h	1.0
d̥	d	1.0
c	k	1.0
b̥	f	1.0
b	b	1.0
r	r	0.97
m	m	0.951
s	t	0.896
z	s	0.886
v	w	0.824
ŋ	ŋ	0.778
ˈai̯	ˈiː	0.765
ʦ	t	0.739
a	ɑ_n	0.735
ˈu	ˈu	0.733
n	n	0.721
f	f	0.703
ˈi̯ø	ˈæɑ̯_r	0.691
ɡ	ɡ	0.69
ˈa	ˈɑː	0.676
ˈɛ	-	0.667
t	d	0.664
ɛ	e	0.625
j	-	0.622
k	k	0.621
ə	-	0.573
w	l	0.57
ˈɘ̟	ˈi	0.546
ʃ	ʃ	0.545
d	ð	0.524
d	θ	0.476
ˈʏ	ˈoː	0.465
ˈɑi̯	ˈuː	0.463
ʃ	s	0.455
ˈi	ˈeːo̯	0.443
ɟ	ɣ	0.424
ˈei̯	-	0.409
j	j	0.378
ɛ	o	0.375
ˈø	-	0.365
ˈø	ˈoː	0.353
ˈɛ	ˈe	0.333
x	k	0.324
ˈɑ	ˈɑ	0.317
x	x	0.315
ɡ̊	j	0.314
ˈɔ	ˈɑ	0.312
w	ɫ	0.31
ˈɘ̟	-	0.309
ˈi̯ø	-	0.309
ɟ	ɡ	0.304
ˈei̯	ˈi	0.302
f	p	0.297
ˈi	ˈe	0.293
ˈei̯	ˈɑː_w	0.289
ˈʏ	ˈæːɑ̯	0.284
t	t	0.284
ˈø	ˈæː	0.282
ɟ	ʤː	0.272
ˈɔ	ˈæ	0.266
ˈi	ˈeː	0.264
ʦ	tː	0.261
ɡ̊	ɡ	0.257
ə	w_e	0.252
ɡ̊	ɣ̊	0.243
ˈɑi̯	ˈiːy̯	0.241
ˈai̯	ˈeːo̯	0.235
ŋ	n_i	0.222
ˈɔ	-	0.209
ˈɑi̯	-	0.206
ˈa	ˈe	0.191
ɡ̊	ɣ_e	0.186
k	ʧ	0.179
ə	e	0.174
x	ʧ	0.163
ɡ	j	0.159
ɡ	ɣ	0.15
ˈu	ˈæːɑ̯	0.148
ˈʏ	ˈy_r	0.147
ˈɘ̟	ˈy	0.145
ˈɑ	-	0.145
x	ç	0.143
ˈa	ˈi	0.134
k	j	0.131
ˈɑ	ˈeo̯	0.126
ˈu	ˈo	0.119
n	-	0.119
n	nː	0.118
a	ɑ	0.118
ˈɑ	ˈæɑ̯	0.115
z	-	0.114
ˈɔ	ˈæɑ̯	0.106
ˈɔ	ˈo	0.106
w	-	0.106
s	s	0.104
ˈʏ	-	0.103
v	v	0.102
ˈɑ	ˈe	0.101
ˈɑi̯	ˈeːo̯	0.089
a	n	0.088
ˈɑ	ˈi	0.076
v	-	0.075
ˈɑ	ˈiy̯	0.073
k	ʤ	0.069
a	-	0.059
x	xː	0.054
