Afrikaans	American English	probability
b	b	1.0
d	d	0.581
d	θ	0.305
d	ð	0.105
f	f	0.863
f	v	0.094
f	-	0.039
j	j	1.0
k	k	0.318
k	ʧ	0.283
k	kʰ	0.215
k	-	0.165
l	l	0.733
l	ɫ	0.254
m	m	1.0
n	n	0.874
n	-	0.096
n	ɫ	0.029
n_s	s	1.0
n_t	θ	0.49
p	p	0.909
p	pʰ	0.085
r	ɹ	0.549
r	-	0.267
r	ɚ	0.158
s	s	0.804
s	ʃ	0.086
s	z	0.068
s	-	0.035
s_k	ʃ	1.0
t	t	0.403
t	d	0.285
t	tʰ	0.105
t	-	0.08
t	θ	0.068
v	w	0.869
v	v	0.069
v	f	0.06
w	w	0.603
w	ˈɔ	0.179
w	ˈoʊ̯	0.121
w	-	0.06
ŋ	ŋ	0.931
ŋ	-	0.063
ə	-	0.359
ə	ɚ	0.264
ə	ɾ_ɚ	0.09
ə	ɡ_ɚ	0.09
ə	ə	0.085
ə_ŋ	n	1.0
ə_χ	i	1.0
ɦ	h	1.0
ɫ	l	0.507
ɫ	ɫ	0.426
ɫ	ˈoʊ̯	0.035
ɫ	-	0.033
ˈa	ˈæ	0.44
ˈa	ˈɑ	0.185
ˈa	ˈʌ	0.088
ˈa	ˈɔ	0.071
ˈa	ˈeɪ̯	0.071
ˈa_n	ˈu	0.49
ˈa_χ	ˈeɪ̯	1.0
ˈi	ˈi	0.581
ˈi	ˈɛ	0.086
ˈi	ˈɪ	0.084
ˈi	ˈu	0.084
ˈi	-	0.068
ˈi_χ	ˈaɪ̯	1.0
ˈoːi̯	ˈɛ	1.0
ˈu	ˈi	0.443
ˈu	ˈʊ	0.24
ˈu	ˈʌ	0.235
ˈu	ˈu	0.065
ˈuː	ˈʌ	0.49
ˈuːi̯	ˈaʊ̯	0.24
ˈyː	ˈi	0.323
ˈyː	ˈaɪ̯	0.323
ˈæ	ˈaɪ̯	0.574
ˈæ	ˈɑ	0.281
ˈæː	ˈæ	0.574
ˈæː	ˈɑ	0.281
ˈœ	ˈɪ	0.77
ˈœ	ˈɝ	0.229
ˈœi̯	ˈaɪ̯	1.0
ˈœu̯	ˈoʊ̯	0.675
ˈœu̯	ɫ	0.304
ˈœɪ̯	ˈaʊ̯	0.814
ˈœɪ̯	ˈaɪ̯	0.182
ˈɑː	ˈi	0.271
ˈɑː	ˈeɪ̯	0.267
ˈɑː	ˈɛ	0.167
ˈɑː	ˈɑ	0.102
ˈɑː	-	0.058
ˈɔ	ˈʌ	0.26
ˈɔ	ˈɑ	0.223
ˈɔ	-	0.147
ˈɔ	ˈʊ	0.139
ˈɔ	ˈaʊ̯	0.088
ˈɔː	ˈɛ	0.5
ˈɔː	ˈeɪ̯	0.5
ˈə	ˈɪ	0.686
ˈə	ˈaɪ̯	0.306
ˈəɪ̯	ˈaɪ̯	0.442
ˈəɪ̯	ˈoʊ̯	0.221
ˈəɪ̯	ˈi	0.167
ˈəɪ̯	ˈɪ	0.077
ˈəɪ̯	ˈɛ	0.063
ˈɛ	ˈɪ	0.392
ˈɛ	ˈɛ	0.208
ˈɛ	ˈɔ	0.137
ˈɛ	ˈɝ	0.137
ˈɛ	ˈeɪ̯	0.096
ˈɛː	ˈæ	0.323
ˈɛː	ˈeɪ̯	0.323
ˈɪ	ˈɛ	1.0
ˈɪø̯	ˈoʊ̯	0.517
ˈɪø̯	ˈʌ	0.188
ˈɪə̯	ˈoʊ̯	0.192
ˈɪə̯	ˈɛ	0.163
ˈɪə̯	ˈi	0.15
ˈɪə̯	ˈɛ_ð	0.131
ˈɪə̯	ˈɪ	0.095
ˈʊə̯	ˈi	0.389
ˈʊə̯	ˈɛ	0.194
ˈʊə̯	ˈɔ	0.165
ˈʊə̯	-	0.076
ˈʊə̯	ˈoʊ̯	0.05
ˈʊə̯_χ	ˈaɪ̯	1.0
χ	ɡ	0.357
χ	-	0.216
χ	t	0.156
χ	ʤ	0.139
χ	f	0.087
