Ladin	Ladin	probability
ˈɛ_t	ˈe_tː	1.0
ˈɛ_k	k_u	1.0
ˈɛ_f	u	1.0
ˈu	ˈu	1.0
ˈo_w	ˈɔ_r	1.0
ˈo_s	ˈɔ_j	1.0
ˈi_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ɲ	ɲː	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ʧ	1.0
w_r	p_r	1.0
u	-	1.0
r_t	l_t	1.0
r_n	rː_u	1.0
r_#>	i_#>	1.0
p_l	p_j	1.0
p_#>	p_u_#>	1.0
p	p	1.0
o_l	u_l	1.0
n_d	nː	1.0
l_ˈe	l_ˈi	1.0
l_#>	ɖː_u_#>	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
i	i	1.0
f_l	f_j	1.0
f_#>	#>	1.0
e_#>	#>	1.0
d_l	cː_u	1.0
b	b	1.0
a	a	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
n	n	0.955
ˈa	ˈa	0.938
k	k	0.92
f	f	0.9
m	m	0.88
ˈe_#>	ˈa_#>	0.786
ˈɔ	ˈɔ	0.714
v	v	0.714
o	u	0.714
ʨ	k	0.696
s	s	0.667
t	t	0.636
#>	u_#>	0.636
r	r	0.622
ʃ	s	0.615
ɡ	ɡ	0.615
ʧ	ʧ	0.6
ˈe_j	ˈɛ	0.556
ʒ	-	0.556
j	ˈe	0.55
l	l	0.526
ˈo	ˈu	0.5
ʥ	ɟ	0.5
ʥ	-	0.5
e_r	u	0.5
e_r	r_u	0.5
d	t	0.5
d	d	0.5
<#	<#_b	0.5
<#	<#_a	0.5
ˈe_j	ˈi	0.444
ʒ	ɟ	0.444
w	ˈɔ	0.412
ˈɛ	ˈɛ	0.409
ʧ	ʧː	0.4
e	i	0.391
l	ɖː	0.368
w	-	0.353
ʦ	ʧ	0.333
ʦ	ʦː	0.333
ʦ	ʦ	0.333
t	tː	0.303
#>	i_#>	0.295
o	-	0.286
ˈɛ	ˈa	0.273
ˈe	ˈɛ	0.273
ˈe	-	0.273
ˈo	ˈɔ	0.25
ˈo	ˈo	0.25
j	-	0.25
w	ˈo	0.235
ʃ	ʧ_i	0.231
ɡ	-	0.231
ˈe	ˈi	0.227
e	a	0.217
ˈe_#>	#>	0.214
j	i	0.2
ˈɔ	ˈo	0.19
v	-	0.19
s	sː	0.185
ˈɛ	ˈe	0.182
ʨ	ʧ	0.174
r	r_u	0.162
ʃ	ʃː	0.154
ɡ	ɟ	0.154
ˈe	i	0.136
ʨ	-	0.13
e	u	0.13
e	-	0.13
m	mː	0.12
l	j	0.105
f	u	0.1
ˈɔ	-	0.095
v	p	0.095
ˈɛ	u	0.091
ˈe	l	0.091
e	ˈi	0.087
r	rː	0.081
r	l	0.081
k	ɡ	0.08
s	z	0.074
s	-	0.074
#>	a_#>	0.068
ˈa	-	0.062
t	l_t	0.061
r	-	0.054
