Lower Sorbian	Lithuanian	probability
ʨ	ɪ	1.0
ʦ	-	1.0
ʒ	ɡʲ	1.0
ʑ	dʲ	1.0
ʐ̊	ŋʲ	1.0
ʐ	ɡʲ	1.0
ʂ	-	1.0
ɲ	-	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
z̥	-	1.0
vʲ_e	vʲ	1.0
vʲ	vʲ	1.0
v_ɛ	v_ɐ	1.0
rʲ	rʲ	1.0
pʲ	pʲ	1.0
p	pʲ	1.0
nʲ	nʲ	1.0
mʲ	mʲ	1.0
m	m	1.0
l	lʲ	1.0
kʲ	-	1.0
j_a	aɪ̯	1.0
j	j	1.0
b̥	m_b	1.0
bʲ	b	1.0
w	ɫ	0.792
r	r	0.78
e	-	0.76
t	t	0.734
x	-	0.681
n	n	0.65
b	b	0.61
d̥	d_ɐ	0.574
k	k	0.543
ɛ	ɪ	0.499
v	vʲ	0.475
k	-	0.457
ɪ	eː	0.436
z	ʑ	0.43
z	ʒ	0.427
d̥	d	0.426
b	bʲ	0.39
ɕ	tʲ_ɪ	0.364
d	d	0.361
n	-	0.35
ɨ	ʊ	0.349
i	ɛɪ̯	0.342
ɕ	tʲ	0.34
d	-	0.33
i	iː	0.329
i	-	0.329
x	sʲ	0.319
d	n_d	0.309
ɪ	iə̯	0.308
ɕ	ɪ	0.295
s	sʲ	0.292
ɨ	iː	0.285
s	ɕ	0.283
v	-	0.269
t	-	0.266
ɛ	ɛ	0.258
ɪ	ɛ	0.257
v	v	0.256
ɔ	ɐ	0.255
e	ɛ	0.24
u	ɐ	0.227
a	eː	0.223
s	s	0.222
r	rʲ	0.22
a	oː	0.212
w	-	0.208
ɨ	uː_̂	0.207
s	ʃ	0.204
u	-	0.201
u	uː_̂	0.198
ɔ	ɪ_ˈ	0.193
a	-	0.176
ɨ	s	0.159
ɔ	-	0.155
u	ʊ	0.151
u	ɐ_̌	0.151
a	ɐ	0.15
z	-	0.143
ɔ	aː_̌	0.141
a	æː	0.138
ɛ	æː	0.121
ɛ	-	0.121
ɔ	ɛ	0.107
a	uə̯	0.103
u	ɛʊ̯	0.073
ɔ	oː	0.063
ɔ	æː_̌	0.057
