Swedish	Wymysorys	probability
ˈøː_d	ˈu_t	1.0
ˈæ	h_ˈɑ	1.0
ˈuː	ˈʏ	1.0
ˈa_r	ˈi̯ø	1.0
ʊ	n	1.0
ʈː	ʦ	1.0
ɵ	-	1.0
ɳ	-	1.0
ɪ	-	1.0
ɛ_n	ə_t	1.0
ɖ	-	1.0
ɕ	k	1.0
ɔ	ɑ	1.0
sː	s	1.0
s_ˈa	z_ˈɑ	1.0
s_t	s_t	1.0
rː	ˈɑi̯_ɡ̊	1.0
r_a	ə	1.0
pʰ	f	1.0
p	f	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	w	1.0
kʰ	k	1.0
jː	ˈi̯ø	1.0
h	h	1.0
b	b	1.0
ˈɪ	ˈɘ̟	0.886
n	n	0.875
f	f	0.875
s_k	ʃ	0.857
a	a	0.795
r	r	0.788
v	v	0.744
l	w	0.744
ˈiː	ˈai̯	0.733
ˈɛː	-	0.725
t	s	0.7
ɛ	ɛ	0.695
ˈœ	-	0.676
kː	-	0.667
ˈʏ	-	0.638
ŋ	-	0.609
ŋː	ŋ_ɟ	0.608
ˈa	ˈɑ	0.562
ˈʊ	ˈu	0.521
ˈyː	ˈi	0.515
ɡː	k	0.5
ɡː	-	0.5
ˈeː	ˈa	0.493
ˈʉː	ˈɑi̯	0.49
tʰ	ʦ	0.487
ˈyː	ˈɑi̯_ɛ	0.485
k	x	0.481
ˈʊ	-	0.479
ɧ	ʃ	0.478
ˈɑː	ˈɔ	0.468
tː	s	0.465
ˈɵ	ˈɘ̟	0.459
s	z	0.455
ɡ	ɡ	0.445
ˈoː	ˈø	0.439
ˈa	ˈɔ	0.438
ˈoː	-	0.423
tʰ	d	0.416
ˈɔ	ˈu	0.415
ŋː	ŋ	0.392
ŋ	ŋ	0.391
d	d	0.38
ˈɔ	-	0.37
ˈɵ	ˈu	0.366
ˈʏ	ˈɘ̟	0.362
ɡ	ɡ̊	0.354
tː	ʦ	0.353
ˈøː	ˈi	0.34
kː	c	0.333
s	ʃ	0.313
ˈɛ	ˈa	0.309
d	t	0.305
k	ç	0.291
ˈɑː	ˈɑ	0.289
ˈøː	-	0.277
ˈɛː	ˈɑ	0.275
ˈɛ	ˈɛ	0.274
d	d̥	0.266
j	ˈɘ̟	0.264
ɧ	z_ˈei̯	0.261
ɧ	z	0.261
j	ˈɑ	0.26
ˈɛ	-	0.259
ˈʉː	-	0.257
ˈʉː	ˈi	0.253
ˈøː	ˈei̯	0.245
ˈɑː	-	0.244
k	k	0.227
j	-	0.222
t	t	0.218
ˈœ	ˈu	0.216
l	l	0.216
ˈɔ	x	0.215
j	ɡ	0.206
ɡ	-	0.202
ˈeː	ˈɑ_n	0.194
ɛ	a	0.191
ˈeː	-	0.186
tː	t	0.182
ˈɵ	v_ˈu	0.175
ˈɛ	ˈai̯	0.158
s	t	0.154
s_k	ʧ	0.143
v	-	0.139
ˈøː	ˈɑi̯	0.138
ˈoː	ˈɑ	0.138
ˈiː	ˈi	0.138
ˈiː	-	0.129
r	-	0.129
ˈeː	ˈɑ	0.126
f	f_ˈi	0.125
v	f	0.117
ˈɪ	ˈei̯	0.114
ɛ	-	0.113
ˈœ	ˈoi̯	0.108
tʰ	-	0.096
r	ɛ_r	0.084
a	n	0.083
t	-	0.082
s	ʃ_v	0.077
n	r	0.073
a	ə	0.062
a	-	0.061
n	-	0.052
