Romanian	Campidanese	probability
a	a	0.627
a	-	0.297
a	ˈa	0.076
b	b	0.678
b	β	0.125
b	-	0.106
b	v	0.051
d	d	0.589
d	-	0.342
e	i	0.579
e	e	0.219
e	-	0.172
e̯ˈa	ˈe	0.632
e̯ˈa	ˈi	0.368
f	f	1.0
i	i	0.587
i	e	0.26
i	ˈi	0.087
j	-	0.429
j	a	0.206
j	j	0.186
j	l	0.052
k	k	0.518
k	ɣ	0.302
k	ʧ	0.117
k	-	0.05
kʲ	j	1.0
l	l	0.463
l	r	0.239
l	ɖː	0.179
l	-	0.075
m	m	0.862
m	-	0.076
n	n	0.673
n	nː	0.127
n	-	0.123
n	ɲː	0.052
nʲ	o	1.0
o	o	0.692
o	a	0.189
o	-	0.12
o̯ˈa	ˈo	0.892
o̯ˈa	ˈa	0.108
p	p	0.769
p	β	0.083
p	w	0.068
p	f	0.054
r	r	0.674
r	-	0.103
r	rː	0.097
r	l	0.087
s	s	0.797
s	z	0.15
t	t	0.524
t	ð	0.205
t	-	0.095
u	o	0.359
u	u	0.315
u	ˈu	0.122
u	ˈo	0.106
u	-	0.073
v	b	1.0
w	u	0.563
w	-	0.196
w	j	0.145
w	β_u	0.097
z	-	0.493
z	d	0.397
z	z	0.111
ŋ	ŋ	0.516
ŋ	-	0.296
ŋ	d	0.188
ə	a	0.738
ə	-	0.092
ɡ	ɡ	0.739
ɡ	b	0.261
ɨ	-	0.598
ɨ	a	0.201
ɨ	ˈe	0.201
ʃ	s	0.508
ʃ	ʃː	0.373
ʃ	ʒ	0.081
ʒ	j	0.568
ʒ	ʤ	0.432
ʤ	ʤ	0.508
ʤ	b	0.193
ʤ	-	0.188
ʤ	ɡ	0.111
ʦ	-	0.435
ʦ	t	0.408
ʦ	ʦ	0.099
ʦ	ʒ	0.057
ʧ	ʧ	0.274
ʧ	-	0.257
ʧ	ʒ	0.196
ʧ	k	0.118
ʧ	rː	0.1
ʧ	ð	0.055
ʧʲ	ʃː	0.424
ʧʲ	t	0.295
ʧʲ	ŋ	0.281
ˈa	ˈa	0.814
ˈa	ˈe	0.114
ˈau̯	-	0.663
ˈau̯	ˈo	0.337
ˈe	ˈe	0.447
ˈe	ˈi	0.308
ˈe	-	0.096
ˈe	a	0.057
ˈe	ˈa	0.056
ˈi	ˈi	0.449
ˈi	ˈe	0.29
ˈi	i	0.121
ˈi	lː	0.061
ˈo	ˈo	0.718
ˈo	ˈu	0.191
ˈo	-	0.091
ˈu	ˈu	0.539
ˈu	ˈo	0.443
ˈə	ˈe	0.529
ˈə	ˈi	0.471
ˈɨ	ˈa	0.749
ˈɨ	e	0.144
ˈɨ	ˈe	0.098
