Bellunese	Logudorese	probability
b	b	1.0
f	f	1.0
i	i	1.0
m	m	1.0
p	p	1.0
u	u	1.0
w	-	1.0
ʧ	-	1.0
ˈɔ	ˈo	1.0
ˈɛ	ˈe	1.0
d	-	0.071
j	-	0.251
r	rː	0.071
θ	k	0.841
a	-	0.072
d	d	0.662
e	i	0.292
l	l_e	0.092
o	ˈo	0.082
o	o	0.172
r	r	0.472
ð	-	0.632
e	e	0.623
l	-	0.143
v	-	0.213
z	ɣ	0.673
ˈi	e	0.063
ˈo	ˈu	0.3
a	e	0.064
l	<#_i	0.054
l	l	0.494
n	n	0.934
ŋ	ŋ	0.064
ŋ	n_u	0.274
ɡ	ɣ	0.464
θ	-	0.134
a	r_a	0.05
k	k	0.965
o	e	0.085
o	u	0.605
r	-	0.105
t	ð	0.125
t	t	0.655
ɡ	ɡ	0.45
ˈe	ˈi	0.485
ˈe	ˈe	0.515
d	ð	0.266
r	r_e	0.306
v	β	0.146
v	b	0.606
ɡ	-	0.056
l	l_u	0.157
s	s	0.87
t	t_e	0.177
z	-	0.327
ŋ	n	0.27
ˈo	ˈo	0.7
a	a	0.778
ð	ɡ	0.368
ŋ	n_e	0.258
j	r	0.749
ŋ	m	0.099
ˈa	ˈa	0.9
ˈi	ˈi	0.929
ˈu	ˈu	0.959
