Franco-Provençal	Franco-Provençal	probability
ˈɛː_ʁ	ˈe_r	1.0
ˈɔ̃	ˈo_ŋ	1.0
ˈɔ	ˈo	1.0
ˈɑ̃	ˈa_ŋ	1.0
ˈɑː	ˈa	1.0
ˈy	ˈo_r	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ʦ	s	1.0
ʒ	-	1.0
ʁ_ə	e_r	1.0
ʁ_a	r_a	1.0
ɲ	ɲ	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ɛ̃	e_ŋ	1.0
ɛ	-	1.0
ɔ̃	-	1.0
ɔ	-	1.0
ɑ̃	a_ŋ	1.0
ɑː	a_s	1.0
ð_ə	r	1.0
z	z	1.0
y	r_u	1.0
w_ˈɛː	ˈo	1.0
w_ˈe	ˈɔ	1.0
u	o	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_a	a	1.0
l_#>	l_#>	1.0
k_ʁ	k_r	1.0
i_#>	a_#>	1.0
i	-	1.0
b	b	1.0
a_#>	#>	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#	1.0
<#_ð	<#_ð	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
a	a	0.938
v	v	0.929
ˈa	ˈa	0.895
t	t	0.889
f	f	0.889
k	k	0.846
ˈɛː	ˈe	0.769
d	d	0.769
e	s	0.75
ˈĩ	ˈi_ŋ	0.714
ð	r	0.692
ˈɛ̃	ˈe_ŋ	0.667
o	o	0.667
ʃ	k	0.636
ʎ	j	0.625
j	j	0.615
ˈi	ˈi	0.6
ʁ	r	0.595
ˈoː	-	0.556
ˈø	ˈɔ	0.5
w	ˈo	0.5
j_ˈe	ˈa_r	0.5
j_ˈe	ˈa	0.5
s	s	0.483
ə	a	0.448
ˈoː	ˈɔ	0.444
ˈɛ	ˈe	0.429
ˈo	ˈo	0.429
l	l	0.417
l	j	0.417
s	θ	0.414
ˈi	ˈe	0.4
j	-	0.385
ˈu	ˈo	0.375
ˈu	-	0.375
ʎ	ʧ_o	0.375
ˈɛ	ˈɛ	0.357
ə	e	0.345
ˈɛ̃	ŋ	0.333
w	-	0.333
o	-	0.333
ˈø	-	0.3
ˈe	ˈɛ	0.29
ˈo	ˈɔ	0.286
ˈo	ˈu	0.286
ˈĩ	-	0.286
ˈe	ˈi	0.258
#>	t_#>	0.255
#>	o_#>	0.255
ˈu	ˈu	0.25
e	-	0.25
ˈɛː	ˈɛ	0.231
d	-	0.231
ˈɛ	-	0.214
ˈø	ˈo	0.2
ˈe	ˈe	0.194
#>	r_#>	0.191
w	w	0.167
l	-	0.167
ð	j	0.154
ð	d	0.154
k	ʧ	0.154
ə	e_r	0.138
ʃ	s	0.136
ʃ	k_ˈa	0.136
t	-	0.111
f	-	0.111
#>	a_#>	0.106
ˈa	ɡ_o	0.105
s	-	0.103
ˈe	ˈa	0.097
ˈe	-	0.097
ʃ	e	0.091
ʁ	r_t	0.081
ʁ	o	0.081
ʁ	-	0.081
v	-	0.071
ə	-	0.069
ˈe	ˈɛ_s	0.065
#>	s_#>	0.064
a	w_a	0.062
ʁ	ɡ_r	0.054
ʁ	r_o	0.054
ʁ	e_r	0.054
