Emilian	Logudorese	probability
f	f	1.0
i	i	1.0
o	u	1.0
ʤ	-	1.0
ʧ	-	1.0
ˈaː	ˈa	1.0
ˈi	ˈi	1.0
ˈæ	ˈe	1.0
ˈɛː	ˈe	1.0
a	r_a	0.051
j	ˈi	0.051
u	u	0.081
z	ɣ_e	0.41
ɲ	nː	0.511
ˈe	ˈe	0.091
ˈo	u	0.051
ˈɔː	-	0.141
ˈʌ	ˈu	0.581
a	e	0.062
e	e	0.52
j	r	0.482
m	m_e	0.082
r	r_e	0.292
t	ð	0.092
t	t_e	0.212
t	t	0.512
ɡ	ɣ_u	0.192
ˈa	ˈa	0.52
b	-	0.113
e	u	0.103
l	r	0.053
l	l_u	0.143
m	m	0.823
r	r	0.43
ŋ	n_u	0.233
ɡ	ɡ	0.393
ˈiː	ˈi	0.343
ˈo	ˈo	0.383
ˈɛ	ˈa	0.723
l	ɖː_u	0.094
l	ɖː	0.174
p	b	0.074
t	t_u	0.184
v	β	0.154
v	b	0.554
z	s	0.414
ð	ɡ	0.774
ˈa	ˈi	0.364
ˈuː	ˈu	0.734
ˈɔ	ˈu	0.104
ˈʌu̯	ˈu	0.534
θ	k	0.804
e	o	0.115
e	-	0.245
ŋ	n_e	0.125
ŋ	m	0.195
ˈiː	i	0.085
θ	t	0.115
p	p	0.916
s	i_s	0.216
s	s	0.626
z	z_u	0.176
ð	-	0.226
ˈa	ˈe	0.116
ˈuː	ˈo	0.266
ˈɔ	ˈo	0.896
ˈʌu̯	ˈo	0.466
b	b	0.887
k	-	0.057
l	l	0.457
r	rː	0.067
u	o	0.757
ɡ	-	0.27
ˈo	ˈu	0.567
a	a	0.788
d	ð	0.448
d	d	0.488
j	ʣ_u	0.058
k	k	0.928
r	-	0.098
u	ˈo	0.128
v	-	0.238
ŋ	ŋ	0.088
θ	k_e	0.08
j	-	0.409
n	n	0.979
r	r_u	0.069
s	-	0.09
ŋ	n	0.359
ɡ	ɣ	0.119
ɲ	n	0.489
ˈe	ˈi	0.909
ˈiː	ˈe	0.529
ˈɔː	ˈo	0.859
ˈɛ	ˈe	0.259
ˈʌ	ˈo	0.419
